Time,max(CACoordsX),min(CACoordsX)
9.99998e-11,1.59517e-07,1.59202e-07
2e-10,1.592e-07,1.58884e-07
3.00003e-10,1.58907e-07,1.5859e-07
4.00002e-10,1.58617e-07,1.58299e-07
4.99999e-10,1.58331e-07,1.58013e-07
5.99998e-10,1.58051e-07,1.57736e-07
6.99997e-10,1.57776e-07,1.5746e-07
7.99998e-10,1.57503e-07,1.57186e-07
8.99997e-10,1.57234e-07,1.56921e-07
1e-09,1.56971e-07,1.56657e-07
1.1e-09,1.56708e-07,1.56392e-07
1.2e-09,1.5645e-07,1.56138e-07
1.3e-09,1.56195e-07,1.55882e-07
1.4e-09,1.55941e-07,1.55628e-07
1.5e-09,1.55691e-07,1.55381e-07
1.6e-09,1.55444e-07,1.55132e-07
1.7e-09,1.55196e-07,1.54888e-07
1.8e-09,1.54956e-07,1.54647e-07
1.9e-09,1.54714e-07,1.54402e-07
2e-09,1.54475e-07,1.54169e-07
2.1e-09,1.54239e-07,1.5393e-07
2.2e-09,1.54003e-07,1.53698e-07
2.3e-09,1.53773e-07,1.53466e-07
2.4e-09,1.53541e-07,1.53234e-07
2.5e-09,1.53314e-07,1.53009e-07
2.6e-09,1.53086e-07,1.52779e-07
2.7e-09,1.52861e-07,1.52559e-07
2.80001e-09,1.52639e-07,1.52334e-07
2.9e-09,1.52416e-07,1.52114e-07
3e-09,1.52198e-07,1.51895e-07
3.1e-09,1.51978e-07,1.51677e-07
3.2e-09,1.51764e-07,1.51462e-07
3.3e-09,1.51547e-07,1.51245e-07
3.4e-09,1.51336e-07,1.51035e-07
3.5e-09,1.51123e-07,1.5082e-07
3.6e-09,1.50914e-07,1.50614e-07
3.7e-09,1.50704e-07,1.50401e-07
3.8e-09,1.50497e-07,1.50199e-07
3.9e-09,1.50291e-07,1.49989e-07
4e-09,1.50087e-07,1.49789e-07
4.1e-09,1.49883e-07,1.49582e-07
4.2e-09,1.49682e-07,1.49385e-07
4.3e-09,1.49481e-07,1.4918e-07
4.4e-09,1.49282e-07,1.48985e-07
4.5e-09,1.49083e-07,1.48783e-07
4.59999e-09,1.48887e-07,1.48591e-07
4.7e-09,1.48691e-07,1.48391e-07
4.8e-09,1.48497e-07,1.48202e-07
4.9e-09,1.48303e-07,1.48004e-07
5.00001e-09,1.48112e-07,1.47817e-07
5.10001e-09,1.47919e-07,1.47622e-07
5.2e-09,1.47731e-07,1.47436e-07
5.3e-09,1.4754e-07,1.47245e-07
5.39999e-09,1.47355e-07,1.4706e-07
5.5e-09,1.47165e-07,1.46872e-07
5.6e-09,1.46982e-07,1.46688e-07
5.7e-09,1.46794e-07,1.46503e-07
5.8e-09,1.46614e-07,1.46319e-07
5.9e-09,1.46429e-07,1.46138e-07
6e-09,1.46249e-07,1.45954e-07
6.1e-09,1.46068e-07,1.45777e-07
6.2e-09,1.45888e-07,1.45592e-07
6.3e-09,1.4571e-07,1.45419e-07
6.4e-09,1.45531e-07,1.45238e-07
6.49999e-09,1.45355e-07,1.45064e-07
6.60001e-09,1.45176e-07,1.44887e-07
6.7e-09,1.45004e-07,1.44712e-07
6.8e-09,1.44827e-07,1.44539e-07
6.9e-09,1.44656e-07,1.44362e-07
7e-09,1.44483e-07,1.44194e-07
7.1e-09,1.4431e-07,1.44018e-07
7.2e-09,1.4414e-07,1.43851e-07
7.3e-09,1.43968e-07,1.4368e-07
7.40001e-09,1.43801e-07,1.4351e-07
7.5e-09,1.4363e-07,1.43344e-07
7.6e-09,1.43464e-07,1.43172e-07
7.7e-09,1.43297e-07,1.43009e-07
7.8e-09,1.43129e-07,1.4284e-07
7.9e-09,1.42965e-07,1.42677e-07
8e-09,1.42797e-07,1.42512e-07
8.1e-09,1.42636e-07,1.42346e-07
8.2e-09,1.42472e-07,1.42186e-07
8.3e-09,1.42309e-07,1.42019e-07
8.4e-09,1.42148e-07,1.41861e-07
8.5e-09,1.41983e-07,1.41699e-07
8.6e-09,1.41826e-07,1.41537e-07
8.7e-09,1.41665e-07,1.4138e-07
8.8e-09,1.41505e-07,1.41216e-07
8.9e-09,1.41348e-07,1.41062e-07
9.00001e-09,1.41186e-07,1.40904e-07
9.1e-09,1.41032e-07,1.40744e-07
9.2e-09,1.40875e-07,1.40591e-07
9.3e-09,1.40718e-07,1.40431e-07
9.4e-09,1.40564e-07,1.40279e-07
9.5e-09,1.40406e-07,1.40124e-07
9.6e-09,1.40254e-07,1.39967e-07
9.69999e-09,1.401e-07,1.39817e-07
9.8e-09,1.39946e-07,1.39662e-07
9.9e-09,1.39795e-07,1.3951e-07
1e-08,1.39641e-07,1.3936e-07
1.01e-08,1.39491e-07,1.39204e-07
1.02e-08,1.39341e-07,1.39058e-07
1.03e-08,1.39188e-07,1.38908e-07
1.04e-08,1.39041e-07,1.38755e-07
1.05e-08,1.38891e-07,1.3861e-07
1.06e-08,1.38741e-07,1.38459e-07
1.07e-08,1.38595e-07,1.38312e-07
1.08e-08,1.38446e-07,1.38166e-07
1.09e-08,1.383e-07,1.38015e-07
1.1e-08,1.38154e-07,1.37872e-07
1.11e-08,1.38005e-07,1.37727e-07
1.12e-08,1.37862e-07,1.37577e-07
1.13e-08,1.37718e-07,1.37437e-07
1.14e-08,1.3757e-07,1.37291e-07
1.15e-08,1.37429e-07,1.37146e-07
1.16e-08,1.37285e-07,1.37006e-07
1.17e-08,1.37141e-07,1.3686e-07
1.18e-08,1.37e-07,1.36718e-07
1.19e-08,1.36857e-07,1.36579e-07
1.2e-08,1.36715e-07,1.36433e-07
1.21e-08,1.36576e-07,1.36295e-07
1.22e-08,1.36433e-07,1.36156e-07
1.23e-08,1.36294e-07,1.36011e-07
1.24e-08,1.36155e-07,1.35875e-07
1.25e-08,1.36013e-07,1.35737e-07
1.26e-08,1.35876e-07,1.35593e-07
1.27e-08,1.35738e-07,1.35459e-07
1.28e-08,1.35597e-07,1.35322e-07
1.29e-08,1.35462e-07,1.3518e-07
1.3e-08,1.35326e-07,1.35048e-07
1.31e-08,1.35186e-07,1.34911e-07
1.32e-08,1.35053e-07,1.34771e-07
1.33e-08,1.34917e-07,1.34639e-07
1.34e-08,1.34778e-07,1.34503e-07
1.35e-08,1.34646e-07,1.34365e-07
1.36e-08,1.34512e-07,1.34235e-07
1.37e-08,1.34375e-07,1.341e-07
1.38e-08,1.34244e-07,1.33963e-07
1.39e-08,1.3411e-07,1.33834e-07
1.4e-08,1.33974e-07,1.337e-07
1.41e-08,1.33845e-07,1.33564e-07
1.42e-08,1.33712e-07,1.33436e-07
1.43e-08,1.33578e-07,1.33304e-07
1.44e-08,1.33449e-07,1.33169e-07
1.45e-08,1.33318e-07,1.33042e-07
1.46e-08,1.33184e-07,1.32911e-07
1.47e-08,1.33057e-07,1.32777e-07
1.48e-08,1.32927e-07,1.32651e-07
1.49e-08,1.32794e-07,1.32522e-07
1.5e-08,1.32668e-07,1.32388e-07
1.51e-08,1.32539e-07,1.32264e-07
1.52e-08,1.32407e-07,1.32136e-07
1.53e-08,1.32282e-07,1.32002e-07
1.54e-08,1.32155e-07,1.31879e-07
1.55e-08,1.32025e-07,1.31753e-07
1.56e-08,1.31899e-07,1.31621e-07
1.57e-08,1.31774e-07,1.31498e-07
1.58e-08,1.31645e-07,1.31373e-07
1.59e-08,1.31519e-07,1.31243e-07
1.6e-08,1.31395e-07,1.31119e-07
1.61e-08,1.31268e-07,1.30996e-07
1.62e-08,1.31142e-07,1.30869e-07
1.63e-08,1.3102e-07,1.30743e-07
1.64e-08,1.30895e-07,1.30622e-07
1.65e-08,1.30768e-07,1.30496e-07
