time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
9.99998480175e-11,-1e+300,1.70181736749e-23,2.45434700114e-25,(1.55372714005e-11 8.87223697376e-28 -1.16789808618e-12)
2.00000453203e-10,-1e+300,1.90603960411e-23,2.35402142202e-25,(1.54101184367e-11 5.00260473634e-28 -8.69806206984e-13)
3.00002502832e-10,-1e+300,1.92996404044e-23,2.3788257918e-25,(1.54678636624e-11 4.06142574596e-28 -8.39266681003e-13)
4.00001927718e-10,-1e+300,1.93020523371e-23,2.41706221786e-25,(1.5632284217e-11 4.34117533135e-28 -8.37613455528e-13)
4.99999269506e-10,-1e+300,1.92087579234e-23,2.45116236668e-25,(1.57771361104e-11 3.14265093462e-28 -8.31836123473e-13)
5.99998062396e-10,-1e+300,1.90744068085e-23,2.4796918577099997e-25,(1.59029941552e-11 -2.23744161647e-28 -8.21877057787e-13)
6.99996810649e-10,-1e+300,1.89816067375e-23,2.51180455621e-25,(1.60928507318e-11 -6.15730451298e-29 -8.17073723473e-13)
7.99998485336e-10,-1e+300,1.8919746917500002e-23,2.54456692133e-25,(1.62481454108e-11 2.41596776922e-28 -8.07845328235e-13)
8.99996734399e-10,-1e+300,1.8825727309800002e-23,2.5708513029e-25,(1.63603008145e-11 7.53634035974e-28 -7.94879919481e-13)
1.00000169723e-09,-1e+300,1.87786341417e-23,2.59971409036e-25,(1.65451887161e-11 8.43485649626e-28 -7.89300695564e-13)
1.10000326076e-09,-1e+300,1.87624596268e-23,2.6291772770399997e-25,(1.66928034444e-11 1.27885855156e-27 -7.80232150649e-13)
1.20000214022e-09,-1e+300,1.86983563113e-23,2.65203452145e-25,(1.67877379755e-11 1.82476867657e-27 -7.67423125549e-13)
1.30000152529e-09,-1e+300,1.8688150988e-23,2.67864163798e-25,(1.69572205541e-11 3.00530286914e-27 -7.62156313085e-13)
1.40000048882e-09,-1e+300,1.8684581721600002e-23,2.7039612061099998e-25,(1.70842242511e-11 3.60550899303e-27 -7.5375334261e-13)
1.50000070053e-09,-1e+300,1.86385597127e-23,2.72292938459e-25,(1.71737369512e-11 4.00323722607e-27 -7.42807603429e-13)
1.60000330154e-09,-1e+300,1.8647152365800002e-23,2.7483737513599997e-25,(1.73200727864e-11 3.5157300169e-27 -7.37262933175e-13)
1.70000403636e-09,-1e+300,1.8629763692100002e-23,2.76867482002e-25,(1.74182403428e-11 3.32860770516e-27 -7.28651607e-13)
1.79999583835e-09,-1e+300,1.85926636042e-23,2.7850777706599997e-25,(1.75132180143e-11 2.88123767803e-27 -7.20200555978e-13)
1.89999604145e-09,-1e+300,1.8611217811100002e-23,2.80762867233e-25,(1.76354806271e-11 3.02811186948e-27 -7.14490964574e-13)
2.00000051701e-09,-1e+300,1.8568375068300002e-23,2.82189923345e-25,(1.7696304753e-11 2.66514241131e-27 -7.04422192401e-13)
2.09999879488e-09,-1e+300,1.85740707724e-23,2.84200638357e-25,(1.78117513395e-11 2.90866030833e-27 -6.99177207912e-13)
2.20000180721e-09,-1e+300,1.85564445419e-23,2.85945149559e-25,(1.78930140467e-11 2.70106166793e-27 -6.92125959469e-13)
2.29999754962e-09,-1e+300,1.85176319511e-23,2.8712332823799997e-25,(1.7958067053e-11 2.56809908589e-27 -6.83577226764e-13)
2.39999571733e-09,-1e+300,1.8528314915200002e-23,2.89079223455e-25,(1.80613846762e-11 2.49905981039e-27 -6.79046086452e-13)
2.50000235156e-09,-1e+300,1.84740957712e-23,2.90029515447e-25,(1.80972874692e-11 2.56473042006e-27 -6.69492138837e-13)
2.59999736575e-09,-1e+300,1.8484628644900002e-23,2.91880085335e-25,(1.82017201203e-11 3.30248660812e-27 -6.65356338414e-13)
2.69999994396e-09,-1e+300,1.84467988746e-23,2.93013630106e-25,(1.82570782204e-11 3.71642031687e-27 -6.58349430934e-13)
2.80000454584e-09,-1e+300,1.8429524673300002e-23,2.94294106444e-25,(1.8324771119e-11 4.14922123966e-27 -6.51885652026e-13)
2.90000383023e-09,-1e+300,1.84078992019e-23,2.95689983137e-25,(1.83941044752e-11 4.31389831973e-27 -6.46688968542e-13)
2.99999995866e-09,-1e+300,1.8366037215600002e-23,2.9647361491399997e-25,(1.84314375449e-11 4.22112157383e-27 -6.38582113177e-13)
3.09999816798e-09,-1e+300,1.83592673468e-23,2.98137569589e-25,(1.85127946594e-11 4.06738552111e-27 -6.34818787335e-13)
3.19999990696e-09,-1e+300,1.82956582976e-23,2.98588980223e-25,(1.85244565308e-11 3.80740000449e-27 -6.25286650034e-13)
3.2999955309e-09,-1e+300,1.8306282895300002e-23,3.0028726995799997e-25,(1.86203155503e-11 3.15650641121e-27 -6.23168185969e-13)
