Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ,max(Result),min(Result)
9.99998e-11,1.59517e-07,1.59202e-07,1.60168e-07,1.59202e-07,9.99998480175e-11,-1e+300,1.70181736749e-23,2.45434700114e-25,(1.55372714005e-11 8.87223697376e-28 -1.16789808618e-12),9.99998480175e-11,0.0,0.0,-2.91834188313e-08,2.31830701774e-11,2.04334611379e-27,0.0,1.83311219645e-11,1.96502844454e-25,1.88052475116e-11,6322170.0,-21729700.0
2e-10,1.592e-07,1.58884e-07,1.5992e-07,1.58884e-07,2.00000453203e-10,-1e+300,1.90603960411e-23,2.35402142202e-25,(1.54101184367e-11 5.00260473634e-28 -8.69806206984e-13),2.00000453203e-10,0.0,0.0,-3.18416454222e-08,2.24997030559e-11,1.14469785783e-27,0.0,1.83309822492e-11,1.38965023564e-25,1.89930601165e-11,6439270.0,-22966300.0
3.00003e-10,1.58907e-07,1.5859e-07,1.59631e-07,1.5859e-07,3.00002502832e-10,-1e+300,1.92996404044e-23,2.3788257918e-25,(1.54678636624e-11 4.06142574596e-28 -8.39266681003e-13),3.00002502832e-10,0.0,0.0,-3.27199308505e-08,2.24368409618e-11,1.29813231259e-27,0.0,1.83307219016e-11,5.89523975017e-26,1.91182633924e-11,6432140.0,-23154600.0
4.00002e-10,1.58617e-07,1.58299e-07,1.5934e-07,1.58299e-07,4.00001927718e-10,-1e+300,1.93020523371e-23,2.41706221786e-25,(1.5632284217e-11 4.34117533135e-28 -8.37613455528e-13),4.00001927718e-10,0.0,0.0,-3.35430557333e-08,2.25259849541e-11,1.13317811558e-27,0.0,1.83304098979e-11,-3.5987076854e-26,1.92182562972e-11,6444520.0,-23166700.0
4.99999e-10,1.58331e-07,1.58013e-07,1.59054e-07,1.58013e-07,4.99999269506e-10,-1e+300,1.92087579234e-23,2.45116236668e-25,(1.57771361104e-11 3.14265093462e-28 -8.31836123473e-13),4.99999269506e-10,0.0,0.0,-3.46418859039e-08,2.25808228992e-11,7.9313689252e-28,0.0,1.83300589861e-11,-1.4010714473599998e-25,1.92966380842e-11,6344430.0,-23471900.0
5.99998e-10,1.58051e-07,1.57736e-07,1.58776e-07,1.57736e-07,5.99998062396e-10,-1e+300,1.90744068085e-23,2.47969185771e-25,(1.59029941552e-11 -2.23744161647e-28 -8.21877057787e-13),5.99998062396e-10,0.0,0.0,-3.60382966537e-08,2.26070926807e-11,-1.13006012532e-28,0.0,1.83296716898e-11,-2.4858106138e-25,1.93546712133e-11,6176680.0,-23955600.0
6.99997e-10,1.57776e-07,1.5746e-07,1.58499e-07,1.5746e-07,6.99996810649e-10,-1e+300,1.89816067375e-23,2.51180455621e-25,(1.60928507318e-11 -6.15730451298e-29 -8.17073723473e-13),6.99996810649e-10,0.0,0.0,-3.67600729031e-08,2.27190190512e-11,1.25342872256e-28,0.0,1.83292626668e-11,-3.53939563333e-25,1.93963583122e-11,6096620.0,-23882300.0
7.99998e-10,1.57503e-07,1.57186e-07,1.58226e-07,1.57186e-07,7.99998485336e-10,-1e+300,1.8919746917500002e-23,2.54456692133e-25,(1.62481454108e-11 2.41596776922e-28 -8.07845328235e-13),7.99998485336e-10,0.0,0.0,-3.76146504926e-08,2.27951737813e-11,3.73395983744e-28,0.0,1.83288386097e-11,-4.46386823836e-25,1.94255127778e-11,6094250.0,-23985700.0
8.99997e-10,1.57234e-07,1.56921e-07,1.5796e-07,1.56921e-07,8.99996734399e-10,-1e+300,1.8825727309800002e-23,2.5708513029e-25,(1.63603008145e-11 7.53634035974e-28 -7.94879919481e-13),8.99996734399e-10,0.0,0.0,-3.82299400033e-08,2.28250191672e-11,1.02833721578e-27,0.0,1.83284020177e-11,-5.18508856493e-25,1.94435505614e-11,6128250.0,-23991200.0
1e-09,1.56971e-07,1.56657e-07,1.57695e-07,1.56657e-07,1.00000169723e-09,-1e+300,1.87786341417e-23,2.59971409036e-25,(1.65451887161e-11 8.43485649626e-28 -7.89300695564e-13),1.00000169723e-09,0.0,0.0,-3.97415888346e-08,2.29369479264e-11,9.16619910965e-28,0.0,1.83279606072e-11,-5.68688541314e-25,1.94526449348e-11,5956410.0,-24304400.0
1.1e-09,1.56708e-07,1.56392e-07,1.57433e-07,1.56392e-07,1.10000326076e-09,-1e+300,1.87624596268e-23,2.62917727704e-25,(1.66928034444e-11 1.27885855156e-27 -7.80232150649e-13),1.10000326076e-09,0.0,0.0,-4.13645707279e-08,2.30081526108e-11,9.72133820753e-28,0.0,1.83275210361e-11,-6.00473095858e-25,1.94558317266e-11,5781050.0,-24799400.0
1.2e-09,1.5645e-07,1.56138e-07,1.57176e-07,1.56138e-07,1.20000214022e-09,-1e+300,1.86983563113e-23,2.65203452145e-25,(1.67877379755e-11 1.82476867657e-27 -7.67423125549e-13),1.20000214022e-09,0.0,0.0,-4.16134897632e-08,2.30322764752e-11,1.05323171692e-27,0.0,1.83270847608e-11,-6.20376632048e-25,1.94531571564e-11,5842240.0,-24574200.0
1.3e-09,1.56195e-07,1.55882e-07,1.5692e-07,1.55882e-07,1.30000152529e-09,-1e+300,1.8688150988e-23,2.67864163798e-25,(1.69572205541e-11 3.00530286914e-27 -7.62156313085e-13),1.30000152529e-09,0.0,0.0,-4.29858499583e-08,2.31408729537e-11,1.72961619002e-27,0.0,1.83266594123e-11,-6.36022637873e-25,1.94456100544e-11,5746780.0,-24740800.0
1.4e-09,1.55941e-07,1.55628e-07,1.56667e-07,1.55628e-07,1.40000048882e-09,-1e+300,1.8684581721600002e-23,2.70396120611e-25,(1.70842242511e-11 3.60550899303e-27 -7.5375334261e-13),1.40000048882e-09,0.0,0.0,-4.46214496734e-08,2.31980485417e-11,2.24029519235e-27,0.0,1.83262309077e-11,-6.53963387399e-25,1.94355826898e-11,5574630.0,-25277000.0
1.5e-09,1.55691e-07,1.55381e-07,1.56419e-07,1.55381e-07,1.50000070053e-09,-1e+300,1.86385597127e-23,2.72292938459e-25,(1.71737369512e-11 4.00323722607e-27 -7.42807603429e-13),1.50000070053e-09,0.0,0.0,-4.56256349113e-08,2.32192446473e-11,2.7645481521e-27,0.0,1.83258089264e-11,-6.78253582002e-25,1.94219560648e-11,5514620.0,-25378600.0
1.6e-09,1.55444e-07,1.55132e-07,1.56169e-07,1.55132e-07,1.60000330154e-09,-1e+300,1.8647152365800002e-23,2.74837375136e-25,(1.73200727864e-11 3.5157300169e-27 -7.37262933175e-13),1.60000330154e-09,0.0,0.0,-4.59893287165e-08,2.33198963465e-11,2.7245470604e-27,0.0,1.83253937556e-11,-7.08933110176e-25,1.9405947641e-11,5607460.0,-25114400.0
1.7e-09,1.55196e-07,1.54888e-07,1.55925e-07,1.54888e-07,1.70000403636e-09,-1e+300,1.8629763692100002e-23,2.76867482002e-25,(1.74182403428e-11 3.32860770516e-27 -7.28651607e-13),1.70000403636e-09,0.0,0.0,-4.75498303947e-08,2.33515217125e-11,2.97646402382e-27,0.0,1.83250007114e-11,-7.437130855789998e-25,1.93889659802e-11,5452200.0,-25546500.0
1.8e-09,1.54956e-07,1.54647e-07,1.55682e-07,1.54647e-07,1.79999583835e-09,-1e+300,1.85926636042e-23,2.78507777066e-25,(1.75132180143e-11 2.88123767803e-27 -7.20200555978e-13),1.79999583835e-09,0.0,0.0,-4.83398259611e-08,2.33897091508e-11,2.92085629601e-27,0.0,1.83246087043e-11,-7.81117194395e-25,1.93691113869e-11,5414420.0,-25453900.0
1.9e-09,1.54714e-07,1.54402e-07,1.55441e-07,1.54402e-07,1.89999604145e-09,-1e+300,1.8611217811100002e-23,2.80762867233e-25,(1.76354806271e-11 3.02811186948e-27 -7.14490964574e-13),1.89999604145e-09,0.0,0.0,-5.0046832832e-08,2.34552311497e-11,3.00018259194e-27,0.0,1.83242477173e-11,-8.21699005182e-25,1.93488861248e-11,5278730.0,-25928600.0
2e-09,1.54475e-07,1.54169e-07,1.55204e-07,1.54169e-07,2.00000051701e-09,-1e+300,1.8568375068300002e-23,2.82189923345e-25,(1.7696304753e-11 2.66514241131e-27 -7.04422192401e-13),2.00000051701e-09,0.0,0.0,-5.10832447095e-08,2.34545229779e-11,2.91602586891e-27,0.0,1.83238894952e-11,-8.66403711225e-25,1.93277431905e-11,5217860.0,-26042000.0
2.1e-09,1.54239e-07,1.5393e-07,1.54966e-07,1.5393e-07,2.09999879488e-09,-1e+300,1.85740707724e-23,2.84200638357e-25,(1.78117513395e-11 2.90866030833e-27 -6.99177207912e-13),2.09999879488e-09,0.0,0.0,-5.16382894734e-08,2.35283597784e-11,3.3365223443800004e-27,0.0,1.83235421816e-11,-9.1385835342e-25,1.93046023513e-11,5270430.0,-25875800.0
2.2e-09,1.54003e-07,1.53698e-07,1.54732e-07,1.53698e-07,2.20000180721e-09,-1e+300,1.85564445419e-23,2.85945149559e-25,(1.78930140467e-11 2.70106166793e-27 -6.92125959469e-13),2.20000180721e-09,0.0,0.0,-5.24764077204e-08,2.35593553681e-11,3.44251321833e-27,0.0,1.83232044768e-11,-9.59450826302e-25,1.92822365411e-11,5268180.0,-25953400.0
2.3e-09,1.53773e-07,1.53466e-07,1.545e-07,1.53466e-07,2.29999754962e-09,-1e+300,1.85176319511e-23,2.87123328238e-25,(1.7958067053e-11 2.56809908589e-27 -6.83577226764e-13),2.29999754962e-09,0.0,0.0,-5.33314752408e-08,2.35712409059e-11,3.36886540285e-27,0.0,1.83228692165e-11,-9.9779254114e-25,1.92580027303e-11,5205890.0,-25859600.0
2.4e-09,1.53541e-07,1.53234e-07,1.54269e-07,1.53234e-07,2.39999571733e-09,-1e+300,1.8528314915200002e-23,2.89079223455e-25,(1.80613846762e-11 2.49905981039e-27 -6.79046086452e-13),2.39999571733e-09,0.0,0.0,-5.49488991294e-08,2.36255305705e-11,3.15599621166e-27,0.0,1.83225400331e-11,-1.02438632602e-24,1.92341314455e-11,5107160.0,-26315700.0
2.5e-09,1.53314e-07,1.53009e-07,1.54043e-07,1.53009e-07,2.50000235156e-09,-1e+300,1.84740957712e-23,2.90029515447e-25,(1.80972874692e-11 2.56473042006e-27 -6.69492138837e-13),2.50000235156e-09,0.0,0.0,-5.57011669076e-08,2.36075400199e-11,3.0051920344e-27,0.0,1.83222181654e-11,-1.0362282274e-24,1.92100118654e-11,5079580.0,-26258200.0
2.6e-09,1.53086e-07,1.52779e-07,1.53814e-07,1.52779e-07,2.59999736575e-09,-1e+300,1.8484628644900002e-23,2.91880085335e-25,(1.82017201203e-11 3.30248660812e-27 -6.65356338414e-13),2.59999736575e-09,0.0,0.0,-5.66070528978e-08,2.36736311664e-11,3.28613058273e-27,0.0,1.83218931139e-11,-1.03073577603e-24,1.91847284928e-11,5088230.0,-26316900.0
2.7e-09,1.52861e-07,1.52559e-07,1.53592e-07,1.52559e-07,2.69999994396e-09,-1e+300,1.84467988746e-23,2.93013630106e-25,(1.82570782204e-11 3.71642031687e-27 -6.58349430934e-13),2.69999994396e-09,0.0,0.0,-5.8145375047e-08,2.3674063538e-11,3.5726455235000005e-27,0.0,1.83215804648e-11,-1.00681624966e-24,1.91606498321e-11,4940440.0,-26628400.0
2.80001e-09,1.52639e-07,1.52334e-07,1.53367e-07,1.52334e-07,2.80000454584e-09,-1e+300,1.8429524673300002e-23,2.94294106444e-25,(1.8324771119e-11 4.14922123966e-27 -6.51885652026e-13),2.80000454584e-09,0.0,0.0,-5.91292946224e-08,2.36977946838e-11,3.85207818806e-27,0.0,1.83212642504e-11,-9.65193247601e-25,1.91347780018e-11,4906220.0,-26664800.0
2.9e-09,1.52416e-07,1.52114e-07,1.53146e-07,1.52114e-07,2.90000383023e-09,-1e+300,1.84078992019e-23,2.95689983137e-25,(1.83941044752e-11 4.31389831973e-27 -6.46688968542e-13),2.90000383023e-09,0.0,0.0,-6.0232947691e-08,2.37233848971e-11,4.08666655131e-27,0.0,1.83209599787e-11,-9.09364510465e-25,1.91104304395e-11,4863610.0,-26831400.0
3e-09,1.52198e-07,1.51895e-07,1.52927e-07,1.51895e-07,2.99999995866e-09,-1e+300,1.8366037215600002e-23,2.96473614914e-25,(1.84314375449e-11 4.22112157383e-27 -6.38582113177e-13),2.99999995866e-09,0.0,0.0,-6.13275889391e-08,2.37114527988e-11,4.14904320968e-27,0.0,1.83206583359e-11,-8.45214465067e-25,1.9084857336e-11,4771980.0,-26871800.0
3.1e-09,1.51978e-07,1.51677e-07,1.52709e-07,1.51677e-07,3.09999816798e-09,-1e+300,1.83592673468e-23,2.98137569589e-25,(1.85127946594e-11 4.06738552111e-27 -6.34818787335e-13),3.09999816798e-09,0.0,0.0,-6.18804228238e-08,2.37607602191e-11,4.13706538723e-27,0.0,1.83203674562e-11,-7.79216705604e-25,1.90601317834e-11,4858660.0,-26850600.0
3.2e-09,1.51764e-07,1.51462e-07,1.52493e-07,1.51462e-07,3.19999990696e-09,-1e+300,1.82956582976e-23,2.98588980223e-25,(1.85244565308e-11 3.80740000449e-27 -6.25286650034e-13),3.19999990696e-09,0.0,0.0,-6.26847301967e-08,2.37228537383e-11,4.0226573768e-27,0.0,1.8320085907e-11,-7.16448366389e-25,1.90353079856e-11,4786660.0,-26754600.0
3.3e-09,1.51547e-07,1.51245e-07,1.52277e-07,1.51245e-07,3.2999955309e-09,-1e+300,1.8306282895300002e-23,3.00287269958e-25,(1.86203155503e-11 3.15650641121e-27 -6.23168185969e-13),3.2999955309e-09,0.0,0.0,-6.43537086119e-08,2.37809683067e-11,3.5721977016000004e-27,0.0,1.83198132854e-11,-6.59263229544e-25,1.90101958765e-11,4705320.0,-27186700.0
3.4e-09,1.51336e-07,1.51035e-07,1.52066e-07,1.51035e-07,3.39999770393e-09,-1e+300,1.8246209899300002e-23,3.00874412658e-25,(1.86412762471e-11 2.66352194459e-27 -6.15671181884e-13),3.39999770393e-09,0.0,0.0,-6.50735583388e-08,2.37581108362e-11,3.2906307407300004e-27,0.0,1.83195545795e-11,-6.06524244401e-25,1.89860991128e-11,4677080.0,-27089200.0
3.5e-09,1.51123e-07,1.5082e-07,1.51853e-07,1.5082e-07,3.50000232213e-09,-1e+300,1.82451214767e-23,3.02218537266e-25,(1.87170219453e-11 2.75176815759e-27 -6.12024282728e-13),3.50000232213e-09,0.0,0.0,-6.68026395483e-08,2.37931457894e-11,3.20714562529e-27,0.0,1.83193064021e-11,-5.537370860600001e-25,1.89609019366e-11,4558130.0,-27503000.0
3.6e-09,1.50914e-07,1.50614e-07,1.51644e-07,1.50614e-07,3.59999765212e-09,-1e+300,1.81918694526e-23,3.03018065883e-25,(1.87451353564e-11 3.26303277217e-27 -6.05664979988e-13),3.59999765212e-09,0.0,0.0,-6.69878534423e-08,2.37865923742e-11,3.4588424452900004e-27,0.0,1.83190744434e-11,-4.947232649400001e-25,1.89373732642e-11,4625970.0,-27225500.0
3.7e-09,1.50704e-07,1.50401e-07,1.51434e-07,1.50401e-07,3.69999525821e-09,-1e+300,1.81779739355e-23,3.04217418741e-25,(1.88017148915e-11 3.94552902919e-27 -6.00622530911e-13),3.69999525821e-09,0.0,0.0,-6.79619175541e-08,2.38082879849e-11,4.01569476935e-27,0.0,1.83188547832e-11,-4.23890710091e-25,1.89124338953e-11,4619750.0,-27339200.0
3.8e-09,1.50497e-07,1.50199e-07,1.51228e-07,1.50199e-07,3.79999640883e-09,-1e+300,1.8133887176300002e-23,3.0487457157899998e-25,(1.88410494573e-11 4.52393716756e-27 -5.9577151173e-13),3.79999640883e-09,0.0,0.0,-6.96987952609e-08,2.38013804571e-11,4.40526734747e-27,0.0,1.83186533062e-11,-3.38012684222e-25,1.8889373214e-11,4444450.0,-27649000.0
3.9e-09,1.50291e-07,1.49989e-07,1.51021e-07,1.49989e-07,3.90000367543e-09,-1e+300,1.81106871822e-23,3.05842268155e-25,(1.8884883249e-11 4.90018830396e-27 -5.90045536837e-13),3.90000367543e-09,0.0,0.0,-7.08875447445e-08,2.38078536263e-11,4.60207060236e-27,0.0,1.83184658884e-11,-2.37279864602e-25,1.88648977213e-11,4398680.0,-27822800.0
