Time,max(Result),min(Result)
9.99998e-11,6.32217e+06,-2.17297e+07
2e-10,6.43927e+06,-2.29663e+07
3.00003e-10,6.43214e+06,-2.31546e+07
4.00002e-10,6.44452e+06,-2.31667e+07
4.99999e-10,6.34443e+06,-2.34719e+07
5.99998e-10,6.17668e+06,-2.39556e+07
6.99997e-10,6.09662e+06,-2.38823e+07
7.99998e-10,6.09425e+06,-2.39857e+07
8.99997e-10,6.12825e+06,-2.39912e+07
1e-09,5.95641e+06,-2.43044e+07
1.1e-09,5.78105e+06,-2.47994e+07
1.2e-09,5.84224e+06,-2.45742e+07
1.3e-09,5.74678e+06,-2.47408e+07
1.4e-09,5.57463e+06,-2.5277e+07
1.5e-09,5.51462e+06,-2.53786e+07
1.6e-09,5.60746e+06,-2.51144e+07
1.7e-09,5.4522e+06,-2.55465e+07
1.8e-09,5.41442e+06,-2.54539e+07
1.9e-09,5.27873e+06,-2.59286e+07
2e-09,5.21786e+06,-2.6042e+07
2.1e-09,5.27043e+06,-2.58758e+07
2.2e-09,5.26818e+06,-2.59534e+07
2.3e-09,5.20589e+06,-2.58596e+07
2.4e-09,5.10716e+06,-2.63157e+07
2.5e-09,5.07958e+06,-2.62582e+07
2.6e-09,5.08823e+06,-2.63169e+07
2.7e-09,4.94044e+06,-2.66284e+07
2.80001e-09,4.90622e+06,-2.66648e+07
2.9e-09,4.86361e+06,-2.68314e+07
3e-09,4.77198e+06,-2.68718e+07
3.1e-09,4.85866e+06,-2.68506e+07
3.2e-09,4.78666e+06,-2.67546e+07
3.3e-09,4.70532e+06,-2.71867e+07
3.4e-09,4.67708e+06,-2.70892e+07
3.5e-09,4.55813e+06,-2.7503e+07
3.6e-09,4.62597e+06,-2.72255e+07
3.7e-09,4.61975e+06,-2.73392e+07
3.8e-09,4.44445e+06,-2.7649e+07
3.9e-09,4.39868e+06,-2.78228e+07
4e-09,4.4231e+06,-2.77066e+07
4.1e-09,4.39763e+06,-2.78074e+07
4.2e-09,4.35352e+06,-2.78609e+07
4.3e-09,4.32342e+06,-2.79591e+07
4.4e-09,4.23605e+06,-2.81128e+07
