Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.00003e-10,1.60121e-07,1.59464e-07
2.00005e-10,1.59965e-07,1.59242e-07
3e-10,1.59771e-07,1.59045e-07
4e-10,1.59578e-07,1.58848e-07
4.99996e-10,1.59385e-07,1.58658e-07
5.99997e-10,1.59196e-07,1.58467e-07
6.99999e-10,1.59007e-07,1.5828e-07
7.99997e-10,1.58823e-07,1.58094e-07
9.00005e-10,1.58637e-07,1.57909e-07
1e-09,1.58457e-07,1.57728e-07
1.10001e-09,1.58275e-07,1.57545e-07
1.2e-09,1.58098e-07,1.57369e-07
1.3e-09,1.5792e-07,1.57187e-07
1.39999e-09,1.57745e-07,1.57015e-07
1.5e-09,1.57571e-07,1.56838e-07
1.6e-09,1.57397e-07,1.56666e-07
1.7e-09,1.57227e-07,1.56494e-07
1.8e-09,1.57055e-07,1.56322e-07
1.9e-09,1.56887e-07,1.56155e-07
2e-09,1.56718e-07,1.55982e-07
2.09999e-09,1.56551e-07,1.55819e-07
2.2e-09,1.56386e-07,1.5565e-07
2.3e-09,1.5622e-07,1.55486e-07
2.4e-09,1.56058e-07,1.55323e-07
2.5e-09,1.55894e-07,1.55157e-07
2.60001e-09,1.55733e-07,1.54998e-07
2.70001e-09,1.55572e-07,1.54834e-07
2.8e-09,1.55412e-07,1.54676e-07
2.90001e-09,1.55254e-07,1.54517e-07
3e-09,1.55095e-07,1.54356e-07
3.1e-09,1.54938e-07,1.54202e-07
3.2e-09,1.54782e-07,1.54042e-07
3.29999e-09,1.54626e-07,1.53888e-07
3.4e-09,1.54472e-07,1.53734e-07
3.49999e-09,1.54318e-07,1.53577e-07
3.6e-09,1.54165e-07,1.53427e-07
3.7e-09,1.54014e-07,1.53273e-07
3.80001e-09,1.53862e-07,1.53121e-07
3.9e-09,1.53712e-07,1.52973e-07
4e-09,1.53562e-07,1.52819e-07
4.1e-09,1.53413e-07,1.52673e-07
4.2e-09,1.53265e-07,1.52525e-07
4.3e-09,1.53117e-07,1.52373e-07
4.4e-09,1.5297e-07,1.5223e-07
4.5e-09,1.52825e-07,1.52083e-07
4.6e-09,1.52679e-07,1.51936e-07
