Time,max(Result),min(Result)
1.00006e-10,1.52441e+06,-4.08308e+06
2.00006e-10,1.65901e+06,-4.38912e+06
3.00006e-10,1.6839e+06,-4.45184e+06
4.00006e-10,1.69234e+06,-4.46675e+06
5.00006e-10,1.69461e+06,-4.47703e+06
6.00006e-10,1.69335e+06,-4.48534e+06
7.00006e-10,1.70401e+06,-4.49111e+06
8.00006e-10,1.71317e+06,-4.4925e+06
9.00006e-10,1.72026e+06,-4.48863e+06
1.00001e-09,1.72284e+06,-4.4901e+06
1.10001e-09,1.722e+06,-4.49557e+06
1.20001e-09,1.72039e+06,-4.5063e+06
1.30001e-09,1.73182e+06,-4.51504e+06
1.40001e-09,1.73956e+06,-4.53034e+06
1.50001e-09,1.74715e+06,-4.52472e+06
1.60001e-09,1.74983e+06,-4.52368e+06
1.70001e-09,1.74833e+06,-4.52039e+06
1.80001e-09,1.73881e+06,-4.53364e+06
1.90001e-09,1.7539e+06,-4.54221e+06
2.00001e-09,1.76348e+06,-4.5531e+06
2.10001e-09,1.77028e+06,-4.56187e+06
2.20001e-09,1.77371e+06,-4.56656e+06
2.30001e-09,1.77327e+06,-4.56744e+06
2.40001e-09,1.76856e+06,-4.56647e+06
2.50001e-09,1.77253e+06,-4.56932e+06
2.60001e-09,1.78116e+06,-4.58559e+06
2.70001e-09,1.78924e+06,-4.59804e+06
2.80001e-09,1.79427e+06,-4.60811e+06
2.90001e-09,1.79575e+06,-4.61445e+06
3.00001e-09,1.79322e+06,-4.61699e+06
3.10001e-09,1.78636e+06,-4.61795e+06
3.20001e-09,1.79443e+06,-4.62036e+06
3.30001e-09,1.80404e+06,-4.63254e+06
3.40001e-09,1.81011e+06,-4.65253e+06
3.50001e-09,1.81569e+06,-4.65684e+06
3.60001e-09,1.8155e+06,-4.66524e+06
3.70001e-09,1.81175e+06,-4.66931e+06
3.80001e-09,1.80799e+06,-4.66792e+06
3.90001e-09,1.8141e+06,-4.6787e+06
4.00001e-09,1.82369e+06,-4.68376e+06
4.10001e-09,1.83081e+06,-4.69305e+06
4.20001e-09,1.83318e+06,-4.71263e+06
4.30001e-09,1.83372e+06,-4.71734e+06
4.40001e-09,1.82955e+06,-4.72295e+06
4.50001e-09,1.82097e+06,-4.7273e+06
4.60001e-09,1.83057e+06,-4.73846e+06
