Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.00004e-10,1.60123e-07,1.59461e-07
2e-10,1.59965e-07,1.59241e-07
2.99995e-10,1.59772e-07,1.59046e-07
3.99997e-10,1.5958e-07,1.58851e-07
5e-10,1.59388e-07,1.58663e-07
6.00001e-10,1.59202e-07,1.58475e-07
7.00002e-10,1.59015e-07,1.58291e-07
8.00004e-10,1.58834e-07,1.58109e-07
9.00003e-10,1.58651e-07,1.57927e-07
1e-09,1.58474e-07,1.57751e-07
1.1e-09,1.58296e-07,1.57571e-07
1.2e-09,1.58122e-07,1.574e-07
1.3e-09,1.57948e-07,1.57224e-07
1.40001e-09,1.57776e-07,1.57055e-07
1.5e-09,1.57608e-07,1.56884e-07
1.6e-09,1.57438e-07,1.56716e-07
1.7e-09,1.57272e-07,1.5655e-07
1.8e-09,1.57105e-07,1.56381e-07
1.9e-09,1.56941e-07,1.56221e-07
1.99999e-09,1.56779e-07,1.56056e-07
2.1e-09,1.56616e-07,1.55895e-07
2.20001e-09,1.56457e-07,1.55735e-07
2.3e-09,1.56296e-07,1.55573e-07
2.4e-09,1.56139e-07,1.55418e-07
2.5e-09,1.56e-07,1.55259e-07
2.6e-09,1.55854e-07,1.55103e-07
2.7e-09,1.55671e-07,1.54949e-07
2.79999e-09,1.55517e-07,1.54791e-07
2.9e-09,1.55364e-07,1.54642e-07
3e-09,1.55213e-07,1.54488e-07
3.10001e-09,1.5506e-07,1.54336e-07
3.19999e-09,1.54911e-07,1.54188e-07
3.3e-09,1.54761e-07,1.54035e-07
3.4e-09,1.54612e-07,1.53888e-07
3.5e-09,1.54465e-07,1.53741e-07
3.6e-09,1.54318e-07,1.53589e-07
3.7e-09,1.54172e-07,1.53447e-07
3.8e-09,1.54028e-07,1.53301e-07
3.90001e-09,1.53882e-07,1.53154e-07
4e-09,1.53739e-07,1.53014e-07
4.1e-09,1.53597e-07,1.52869e-07
4.2e-09,1.53454e-07,1.52726e-07
4.3e-09,1.53314e-07,1.52587e-07
4.4e-09,1.53174e-07,1.52444e-07
4.50001e-09,1.53034e-07,1.52305e-07
4.6e-09,1.52896e-07,1.52168e-07
4.7e-09,1.52757e-07,1.52026e-07
4.8e-09,1.5262e-07,1.51891e-07
4.89999e-09,1.52484e-07,1.51755e-07
5e-09,1.52348e-07,1.51615e-07
5.1e-09,1.52212e-07,1.51482e-07
5.2e-09,1.52079e-07,1.51348e-07
5.3e-09,1.51944e-07,1.5121e-07
5.40001e-09,1.51811e-07,1.51079e-07
5.50001e-09,1.51679e-07,1.50947e-07
5.60001e-09,1.51546e-07,1.50811e-07
5.70001e-09,1.51414e-07,1.50682e-07
5.8e-09,1.51284e-07,1.50552e-07
5.90001e-09,1.51153e-07,1.50417e-07
6.00001e-09,1.51023e-07,1.5029e-07
6.1e-09,1.50894e-07,1.50161e-07
6.2e-09,1.50765e-07,1.50029e-07
6.3e-09,1.50637e-07,1.49902e-07
6.4e-09,1.50509e-07,1.49775e-07
6.50001e-09,1.50382e-07,1.49645e-07
6.6e-09,1.50255e-07,1.49518e-07
6.7e-09,1.50129e-07,1.49394e-07
6.80001e-09,1.50003e-07,1.49266e-07
6.89999e-09,1.49877e-07,1.49139e-07
7e-09,1.49753e-07,1.49017e-07
7.1e-09,1.49629e-07,1.48891e-07
7.2e-09,1.49504e-07,1.48764e-07
7.30001e-09,1.49381e-07,1.48643e-07
7.4e-09,1.49258e-07,1.4852e-07
7.5e-09,1.49135e-07,1.48393e-07
7.60001e-09,1.49013e-07,1.48274e-07
7.7e-09,1.48891e-07,1.48152e-07
7.79999e-09,1.4877e-07,1.48028e-07
7.89999e-09,1.48648e-07,1.47908e-07
7.99999e-09,1.48528e-07,1.47789e-07
8.1e-09,1.48408e-07,1.47666e-07
8.19999e-09,1.48288e-07,1.47545e-07
8.3e-09,1.48169e-07,1.47428e-07
8.40001e-09,1.4805e-07,1.47308e-07
8.5e-09,1.47931e-07,1.47186e-07
8.59999e-09,1.47813e-07,1.47071e-07
8.70001e-09,1.47696e-07,1.46953e-07
8.8e-09,1.47578e-07,1.46832e-07
