time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
1.00004246997e-10,-1e+300,7.2416653258e-24,1.500168908e-25,(9.94339690075e-12 9.40932560607e-28 -7.09119342821e-13)
1.99999941533e-10,-1e+300,8.13225872739e-24,1.44412309618e-25,(9.95068661966e-12 5.89166654714e-28 -5.03716222191e-13)
2.99995319381e-10,-1e+300,8.19263325602e-24,1.4547080840399998e-25,(9.99839371271e-12 2.98446773843e-28 -4.8051311953e-13)
3.99996735105e-10,-1e+300,8.13913632762e-24,1.46986853281e-25,(1.00500925166e-11 2.18349469898e-28 -4.74319624794e-13)
5.00000467852e-10,-1e+300,8.06980462444e-24,1.48574918851e-25,(1.01099785335e-11 -2.08489775682e-28 -4.70608383516e-13)
6.00000712618e-10,-1e+300,8.00718239293e-24,1.5021425214199999e-25,(1.01807186882e-11 -5.99016621975e-28 -4.65390103039e-13)
7.00002139109e-10,-1e+300,7.9426416243e-24,1.51725822299e-25,(1.0238541544e-11 -7.57637980094e-28 -4.57952975774e-13)
8.00004159306e-10,-1e+300,7.89087318106e-24,1.53390342747e-25,(1.03191953246e-11 -9.04701377197e-28 -4.52093908456e-13)
9.00003437666e-10,-1e+300,7.836265700400001e-24,1.5486926274e-25,(1.03668454401e-11 -9.33152588797e-28 -4.41378570076e-13)
1.0000038446e-09,-1e+300,7.79671808053e-24,1.5651677783699999e-25,(1.04539637074e-11 -5.39773822107e-28 -4.36415806258e-13)
1.10000141562e-09,-1e+300,7.75361368638e-24,1.5795017561e-25,(1.04983730864e-11 -2.6127603213e-28 -4.26226007834e-13)
1.20000293917e-09,-1e+300,7.72678351472e-24,1.5959080339199999e-25,(1.05795062006e-11 -3.64009384284e-28 -4.19393923385e-13)
1.30000095126e-09,-1e+300,7.6920034236e-24,1.60944371692e-25,(1.06294383169e-11 -1.59475938344e-28 -4.11040152565e-13)
1.40000451121e-09,-1e+300,7.66606471242e-24,1.62323221584e-25,(1.06920468223e-11 1.9767931013e-28 -4.03179917625e-13)
1.50000058257e-09,-1e+300,7.636275204510001e-24,1.63462912886e-25,(1.07473690195e-11 5.15717077558e-28 -3.95091574075e-13)
1.60000301257e-09,-1e+300,7.60882428714e-24,1.64523470188e-25,(1.0789550011e-11 1.0477340067e-27 -3.86251692481e-13)
1.70000270774e-09,-1e+300,7.58632711064e-24,1.6550103815000001e-25,(1.0849977986e-11 1.79399807863e-27 -3.78502803488e-13)
1.7999956868e-09,-1e+300,7.55350499284e-24,1.66126735585e-25,(1.08742834049e-11 2.36565171056e-27 -3.68456006672e-13)
1.90000068402e-09,-1e+300,7.539437104000001e-24,1.6700162282799999e-25,(1.09386696426e-11 2.78238816981e-27 -3.61219721901e-13)
1.99999435654e-09,-1e+300,7.50949298826e-24,1.67449555603e-25,(1.09710834635e-11 3.19998465377e-27 -3.52738013271e-13)
2.100000731e-09,-1e+300,7.490793744380001e-24,1.68072374775e-25,(1.10131189921e-11 3.21753618121e-27 -3.43489706433e-13)
2.20000541971e-09,-1e+300,7.469053673420001e-24,1.68489100292e-25,(1.10553563531e-11 2.91717826406e-27 -3.35311677606e-13)
2.29999668892e-09,-1e+300,7.44076328936e-24,1.6878773137899999e-25,(1.10741939285e-11 2.76548529943e-27 -3.24262358985e-13)
2.4000032791e-09,-1e+300,7.43020792391e-24,1.69337683168e-25,(1.11269411861e-11 2.43874284863e-27 -3.16658996487e-13)
2.49999536785e-09,-1e+300,7.399819853550001e-24,1.6947140269899999e-25,(1.11481659812e-11 2.10454362287e-27 -3.04689207896e-13)
