Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.00004e-10,1.60123e-07,1.59461e-07,1.00004246997e-10,-1e+300,7.2416653258e-24,1.500168908e-25,(9.94339690075e-12 9.40932560607e-28 -7.09119342821e-13),1.00004246997e-10,0.0,0.0,-1.80485644332e-08,1.49421656676e-11,1.17831830718e-27,0.0,1.4804218122e-11,1.40571552851e-25,1.21648904122e-11
2e-10,1.59965e-07,1.59241e-07,1.99999941533e-10,-1e+300,8.13225872739e-24,1.44412309618e-25,(9.95068661966e-12 5.89166654714e-28 -5.03716222191e-13),1.99999941533e-10,0.0,0.0,-1.93272122677e-08,1.46052693549e-11,2.8277997516e-28,0.0,1.48040739999e-11,1.2545905639299998e-25,1.22740690848e-11
2.99995e-10,1.59772e-07,1.59046e-07,2.99995319381e-10,-1e+300,8.19263325602e-24,1.4547080840399998e-25,(9.99839371271e-12 2.98446773843e-28 -4.8051311953e-13),2.99995319381e-10,0.0,0.0,-1.9739639025e-08,1.45807750865e-11,-6.51176420318e-30,0.0,1.47981196977e-11,1.01620704914e-25,1.23417684164e-11
3.99997e-10,1.5958e-07,1.58851e-07,3.99996735105e-10,-1e+300,8.13913632762e-24,1.46986853281e-25,(1.00500925166e-11 2.18349469898e-28 -4.74319624794e-13),3.99996735105e-10,0.0,0.0,-2.00699546675e-08,1.4584465889e-11,-1.79453162859e-28,0.0,1.47915698811e-11,7.11646127866e-26,1.23950420656e-11
5e-10,1.59388e-07,1.58663e-07,5.00000467852e-10,-1e+300,8.06980462444e-24,1.48574918851e-25,(1.01099785335e-11 -2.08489775682e-28 -4.70608383516e-13),5.00000467852e-10,0.0,0.0,-2.04138496073e-08,1.4598529364e-11,-5.91528615381e-28,0.0,1.47850506287e-11,3.57562682366e-26,1.24392231692e-11
6.00001e-10,1.59202e-07,1.58475e-07,6.00000712618e-10,-1e+300,8.00718239293e-24,1.50214252142e-25,(1.01807186882e-11 -5.99016621975e-28 -4.65390103039e-13),6.00000712618e-10,0.0,0.0,-2.07788122793e-08,1.46247597564e-11,-1.17481364219e-27,0.0,1.47785953199e-11,-3.63200911257e-27,1.24743218793e-11
7.00002e-10,1.59015e-07,1.58291e-07,7.00002139109e-10,-1e+300,7.9426416243e-24,1.51725822299e-25,(1.0238541544e-11 -7.57637980094e-28 -4.57952975774e-13),7.00002139109e-10,0.0,0.0,-2.12365086177e-08,1.46324214135e-11,-1.4430897335e-27,0.0,1.47722214577e-11,-4.6612424373100005e-26,1.25031590046e-11
8.00004e-10,1.58834e-07,1.58109e-07,8.00004159306e-10,-1e+300,7.89087318106e-24,1.53390342747e-25,(1.03191953246e-11 -9.04701377197e-28 -4.52093908456e-13),8.00004159306e-10,0.0,0.0,-2.15772161224e-08,1.46723435125e-11,-1.5144360195e-27,0.0,1.47659461985e-11,-9.2582662968e-26,1.25253432029e-11
9.00003e-10,1.58651e-07,1.57927e-07,9.00003437666e-10,-1e+300,7.836265700400001e-24,1.5486926274e-25,(1.03668454401e-11 -9.33152588797e-28 -4.41378570076e-13),9.00003437666e-10,0.0,0.0,-2.19465360718e-08,1.46714703171e-11,-1.54021204027e-27,0.0,1.47597193341e-11,-1.40895320821e-25,1.25430204293e-11
1e-09,1.58474e-07,1.57751e-07,1.0000038446e-09,-1e+300,7.79671808053e-24,1.5651677783699999e-25,(1.04539637074e-11 -5.39773822107e-28 -4.36415806258e-13),1.0000038446e-09,0.0,0.0,-2.23608588841e-08,1.47204711823e-11,-1.22996458092e-27,0.0,1.47535896122e-11,-1.90197184687e-25,1.25559451875e-11
1.1e-09,1.58296e-07,1.57571e-07,1.10000141562e-09,-1e+300,7.75361368638e-24,1.5795017561e-25,(1.04983730864e-11 -2.6127603213e-28 -4.26226007834e-13),1.10000141562e-09,0.0,0.0,-2.28654926273e-08,1.47156739178e-11,-1.08165490809e-27,0.0,1.47474626494e-11,-2.38833563296e-25,1.25651715744e-11
1.2e-09,1.58122e-07,1.574e-07,1.20000293917e-09,-1e+300,7.72678351472e-24,1.5959080339199999e-25,(1.05795062006e-11 -3.64009384284e-28 -4.19393923385e-13),1.20000293917e-09,0.0,0.0,-2.31906299866e-08,1.47634516016e-11,-1.19432347994e-27,0.0,1.47414574417e-11,-2.8493827644e-25,1.25711607602e-11
1.3e-09,1.57948e-07,1.57224e-07,1.30000095126e-09,-1e+300,7.6920034236e-24,1.60944371692e-25,(1.06294383169e-11 -1.59475938344e-28 -4.11040152565e-13),1.30000095126e-09,0.0,0.0,-2.36040590108e-08,1.47713931726e-11,-1.22306638973e-27,0.0,1.47354302334e-11,-3.26965583579e-25,1.25737668825e-11
1.40001e-09,1.57776e-07,1.57055e-07,1.40000451121e-09,-1e+300,7.66606471242e-24,1.62323221584e-25,(1.06920468223e-11 1.9767931013e-28 -4.03179917625e-13),1.40000451121e-09,0.0,0.0,-2.40245020727e-08,1.47978978532e-11,-9.45430343708e-28,0.0,1.47294666909e-11,-3.6392585380599998e-25,1.25741708439e-11
1.5e-09,1.57608e-07,1.56884e-07,1.50000058257e-09,-1e+300,7.636275204510001e-24,1.63462912886e-25,(1.07473690195e-11 5.15717077558e-28 -3.95091574075e-13),1.50000058257e-09,0.0,0.0,-2.4439066583e-08,1.48167296227e-11,-5.56863439512e-28,0.0,1.47235132452e-11,-3.95537905777e-25,1.25715770725e-11
1.6e-09,1.57438e-07,1.56716e-07,1.60000301257e-09,-1e+300,7.60882428714e-24,1.64523470188e-25,(1.0789550011e-11 1.0477340067e-27 -3.86251692481e-13),1.60000301257e-09,0.0,0.0,-2.48532445415e-08,1.48219196467e-11,-3.26704622173e-30,0.0,1.47175921358e-11,-4.22082162824e-25,1.25675430538e-11
1.7e-09,1.57272e-07,1.5655e-07,1.70000270774e-09,-1e+300,7.58632711064e-24,1.6550103815e-25,(1.0849977986e-11 1.79399807863e-27 -3.78502803488e-13),1.70000270774e-09,0.0,0.0,-2.51626005442e-08,1.4854233203e-11,9.1258794727e-28,0.0,1.47117047733e-11,-4.44184020407e-25,1.25610182966e-11
1.8e-09,1.57105e-07,1.56381e-07,1.7999956868e-09,-1e+300,7.55350499284e-24,1.66126735585e-25,(1.08742834049e-11 2.36565171056e-27 -3.68456006672e-13),1.7999956868e-09,0.0,0.0,-2.56710509623e-08,1.48388972653e-11,1.62049240638e-27,0.0,1.47058493354e-11,-4.6267135675699985e-25,1.25535917803e-11
1.9e-09,1.56941e-07,1.56221e-07,1.90000068402e-09,-1e+300,7.539437104000001e-24,1.67001622828e-25,(1.09386696426e-11 2.78238816981e-27 -3.61219721901e-13),1.90000068402e-09,0.0,0.0,-2.60927137819e-08,1.48786445873e-11,2.21223568322e-27,0.0,1.4700089625e-11,-4.78684764262e-25,1.25450081529e-11
1.99999e-09,1.56779e-07,1.56056e-07,1.99999435654e-09,-1e+300,7.50949298826e-24,1.67449555603e-25,(1.09710834635e-11 3.19998465377e-27 -3.52738013271e-13),1.99999435654e-09,0.0,0.0,-2.64917668535e-08,1.48796300676e-11,2.63841605069e-27,0.0,1.46944226374e-11,-4.9320541694099985e-25,1.2535619545e-11
2.1e-09,1.56616e-07,1.55895e-07,2.100000731e-09,-1e+300,7.490793744380001e-24,1.68072374775e-25,(1.10131189921e-11 3.21753618121e-27 -3.43489706433e-13),2.100000731e-09,0.0,0.0,-2.69016774695e-08,1.48950083449e-11,2.75680820418e-27,0.0,1.46888357672e-11,-5.07132875862e-25,1.25262364456e-11
2.20001e-09,1.56457e-07,1.55735e-07,2.20000541971e-09,-1e+300,7.469053673420001e-24,1.68489100292e-25,(1.10553563531e-11 2.91717826406e-27 -3.35311677606e-13),2.20000541971e-09,0.0,0.0,-2.73078063269e-08,1.49118358116e-11,2.61819805591e-27,0.0,1.46833048475e-11,-5.21473480868e-25,1.25159198029e-11
