Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.00006e-10,1.60049e-07,1.59827e-07
2.00006e-10,1.60006e-07,1.59755e-07
3.00006e-10,1.59946e-07,1.59689e-07
4.00006e-10,1.59884e-07,1.59625e-07
5.00006e-10,1.59823e-07,1.59563e-07
6.00006e-10,1.59761e-07,1.59501e-07
7.00006e-10,1.597e-07,1.5944e-07
8.00006e-10,1.59639e-07,1.59379e-07
9.00006e-10,1.59577e-07,1.59317e-07
1.00001e-09,1.59516e-07,1.59255e-07
1.10001e-09,1.59455e-07,1.59192e-07
1.20001e-09,1.59394e-07,1.59132e-07
1.30001e-09,1.59334e-07,1.59072e-07
1.40001e-09,1.59273e-07,1.59011e-07
1.50001e-09,1.59213e-07,1.5895e-07
1.60001e-09,1.59152e-07,1.58888e-07
1.70001e-09,1.59091e-07,1.58826e-07
1.80001e-09,1.59031e-07,1.58765e-07
1.90001e-09,1.58971e-07,1.58705e-07
2.00001e-09,1.58911e-07,1.58645e-07
2.10001e-09,1.58851e-07,1.58585e-07
2.20001e-09,1.5879e-07,1.58524e-07
2.30001e-09,1.5873e-07,1.58462e-07
2.40001e-09,1.58669e-07,1.584e-07
2.50001e-09,1.5861e-07,1.58341e-07
2.60001e-09,1.5855e-07,1.58281e-07
2.70001e-09,1.58491e-07,1.58222e-07
2.80001e-09,1.58431e-07,1.58162e-07
2.90001e-09,1.58371e-07,1.58101e-07
3.00001e-09,1.58312e-07,1.5804e-07
3.10001e-09,1.58252e-07,1.57979e-07
3.20001e-09,1.58194e-07,1.57921e-07
3.30001e-09,1.58135e-07,1.57862e-07
3.40001e-09,1.58077e-07,1.57803e-07
3.50001e-09,1.58018e-07,1.57743e-07
3.60001e-09,1.57959e-07,1.57684e-07
3.70001e-09,1.579e-07,1.57623e-07
3.80001e-09,1.57842e-07,1.57564e-07
3.90001e-09,1.57784e-07,1.57507e-07
4.00001e-09,1.57727e-07,1.57449e-07
4.10001e-09,1.57669e-07,1.57391e-07
4.20001e-09,1.57611e-07,1.57333e-07
