time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
1.00005930555e-10,-1e+300,5.86593336895e-25,2.44570781066e-26,(2.91248093308e-12 7.36688780252e-28 -2.00130963709e-14)
2.00005930555e-10,-1e+300,7.08319870764e-25,2.56625590027e-26,(3.01794646962e-12 5.56847823521e-28 4.80315867861e-14)
3.00005930555e-10,-1e+300,7.260480392489999e-25,2.5996013184500003e-26,(3.05878256802e-12 5.55799503593e-28 6.05322201187e-14)
4.00005930555e-10,-1e+300,7.25589926394e-25,2.61083055412e-26,(3.08727202868e-12 5.73934874553e-28 6.38033715108e-14)
5.00005930555e-10,-1e+300,7.2312671547299995e-25,2.62062034243e-26,(3.11295950795e-12 5.57415362625e-28 6.54866558023e-14)
6.00005930555e-10,-1e+300,7.2261607265000005e-25,2.6371444570700003e-26,(3.14155597525e-12 4.6869100654e-28 6.58286901644e-14)
7.00005930555e-10,-1e+300,7.2308649827e-25,2.65394182876e-26,(3.16800658885e-12 4.25332491846e-28 6.6604647251e-14)
8.00005930555e-10,-1e+300,7.24139399877e-25,2.67027803535e-26,(3.1924361755e-12 3.69908066126e-28 6.75273208093e-14)
9.00005930555e-10,-1e+300,7.25483409489e-25,2.6856203836e-26,(3.21486299448e-12 3.18724572344e-28 6.85665613064e-14)
1.00000593055e-09,-1e+300,7.2691009427000005e-25,2.69973270839e-26,(3.23539237101e-12 3.27131165747e-28 6.97637552613e-14)
1.10000593055e-09,-1e+300,7.28281930844e-25,2.71237064289e-26,(3.25409112231e-12 1.87831121413e-28 7.11906825812e-14)
1.20000593055e-09,-1e+300,7.3040484211e-25,2.7279318406e-26,(3.27542530549e-12 1.78301508932e-28 7.22515484198e-14)
1.30000593055e-09,-1e+300,7.33419162074e-25,2.74553039913e-26,(3.29761302633e-12 1.07114998771e-28 7.3109818876e-14)
1.40000593055e-09,-1e+300,7.363729154300001e-25,2.76160458141e-26,(3.31822969397e-12 2.11995145724e-29 7.40882779568e-14)
1.50000593055e-09,-1e+300,7.39101157834e-25,2.77598179217e-26,(3.33719233636e-12 -1.72698235619e-30 7.51782178711e-14)
1.60000593055e-09,-1e+300,7.4146609934000005e-25,2.7884704734999996e-26,(3.35449529349e-12 -5.377397923e-29 7.63591859165e-14)
1.70000593055e-09,-1e+300,7.43402344123e-25,2.79893943311e-26,(3.37010050103e-12 -1.43635955868e-28 7.77943323778e-14)
1.80000593055e-09,-1e+300,7.449821988469999e-25,2.8078273058e-26,(3.38447818482e-12 -2.41189524509e-28 7.92392294261e-14)
