Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.00006e-10,1.60049e-07,1.59827e-07,1.00005930555e-10,-1e+300,5.86593336895e-25,2.44570781066e-26,(2.91248093308e-12 7.36688780252e-28 -2.00130963709e-14),1.00005930555e-10,0.0,0.0,-3.88689202961e-09,4.744226130710001e-12,8.14591964865e-28,0.0,8.630522139160001e-12,3.1382224020300004e-26,4.75403154202e-12
2.00006e-10,1.60006e-07,1.59755e-07,2.00005930555e-10,-1e+300,7.08319870764e-25,2.56625590027e-26,(3.01794646962e-12 5.56847823521e-28 4.80315867861e-14),2.00005930555e-10,0.0,0.0,-4.37558328243e-09,4.77397082536e-12,3.8457228645699995e-28,0.0,8.6407469358e-12,2.6217491074500004e-26,4.798853160550001e-12
3.00006e-10,1.59946e-07,1.59689e-07,3.00005930555e-10,-1e+300,7.260480392489998e-25,2.5996013184500003e-26,(3.05878256802e-12 5.55799503593e-28 6.05322201187e-14),3.00005930555e-10,0.0,0.0,-4.48404271999e-09,4.79876669768e-12,2.68988515544e-28,0.0,8.64757217429e-12,2.0735710984e-26,4.8388301836e-12
4.00006e-10,1.59884e-07,1.59625e-07,4.00005930555e-10,-1e+300,7.25589926394e-25,2.61083055412e-26,(3.08727202868e-12 5.73934874553e-28 6.38033715108e-14),4.00005930555e-10,0.0,0.0,-4.53131755183e-09,4.81878393736e-12,2.07644961437e-28,0.0,8.653680857740001e-12,1.51353244229e-26,4.876442072980001e-12
5.00006e-10,1.59823e-07,1.59563e-07,5.00005930555e-10,-1e+300,7.231267154729999e-25,2.62062034243e-26,(3.11295950795e-12 5.57415362625e-28 6.54866558023e-14),5.00005930555e-10,0.0,0.0,-4.56992906927e-09,4.837020546290001e-12,1.57750896677e-28,0.0,8.65954906524e-12,9.55269853819e-27,4.912461510890001e-12
6.00006e-10,1.59761e-07,1.59501e-07,6.00005930555e-10,-1e+300,7.2261607265e-25,2.6371444570700003e-26,(3.14155597525e-12 4.6869100654e-28 6.58286901644e-14),6.00005930555e-10,0.0,0.0,-4.61270273472e-09,4.859929665660001e-12,6.05222479533e-29,0.0,8.66527618978e-12,4.08349971103e-27,4.94716745098e-12
7.00006e-10,1.597e-07,1.5944e-07,7.00005930555e-10,-1e+300,7.2308649827e-25,2.65394182876e-26,(3.16800658885e-12 4.25332491846e-28 6.6604647251e-14),7.00005930555e-10,0.0,0.0,-4.65688204586e-09,4.880399306990001e-12,-4.34373492731e-29,0.0,8.67086629874e-12,-1.22821813501e-27,4.98061835659e-12
8.00006e-10,1.59639e-07,1.59379e-07,8.00005930555e-10,-1e+300,7.24139399877e-25,2.67027803535e-26,(3.1924361755e-12 3.69908066126e-28 6.75273208093e-14),8.00005930555e-10,0.0,0.0,-4.70205920851e-09,4.89847448792e-12,-1.41820762021e-28,0.0,8.6763520637e-12,-6.33509781502e-27,5.01290835756e-12
9.00006e-10,1.59577e-07,1.59317e-07,9.00005930555e-10,-1e+300,7.25483409489e-25,2.6856203836e-26,(3.21486299448e-12 3.18724572344e-28 6.85665613064e-14),9.00005930555e-10,0.0,0.0,-4.74756595566e-09,4.914171732320001e-12,-2.38364972894e-28,0.0,8.68173614985e-12,-1.12016616303e-26,5.04410255741e-12
1.00001e-09,1.59516e-07,1.59255e-07,1.00000593055e-09,-1e+300,7.2691009427e-25,2.69973270839e-26,(3.23539237101e-12 3.27131165747e-28 6.97637552613e-14),1.00000593055e-09,0.0,0.0,-4.79319846697e-09,4.927579432830001e-12,-3.33088756179e-28,0.0,8.687023502160002e-12,-1.57997785897e-26,5.074269764850001e-12
1.10001e-09,1.59455e-07,1.59192e-07,1.10000593055e-09,-1e+300,7.28281930844e-25,2.71237064289e-26,(3.25409112231e-12 1.87831121413e-28 7.11906825812e-14),1.10000593055e-09,0.0,0.0,-4.83866439268e-09,4.938740117570001e-12,-4.2900113053300005e-28,0.0,8.69221767585e-12,-2.01121169639e-26,5.10345172508e-12
1.20001e-09,1.59394e-07,1.59132e-07,1.20000593055e-09,-1e+300,7.3040484211e-25,2.7279318406e-26,(3.27542530549e-12 1.78301508932e-28 7.22515484198e-14),1.20000593055e-09,0.0,0.0,-4.88664987004e-09,4.953757210180001e-12,-5.01414008884e-28,0.0,8.697331672490001e-12,-2.41202802695e-26,5.13171159396e-12
1.30001e-09,1.59334e-07,1.59072e-07,1.30000593055e-09,-1e+300,7.33419162074e-25,2.74553039913e-26,(3.29761302633e-12 1.07114998771e-28 7.3109818876e-14),1.30000593055e-09,0.0,0.0,-4.93736936551e-09,4.970233207620001e-12,-5.689088887280001e-28,0.0,8.70234726784e-12,-2.7817126952e-26,5.159059823210001e-12
1.40001e-09,1.59273e-07,1.59011e-07,1.40000593055e-09,-1e+300,7.363729154300001e-25,2.76160458141e-26,(3.31822969397e-12 2.11995145724e-29 7.40882779568e-14),1.40000593055e-09,0.0,0.0,-4.98800730912e-09,4.984768452420001e-12,-6.42296066391e-28,0.0,8.70726429275e-12,-3.12227431626e-26,5.18546375011e-12
1.50001e-09,1.59213e-07,1.5895e-07,1.50000593055e-09,-1e+300,7.39101157834e-25,2.77598179217e-26,(3.33719233636e-12 -1.72698235619e-30 7.51782178711e-14),1.50000593055e-09,0.0,0.0,-5.03804661052e-09,4.997271986950001e-12,-7.12652030451e-28,0.0,8.712085207430001e-12,-3.43567076727e-26,5.210929942390001e-12
1.60001e-09,1.59152e-07,1.58888e-07,1.60000593055e-09,-1e+300,7.4146609934e-25,2.7884704734999996e-26,(3.35449529349e-12 -5.377397923e-29 7.63591859165e-14),1.60000593055e-09,0.0,0.0,-5.08716918837e-09,5.00771620945e-12,-7.865868604660001e-28,0.0,8.716807935260001e-12,-3.72451871248e-26,5.23546056039e-12
1.70001e-09,1.59091e-07,1.58826e-07,1.70000593055e-09,-1e+300,7.43402344123e-25,2.79893943311e-26,(3.37010050103e-12 -1.43635955868e-28 7.77943323778e-14),1.70000593055e-09,0.0,0.0,-5.13512466298e-09,5.01607229381e-12,-8.580300680550001e-28,0.0,8.721431513690001e-12,-3.99226258184e-26,5.25905444173e-12
1.80001e-09,1.59031e-07,1.58765e-07,1.80000593055e-09,-1e+300,7.4498219884699985e-25,2.8078273058e-26,(3.38447818482e-12 -2.41189524509e-28 7.92392294261e-14),1.80000593055e-09,0.0,0.0,-5.18246242498e-09,5.022956631550001e-12,-9.27981271035e-28,0.0,8.725952436620001e-12,-4.24320857921e-26,5.281708111020001e-12
1.90001e-09,1.58971e-07,1.58705e-07,1.90000593055e-09,-1e+300,7.47530366347e-25,2.8212253821300003e-26,(3.40347552445e-12 -2.69773433586e-28 8.01513817194e-14),1.90000593055e-09,0.0,0.0,-5.23296677202e-09,5.036404287390001e-12,-9.54672627211e-28,0.0,8.730386889470001e-12,-4.48124366329e-26,5.30346995917e-12
2.00001e-09,1.58911e-07,1.58645e-07,2.00000593055e-09,-1e+300,7.5028141238899985e-25,2.83412430595e-26,(3.42111660395e-12 -3.34819796282e-28 8.10430887125e-14),2.00000593055e-09,0.0,0.0,-5.28429886098e-09,5.0482059553e-12,-9.64895557662e-28,0.0,8.73469532577e-12,-4.7112233344600005e-26,5.324256271770001e-12
2.10001e-09,1.58851e-07,1.58585e-07,2.10000593056e-09,-1e+300,7.52738363922e-25,2.8452885271700003e-26,(3.43722296621e-12 -3.5136085323e-28 8.21677217055e-14),2.10000593056e-09,0.0,0.0,-5.33475299638e-09,5.058110409810001e-12,-9.59452518699e-28,0.0,8.738895570090001e-12,-4.94022688407e-26,5.34406158393e-12
2.20001e-09,1.5879e-07,1.58524e-07,2.20000593056e-09,-1e+300,7.548036200359998e-25,2.8546256145100003e-26,(3.45174717239e-12 -3.5389202359e-28 8.33724845831e-14),2.20000593056e-09,0.0,0.0,-5.38386826606e-09,5.06606554056e-12,-9.42684878497e-28,0.0,8.742981237840001e-12,-5.174311215990001e-26,5.362881950530001e-12
2.30001e-09,1.5873e-07,1.58462e-07,2.30000593056e-09,-1e+300,7.56369346677e-25,2.86192984222e-26,(3.4646353309e-12 -4.07015476358e-28 8.45861701152e-14),2.30000593056e-09,0.0,0.0,-5.43149348135e-09,5.0720289552e-12,-9.18563831983e-28,0.0,8.746946506190001e-12,-5.41922497408e-26,5.38071290702e-12
2.40001e-09,1.58669e-07,1.584e-07,2.40000593056e-09,-1e+300,7.57432298136e-25,2.86726796437e-26,(3.47588169992e-12 -4.44815689362e-28 8.58355701064e-14),2.40000593056e-09,0.0,0.0,-5.47315992837e-09,5.07619599107e-12,-8.93572554378e-28,0.0,8.75078232249e-12,-5.68093325015e-26,5.39754843532e-12
2.50001e-09,1.5861e-07,1.58341e-07,2.50000593056e-09,-1e+300,7.5842545203799985e-25,2.87302257271e-26,(3.48832566543e-12 -4.27747861644e-28 8.69082519348e-14),2.50000593056e-09,0.0,0.0,-5.52333390015e-09,5.081894374710001e-12,-8.73216005119e-28,0.0,8.754486169590001e-12,-5.96628644747e-26,5.413360205350001e-12
2.60001e-09,1.5855e-07,1.58281e-07,2.60000593056e-09,-1e+300,7.59999479305e-25,2.88115315628e-26,(3.50278178022e-12 -4.5768340597e-28 8.80479526e-14),2.60000593056e-09,0.0,0.0,-5.57151265536e-09,5.09097312446e-12,-8.98269260433e-28,0.0,8.75804855708e-12,-6.28063251041e-26,5.428161948770001e-12
2.70001e-09,1.58491e-07,1.58222e-07,2.70000593056e-09,-1e+300,7.61533890982e-25,2.88844322167e-26,(3.51572121327e-12 -4.39200701368e-28 8.92032377377e-14),2.70000593056e-09,0.0,0.0,-5.62013296924e-09,5.098288069740001e-12,-9.29061441571e-28,0.0,8.7614477954e-12,-6.62787055569e-26,5.441907552990001e-12
2.80001e-09,1.58431e-07,1.58162e-07,2.80000593056e-09,-1e+300,7.62568347568e-25,2.89358751869e-26,(3.52687476732e-12 -4.98312033318e-28 9.03566745289e-14),2.80000593056e-09,0.0,0.0,-5.66402807898e-09,5.10376280967e-12,-9.63956517106e-28,0.0,8.764692713690001e-12,-7.00856647215e-26,5.45465096286e-12
2.90001e-09,1.58371e-07,1.58101e-07,2.90000593056e-09,-1e+300,7.630086578429999e-25,2.89654636931e-26,(3.53629711553e-12 -5.09469295426e-28 9.1862923929e-14),2.90000593056e-09,0.0,0.0,-5.70705757071e-09,5.10730394683e-12,-9.95083806599e-28,0.0,8.767781867610001e-12,-7.42302102577e-26,5.466479058540001e-12
