time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
9.99964237152e-11,-1e+300,1.63063111331e-23,2.45341614377e-25,(1.58186457058e-11 1.16414844482e-27 -1.30554491484e-12)
2.00002410764e-10,-1e+300,1.81970333094e-23,2.32872123881e-25,(1.55671141783e-11 5.65714385915e-28 -9.69426155956e-13)
3.00000209967e-10,-1e+300,1.83386065405e-23,2.34619713554e-25,(1.56050864095e-11 2.51467802148e-28 -9.29423012942e-13)
3.99997819856e-10,-1e+300,1.81703174672e-23,2.37148888626e-25,(1.56977924145e-11 7.58756126062e-28 -9.17381071606e-13)
4.9999896852e-10,-1e+300,1.79342836354e-23,2.3951310800699997e-25,(1.57622322694e-11 1.36009994102e-27 -9.00078453544e-13)
6.00001542513e-10,-1e+300,1.77329996616e-23,2.42469644679e-25,(1.59158853877e-11 8.04401755488e-28 -8.88596172126e-13)
7.00000552765e-10,-1e+300,1.7516330520700001e-23,2.44904567986e-25,(1.60364591609e-11 6.0747877369e-28 -8.73287518995e-13)
8.00001726873e-10,-1e+300,1.73234317338e-23,2.46984123339e-25,(1.61262560738e-11 3.91219520539e-28 -8.55327761933e-13)
9.00002620918e-10,-1e+300,1.71993362809e-23,2.4991484870799997e-25,(1.62858973818e-11 1.05174458447e-27 -8.43564256001e-13)
1.00000344187e-09,-1e+300,1.70550184127e-23,2.52178421269e-25,(1.64012703161e-11 1.07380822044e-27 -8.28999654181e-13)
1.1000008706e-09,-1e+300,1.69451162894e-23,2.54415811902e-25,(1.64946973765e-11 6.85761642789e-28 -8.14317718918e-13)
1.19999866022e-09,-1e+300,1.68690170846e-23,2.57035978382e-25,(1.66417089787e-11 1.03484186789e-27 -8.03843889909e-13)
1.30000208602e-09,-1e+300,1.67652745303e-23,2.5877534675699997e-25,(1.67392338066e-11 1.43324075682e-27 -7.91445657321e-13)
1.4000001742e-09,-1e+300,1.67147445138e-23,2.61067765242e-25,(1.68449358285e-11 2.12609669095e-27 -7.79953616461e-13)
1.49999874387e-09,-1e+300,1.66522835305e-23,2.6310760688000003e-25,(1.69665129373e-11 2.88100308169e-27 -7.70744945305e-13)
1.59999735966e-09,-1e+300,1.65868606469e-23,2.64609670445e-25,(1.70326771723e-11 3.23691683058e-27 -7.58282090893e-13)
1.70000252482e-09,-1e+300,1.65521682095e-23,2.66772501341e-25,(1.71566600912e-11 3.25402661972e-27 -7.5029492967e-13)
1.79999668754e-09,-1e+300,1.64935290518e-23,2.68212715793e-25,(1.7242100455e-11 3.35331677842e-27 -7.40865141819e-13)
1.9000008415e-09,-1e+300,1.6455336735300002e-23,2.6987009710000003e-25,(1.73173229743e-11 2.98767148211e-27 -7.30655932714e-13)
2.00000446818e-09,-1e+300,1.6408960588900002e-23,2.71251439984e-25,(1.74213885451e-11 2.91419178549e-27 -7.23453677744e-13)
2.09999723213e-09,-1e+300,1.63657872625e-23,2.72522185406e-25,(1.74603364428e-11 2.42368489156e-27 -7.12038003565e-13)
2.20000023355e-09,-1e+300,1.63372073332e-23,2.74160196985e-25,(1.75725208235e-11 2.62849382159e-27 -7.06306412965e-13)
2.29999634215e-09,-1e+300,1.6297180493600002e-23,2.7547481166199998e-25,(1.76236702622e-11 2.60328026733e-27 -6.96705787487e-13)
2.39999760786e-09,-1e+300,1.6262606393e-23,2.76781469398e-25,(1.77004099781e-11 2.64290254472e-27 -6.89088934652e-13)
2.50000308642e-09,-1e+300,1.6227861539999998e-23,2.77925244541e-25,(1.77670563486e-11 2.7016772004e-27 -6.8177746155e-13)
2.60000166969e-09,-1e+300,1.61883562412e-23,2.78874590281e-25,(1.78161151119e-11 2.58374796598e-27 -6.73095652002e-13)
2.69999713758e-09,-1e+300,1.61571733426e-23,2.80035479941e-25,(1.78915789015e-11 3.26621714565e-27 -6.66881830069e-13)
2.79999738877e-09,-1e+300,1.6111757773000002e-23,2.8091287253199997e-25,(1.79153331548e-11 3.44234336121e-27 -6.57276851378e-13)
2.89999896897e-09,-1e+300,1.6084070511000002e-23,2.8210263810099997e-25,(1.79980952126e-11 3.95619868803e-27 -6.52240167705e-13)
2.99999539251e-09,-1e+300,1.6036217793600002e-23,2.82778336608e-25,(1.80081853541e-11 4.030245593e-27 -6.42367354513e-13)
3.09999618905e-09,-1e+300,1.60122580622e-23,2.8387841785e-25,(1.80944637629e-11 4.19353623626e-27 -6.38065608847e-13)
3.20000056341e-09,-1e+300,1.59722610757e-23,2.84578211336e-25,(1.81111142115e-11 4.12805230466e-27 -6.29367551104e-13)
3.30000009231e-09,-1e+300,1.59414887878e-23,2.85501436953e-25,(1.81820357765e-11 4.09213053406e-27 -6.24144858645e-13)
3.39999548519e-09,-1e+300,1.5904279381600002e-23,2.8634846068299997e-25,(1.82003587979e-11 3.83516273298e-27 -6.16327634278e-13)
3.50000116351e-09,-1e+300,1.5870433013e-23,2.87163192613e-25,(1.82591874156e-11 3.20485050912e-27 -6.10962433009e-13)
3.59999773888e-09,-1e+300,1.5835846807700002e-23,2.88004694917e-25,(1.82793121631e-11 2.99893911371e-27 -6.03925233034e-13)
3.69999571623e-09,-1e+300,1.5801148322e-23,2.88692288859e-25,(1.83315425123e-11 2.7950237358e-27 -5.98160841651e-13)
3.79999978803e-09,-1e+300,1.57661837758e-23,2.89416163496e-25,(1.83519295788e-11 2.77617358813e-27 -5.916717975e-13)
3.90000363537e-09,-1e+300,1.57319169956e-23,2.9011729522799997e-25,(1.83986196312e-11 3.32859210283e-27 -5.85884376481e-13)
4.00000343213e-09,-1e+300,1.5696805858900002e-23,2.90648809281e-25,(1.84189565086e-11 3.8695161454e-27 -5.79846353608e-13)
4.09999585248e-09,-1e+300,1.56664950528e-23,2.9130632963099997e-25,(1.84651502623e-11 4.15533028681e-27 -5.74463694317e-13)
