Time,max(CACoordsX),min(CACoordsX)
9.99966e-11,1.59516e-07,1.59193e-07
2.00001e-10,1.59203e-07,1.58876e-07
2.99997e-10,1.58914e-07,1.58583e-07
4.00003e-10,1.58629e-07,1.58295e-07
4.99997e-10,1.58349e-07,1.58011e-07
6.00002e-10,1.58076e-07,1.57739e-07
6.99998e-10,1.57807e-07,1.57467e-07
8e-10,1.57542e-07,1.57198e-07
8.99998e-10,1.57283e-07,1.5694e-07
9.99998e-10,1.57027e-07,1.56682e-07
1.1e-09,1.56773e-07,1.56426e-07
1.2e-09,1.56526e-07,1.56179e-07
1.3e-09,1.5628e-07,1.55931e-07
1.4e-09,1.56037e-07,1.55688e-07
1.5e-09,1.55799e-07,1.55448e-07
1.6e-09,1.5556e-07,1.55207e-07
1.7e-09,1.55329e-07,1.54976e-07
1.8e-09,1.55096e-07,1.54741e-07
1.9e-09,1.54868e-07,1.54514e-07
2e-09,1.54641e-07,1.54286e-07
2.1e-09,1.54416e-07,1.5406e-07
2.2e-09,1.54196e-07,1.53839e-07
2.3e-09,1.53973e-07,1.53615e-07
2.4e-09,1.53758e-07,1.534e-07
2.5e-09,1.5354e-07,1.5318e-07
2.6e-09,1.53328e-07,1.52969e-07
2.7e-09,1.53115e-07,1.52754e-07
2.8e-09,1.52906e-07,1.52546e-07
2.9e-09,1.52696e-07,1.52335e-07
3e-09,1.5249e-07,1.5213e-07
3.1e-09,1.52284e-07,1.51923e-07
3.2e-09,1.52081e-07,1.5172e-07
3.29999e-09,1.51879e-07,1.51516e-07
3.39999e-09,1.51679e-07,1.51317e-07
3.5e-09,1.51479e-07,1.51116e-07
3.6e-09,1.51282e-07,1.5092e-07
3.7e-09,1.51086e-07,1.50722e-07
3.8e-09,1.50891e-07,1.50529e-07
3.9e-09,1.50697e-07,1.50333e-07
4e-09,1.50506e-07,1.50143e-07
4.1e-09,1.50314e-07,1.49949e-07
4.2e-09,1.50125e-07,1.49762e-07
4.3e-09,1.49935e-07,1.49569e-07
4.4e-09,1.4975e-07,1.49386e-07
4.5e-09,1.49561e-07,1.49195e-07
4.6e-09,1.49378e-07,1.49014e-07
4.7e-09,1.49191e-07,1.48827e-07
4.8e-09,1.49011e-07,1.48647e-07
4.9e-09,1.48828e-07,1.48463e-07
5e-09,1.48648e-07,1.48283e-07
5.1e-09,1.48468e-07,1.48103e-07
5.2e-09,1.48289e-07,1.47923e-07
5.3e-09,1.48112e-07,1.47747e-07
5.39999e-09,1.47933e-07,1.47567e-07
5.5e-09,1.47759e-07,1.47394e-07
5.6e-09,1.47581e-07,1.47215e-07
5.7e-09,1.4741e-07,1.47045e-07
5.8e-09,1.47235e-07,1.4687e-07
5.9e-09,1.47063e-07,1.46698e-07
6e-09,1.46892e-07,1.46527e-07
6.1e-09,1.4672e-07,1.46354e-07
6.20001e-09,1.46552e-07,1.46187e-07
6.30001e-09,1.4638e-07,1.46014e-07
6.4e-09,1.46214e-07,1.45849e-07
6.50001e-09,1.46045e-07,1.4568e-07
6.60001e-09,1.45879e-07,1.45513e-07
6.70001e-09,1.45713e-07,1.45349e-07
6.8e-09,1.45546e-07,1.4518e-07
6.9e-09,1.45383e-07,1.45019e-07
6.99999e-09,1.45217e-07,1.44853e-07
7.1e-09,1.45056e-07,1.44691e-07
7.2e-09,1.44893e-07,1.44529e-07
7.3e-09,1.4473e-07,1.44365e-07
7.39999e-09,1.44571e-07,1.44207e-07
7.49999e-09,1.44408e-07,1.44044e-07
7.6e-09,1.4425e-07,1.43886e-07
7.7e-09,1.44091e-07,1.43727e-07
7.80001e-09,1.43931e-07,1.43566e-07
7.9e-09,1.43775e-07,1.43412e-07
8e-09,1.43616e-07,1.43252e-07
