Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
9.99966e-11,1.60167e-07,1.59193e-07
2.00001e-10,1.59916e-07,1.58876e-07
2.99997e-10,1.59626e-07,1.58583e-07
4.00003e-10,1.59336e-07,1.58295e-07
4.99997e-10,1.59052e-07,1.58011e-07
6.00002e-10,1.58776e-07,1.57739e-07
6.99998e-10,1.58503e-07,1.57467e-07
8e-10,1.58235e-07,1.57198e-07
8.99998e-10,1.57974e-07,1.5694e-07
9.99998e-10,1.57714e-07,1.56682e-07
1.1e-09,1.57459e-07,1.56426e-07
1.2e-09,1.5721e-07,1.56179e-07
1.3e-09,1.5696e-07,1.55931e-07
1.4e-09,1.56715e-07,1.55688e-07
1.5e-09,1.56474e-07,1.55448e-07
1.6e-09,1.56234e-07,1.55207e-07
1.7e-09,1.56001e-07,1.54976e-07
1.8e-09,1.55765e-07,1.54741e-07
1.9e-09,1.55535e-07,1.54514e-07
2e-09,1.55307e-07,1.54286e-07
2.1e-09,1.5508e-07,1.5406e-07
2.2e-09,1.54858e-07,1.53839e-07
2.3e-09,1.54635e-07,1.53615e-07
2.4e-09,1.54417e-07,1.534e-07
2.5e-09,1.54198e-07,1.5318e-07
2.6e-09,1.53985e-07,1.52969e-07
2.7e-09,1.5377e-07,1.52754e-07
2.8e-09,1.53559e-07,1.52546e-07
2.9e-09,1.53349e-07,1.52335e-07
3e-09,1.53141e-07,1.5213e-07
3.1e-09,1.52935e-07,1.51923e-07
3.2e-09,1.5273e-07,1.5172e-07
3.29999e-09,1.52528e-07,1.51516e-07
3.39999e-09,1.52326e-07,1.51317e-07
3.5e-09,1.52127e-07,1.51116e-07
3.6e-09,1.51928e-07,1.5092e-07
3.7e-09,1.51731e-07,1.50722e-07
3.8e-09,1.51536e-07,1.50529e-07
3.9e-09,1.51342e-07,1.50333e-07
4e-09,1.51149e-07,1.50143e-07
4.1e-09,1.50957e-07,1.49949e-07
4.2e-09,1.50768e-07,1.49762e-07
4.3e-09,1.50578e-07,1.49569e-07
4.4e-09,1.50391e-07,1.49386e-07
4.5e-09,1.50204e-07,1.49195e-07
4.6e-09,1.50019e-07,1.49014e-07
4.7e-09,1.49834e-07,1.48827e-07
4.8e-09,1.49652e-07,1.48647e-07
4.9e-09,1.49468e-07,1.48463e-07
5e-09,1.49288e-07,1.48283e-07
5.1e-09,1.49107e-07,1.48103e-07
5.2e-09,1.48929e-07,1.47923e-07
5.3e-09,1.48751e-07,1.47747e-07
5.39999e-09,1.48573e-07,1.47567e-07
5.5e-09,1.48398e-07,1.47394e-07
5.6e-09,1.48222e-07,1.47215e-07
5.7e-09,1.48048e-07,1.47045e-07
5.8e-09,1.47874e-07,1.4687e-07
5.9e-09,1.47702e-07,1.46698e-07
6e-09,1.4753e-07,1.46527e-07
6.1e-09,1.47359e-07,1.46354e-07
6.20001e-09,1.4719e-07,1.46187e-07
6.30001e-09,1.4702e-07,1.46014e-07
6.4e-09,1.46852e-07,1.45849e-07
6.50001e-09,1.46684e-07,1.4568e-07
6.60001e-09,1.46518e-07,1.45513e-07
6.70001e-09,1.46351e-07,1.45349e-07
6.8e-09,1.46186e-07,1.4518e-07
6.9e-09,1.46022e-07,1.45019e-07
6.99999e-09,1.45857e-07,1.44853e-07
7.1e-09,1.45695e-07,1.44691e-07
7.2e-09,1.45532e-07,1.44529e-07
7.3e-09,1.45371e-07,1.44365e-07
7.39999e-09,1.45211e-07,1.44207e-07
7.49999e-09,1.45049e-07,1.44044e-07
7.6e-09,1.4489e-07,1.43886e-07
7.7e-09,1.44731e-07,1.43727e-07
7.80001e-09,1.44572e-07,1.43566e-07
7.9e-09,1.44416e-07,1.43412e-07
8e-09,1.44257e-07,1.43252e-07
8.1e-09,1.44102e-07,1.43097e-07
8.2e-09,1.43945e-07,1.42942e-07
8.3e-09,1.4379e-07,1.42783e-07
8.40001e-09,1.43636e-07,1.42632e-07
8.5e-09,1.43481e-07,1.42477e-07
8.6e-09,1.43329e-07,1.42323e-07
8.7e-09,1.43176e-07,1.42172e-07
8.8e-09,1.43023e-07,1.42015e-07
8.9e-09,1.42872e-07,1.41867e-07
9e-09,1.4272e-07,1.41716e-07
9.1e-09,1.4257e-07,1.41562e-07
9.2e-09,1.4242e-07,1.41416e-07
9.3e-09,1.4227e-07,1.41264e-07
9.4e-09,1.42122e-07,1.41115e-07
9.5e-09,1.41973e-07,1.40969e-07
9.6e-09,1.41825e-07,1.40816e-07
9.69999e-09,1.41678e-07,1.40672e-07
9.8e-09,1.41531e-07,1.40526e-07
