Time,max(CACoordsX),min(CACoordsX),max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
9.99966e-11,1.59516e-07,1.59193e-07,1.60167e-07,1.59193e-07,9.99966047625e-11,-1e+300,1.71811327163e-23,2.45021443892e-25,(1.55408903542e-11 1.09200222022e-27 -1.14979511147e-12),9.99966047625e-11,0.0,0.0,-2.9523012692e-08,2.31646947175e-11,1.97158705169e-27,0.0,1.82162435796e-11,1.94276076781e-25,1.85782990983e-11
2.00001e-10,1.59203e-07,1.58876e-07,1.59916e-07,1.58876e-07,2.00001366333e-10,-1e+300,1.89754753793e-23,2.34190745581e-25,(1.53163777622e-11 6.14359707467e-28 -8.54587894527e-13),2.00001366333e-10,0.0,0.0,-3.11077647178e-08,2.23676258908e-11,1.06724056052e-27,0.0,1.81946380645e-11,1.38661849233e-25,1.87127125025e-11
2.99997e-10,1.58914e-07,1.58583e-07,1.59626e-07,1.58583e-07,2.99997300798e-10,-1e+300,1.90519223338e-23,2.3556344758e-25,(1.531083467e-11 3.70089140469e-28 -8.22078981515e-13),2.99997300798e-10,0.0,0.0,-3.2525720186e-08,2.22054283677e-11,1.22761688027e-27,0.0,1.81678598263e-11,6.12161321474e-26,1.87789250311e-11
4.00003e-10,1.58629e-07,1.58295e-07,1.59336e-07,1.58295e-07,4.00003063044e-10,-1e+300,1.8917003033e-23,2.38418677902e-25,(1.54115067217e-11 4.49640166594e-28 -8.16761882116e-13),4.00003063044e-10,0.0,0.0,-3.29483929723e-08,2.22088976491e-11,1.09123681911e-27,0.0,1.81416381686e-11,-3.03841277538e-26,1.88221271088e-11
4.99997e-10,1.58349e-07,1.58011e-07,1.59052e-07,1.58011e-07,4.99996848694e-10,-1e+300,1.86906346447e-23,2.40800523946e-25,(1.54944860479e-11 4.49479009536e-28 -8.07928275223e-13),4.99996848694e-10,0.0,0.0,-3.36409003787e-08,2.21813397876e-11,7.51450510029e-28,0.0,1.81162553312e-11,-1.30352044341e-25,1.88463067737e-11
6.00002e-10,1.58076e-07,1.57739e-07,1.58776e-07,1.57739e-07,6.00001955828e-10,-1e+300,1.84311211299e-23,2.42562952063e-25,(1.55635223524e-11 -2.88180122255e-28 -7.95713557577e-13),6.00001955828e-10,0.0,0.0,-3.52218969735e-08,2.21239697851e-11,-1.12362102297e-28,0.0,1.80914716472e-11,-2.33674841771e-25,1.88524786252e-11
6.99998e-10,1.57807e-07,1.57467e-07,1.58503e-07,1.57467e-07,6.99997773114e-10,-1e+300,1.8233897335600002e-23,2.44992638033e-25,(1.5694371999e-11 -4.38915994408e-29 -7.87910261406e-13),6.99997773114e-10,0.0,0.0,-3.53673734265e-08,2.21677973318e-11,1.39456368289e-28,0.0,1.80676900439e-11,-3.33326514486e-25,1.88452001214e-11
8e-10,1.57542e-07,1.57198e-07,1.58235e-07,1.57198e-07,8.00000409493e-10,-1e+300,1.80558014774e-23,2.47139299121e-25,(1.57942311273e-11 2.80541744887e-28 -7.76452705788e-13),8.00000409493e-10,0.0,0.0,-3.67833629934e-08,2.2161042421e-11,4.0418562268900005e-28,0.0,1.80443932758e-11,-4.21273417258e-25,1.8827549245e-11
8.99998e-10,1.57283e-07,1.5694e-07,1.57974e-07,1.5694e-07,8.99997822326e-10,-1e+300,1.78533892092e-23,2.48643337752e-25,(1.58582729539e-11 7.10091120654e-28 -7.61975824565e-13),8.99997822326e-10,0.0,0.0,-3.79524032775e-08,2.21177620428e-11,1.0132676579e-27,0.0,1.80217634448e-11,-4.9179211232e-25,1.88009691586e-11
9.99998e-10,1.57027e-07,1.56682e-07,1.57714e-07,1.56682e-07,9.99997884288e-10,-1e+300,1.77262260763e-23,2.50900819911e-25,(1.59883317211e-11 8.60717742214e-28 -7.53604474339e-13),9.99997884288e-10,0.0,0.0,-3.85446795891e-08,2.21716345185e-11,1.00175926148e-27,0.0,1.79999147332e-11,-5.4347494380799985e-25,1.87681097447e-11
