# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
9.99966047625e-11,0.0,0.0,-2.9523012692e-08,2.31646947175e-11,1.97158705169e-27,0.0,1.82162435796e-11,1.94276076781e-25,1.85782990983e-11
2.00001366333e-10,0.0,0.0,-3.11077647178e-08,2.23676258908e-11,1.06724056052e-27,0.0,1.81946380645e-11,1.38661849233e-25,1.87127125025e-11
2.99997300798e-10,0.0,0.0,-3.2525720186e-08,2.22054283677e-11,1.22761688027e-27,0.0,1.81678598263e-11,6.12161321474e-26,1.87789250311e-11
4.00003063044e-10,0.0,0.0,-3.29483929723e-08,2.22088976491e-11,1.09123681911e-27,0.0,1.81416381686e-11,-3.03841277538e-26,1.88221271088e-11
4.99996848694e-10,0.0,0.0,-3.36409003787e-08,2.21813397876e-11,7.51450510029e-28,0.0,1.81162553312e-11,-1.30352044341e-25,1.88463067737e-11
6.00001955828e-10,0.0,0.0,-3.52218969735e-08,2.21239697851e-11,-1.12362102297e-28,0.0,1.80914716472e-11,-2.33674841771e-25,1.88524786252e-11
6.99997773114e-10,0.0,0.0,-3.53673734265e-08,2.21677973318e-11,1.39456368289e-28,0.0,1.80676900439e-11,-3.33326514486e-25,1.88452001214e-11
8.00000409493e-10,0.0,0.0,-3.67833629934e-08,2.2161042421e-11,4.0418562268900005e-28,0.0,1.80443932758e-11,-4.21273417258e-25,1.8827549245e-11
8.99997822326e-10,0.0,0.0,-3.79524032775e-08,2.21177620428e-11,1.0132676579e-27,0.0,1.80217634448e-11,-4.9179211232e-25,1.88009691586e-11
9.99997884288e-10,0.0,0.0,-3.85446795891e-08,2.21716345185e-11,1.00175926148e-27,0.0,1.79999147332e-11,-5.434749438079999e-25,1.87681097447e-11
1.09999880272e-09,0.0,0.0,-3.94824949782e-08,2.21739129076e-11,1.16950340306e-27,0.0,1.79786738271e-11,-5.78650703092e-25,1.87313493262e-11
1.19999953406e-09,0.0,0.0,-4.06533511748e-08,2.21420593874e-11,1.43587235861e-27,0.0,1.7958035429e-11,-6.01785589591e-25,1.8690424663e-11
1.30000110609e-09,0.0,0.0,-4.12391187909e-08,2.21932571593e-11,1.99743057512e-27,0.0,1.79381503315e-11,-6.18531435592e-25,1.86473731328e-11
1.39999922242e-09,0.0,0.0,-4.21206711206e-08,2.21812195504e-11,2.41309002934e-27,0.0,1.79188534304e-11,-6.3477445992e-25,1.86034169992e-11
1.49999887693e-09,0.0,0.0,-4.30177913414e-08,2.21794354168e-11,2.6800942556200002e-27,0.0,1.79001813403e-11,-6.5474256785e-25,1.85573472691e-11
1.59999665277e-09,0.0,0.0,-4.38881815556e-08,2.22063133599e-11,2.60375769686e-27,0.0,1.78821401308e-11,-6.79514132546e-25,1.85115207428e-11
1.69999633834e-09,0.0,0.0,-4.43873122489e-08,2.21691074264e-11,2.53538071214e-27,0.0,1.78648278528e-11,-7.08488499775e-25,1.84657890207e-11
1.80000051417e-09,0.0,0.0,-4.57332552994e-08,2.22027794775e-11,2.45199217501e-27,0.0,1.78479299412e-11,-7.40455190669e-25,1.84188880817e-11
1.90000418472e-09,0.0,0.0,-4.65306746109e-08,2.2194388749e-11,2.55124387488e-27,0.0,1.78317639017e-11,-7.7532028206e-25,1.83736507344e-11
2.00000034788e-09,0.0,0.0,-4.74043845024e-08,2.2183359397e-11,2.66682560502e-27,0.0,1.78161601303e-11,-8.131816220429999e-25,1.83276310174e-11
2.09999748293e-09,0.0,0.0,-4.82881501251e-08,2.22024146859e-11,3.14988994248e-27,0.0,1.7801147264e-11,-8.5315218584e-25,1.82829886236e-11
2.20000206331e-09,0.0,0.0,-4.89531764314e-08,2.21551975678e-11,3.467443307e-27,0.0,1.77867848676e-11,-8.9306191834e-25,1.82390283364e-11
2.30000284617e-09,0.0,0.0,-5.01171884224e-08,2.21943835368e-11,3.40055706251e-27,0.0,1.77728611422e-11,-9.29690688208e-25,1.81950643711e-11
2.4000027691e-09,0.0,0.0,-5.0575385406e-08,2.21688599397e-11,3.14763351777e-27,0.0,1.77597087391e-11,-9.603039073869999e-25,1.81532756543e-11
2.49999617695e-09,0.0,0.0,-5.17619323406e-08,2.21805572744e-11,2.75513583889e-27,0.0,1.7746839393e-11,-9.81877444368e-25,1.81105672555e-11
2.5999994269e-09,0.0,0.0,-5.26796073458e-08,2.21678369788e-11,2.72817762776e-27,0.0,1.77347389593e-11,-9.913871602809999e-25,1.80705250264e-11
2.69999653422e-09,0.0,0.0,-5.34843049599e-08,2.21607787705e-11,2.8831556163e-27,0.0,1.772302118e-11,-9.86558350354e-25,1.80298357933e-11
2.80000130141e-09,0.0,0.0,-5.42934714162e-08,2.2166130047e-11,3.46604766473e-27,0.0,1.77119879211e-11,-9.66458950978e-25,1.7991493244e-11
2.89999861883e-09,0.0,0.0,-5.52022343911e-08,2.21397336082e-11,3.75062062655e-27,0.0,1.77013569138e-11,-9.31853572199e-25,1.79530437659e-11
2.99999835625e-09,0.0,0.0,-5.60066134743e-08,2.21591948774e-11,4.32013535241e-27,0.0,1.76913397651e-11,-8.85477528031e-25,1.79163379718e-11
3.10000310143e-09,0.0,0.0,-5.69147044677e-08,2.211990225e-11,4.48253250597e-27,0.0,1.76817838957e-11,-8.31387540096e-25,1.78802312956e-11
3.20000424164e-09,0.0,0.0,-5.78802876988e-08,2.21471711503e-11,4.56203841555e-27,0.0,1.76727650524e-11,-7.74164808286e-25,1.78451950762e-11
3.29999519717e-09,0.0,0.0,-5.86258568424e-08,2.21038907126e-11,4.43202456705e-27,0.0,1.76642395967e-11,-7.17680544643e-25,1.78113629168e-11
3.39999516122e-09,0.0,0.0,-5.93958609588e-08,2.21404055409e-11,3.59481607163e-27,0.0,1.7656188729e-11,-6.64235471552e-25,1.77780212146e-11
3.5000035668e-09,0.0,0.0,-6.03420605813e-08,2.21000748753e-11,3.1890404866900002e-27,0.0,1.76486343835e-11,-6.13910121556e-25,1.77462905745e-11
3.60000107721e-09,0.0,0.0,-6.11003386835e-08,2.21309600704e-11,2.5985743178100002e-27,0.0,1.76415331213e-11,-5.64563395447e-25,1.77147446273e-11
3.69999867076e-09,0.0,0.0,-6.20550287145e-08,2.209438938e-11,2.5791888267e-27,0.0,1.76349047029e-11,-5.12678307813e-25,1.76849575439e-11
3.8000007676e-09,0.0,0.0,-6.29624237753e-08,2.21209423126e-11,3.3741038905e-27,0.0,1.7628702321e-11,-4.54419073271e-25,1.76552118634e-11
3.89999650301e-09,0.0,0.0,-6.37646710253e-08,2.20870378661e-11,3.8384708106600004e-27,0.0,1.76229723892e-11,-3.86592375623e-25,1.76272517718e-11
3.99999885606e-09,0.0,0.0,-6.46763150405e-08,2.21143865874e-11,4.43585369598e-27,0.0,1.7617646655e-11,-3.07664525402e-25,1.75993207781e-11
4.09999535058e-09,0.0,0.0,-6.54695245023e-08,2.20784110955e-11,4.64305651021e-27,0.0,1.76127580836e-11,-2.18430278576e-25,1.75730318208e-11
4.2000031013e-09,0.0,0.0,-6.64693998876e-08,2.21094458837e-11,3.9175295384100004e-27,0.0,1.76082528454e-11,-1.22037923216e-25,1.75468695147e-11
4.29999670398e-09,0.0,0.0,-6.71699539279e-08,2.20684703629e-11,3.23818366792e-27,0.0,1.76041759388e-11,-2.34925867198e-26,1.7522126098e-11
4.40000306025e-09,0.0,0.0,-6.7996612668e-08,2.21054751194e-11,2.34385845368e-27,0.0,1.76004811355e-11,7.2488087771e-26,1.7497769763e-11
4.49999597335e-09,0.0,0.0,-6.88741758986e-08,2.20693403367e-11,1.49714962882e-27,0.0,1.75971390701e-11,1.61694635964e-25,1.74743548187e-11
4.60000311961e-09,0.0,0.0,-6.97109907665e-08,2.21002263568e-11,8.43916794245e-28,0.0,1.75941970058e-11,2.4140394867299997e-25,1.7451754489e-11
4.7000022435e-09,0.0,0.0,-7.05659997898e-08,2.2072628655e-11,3.7687210472300003e-28,0.0,1.75915766131e-11,3.1092689207399997e-25,1.74296180449e-11
4.79999959624e-09,0.0,0.0,-7.18090523755e-08,2.20920656852e-11,2.65827767418e-28,0.0,1.75892716464e-11,3.71318119204e-25,1.74085844474e-11
4.90000261439e-09,0.0,0.0,-7.22714945261e-08,2.20762856717e-11,3.2842915778100004e-28,0.0,1.7587389527e-11,4.2530046219000005e-25,1.73877495834e-11
4.99999667033e-09,0.0,0.0,-7.30641069689e-08,2.20872342695e-11,6.138614848290001e-28,0.0,1.75857957559e-11,4.75699281716e-25,1.73683373314e-11
5.09999917533e-09,0.0,0.0,-7.39574946391e-08,2.2080506919e-11,9.64606742302e-28,0.0,1.75844653893e-11,5.24912947896e-25,1.73485299783e-11
5.19999913084e-09,0.0,0.0,-7.48267590166e-08,2.20770838517e-11,1.17785963048e-27,0.0,1.75834769225e-11,5.74466257749e-25,1.73305076957e-11
5.29999580069e-09,0.0,0.0,-7.56726073138e-08,2.20839375188e-11,1.3976848842400001e-27,0.0,1.75827144945e-11,6.24696996989e-25,1.73117955471e-11
