Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
9.99994e-11,1.60131e-07,1.59081e-07,9.99993894552e-11,-1e+300,2.00981872527e-23,2.28435204986e-25,(1.40420615727e-11 -1.79961613739e-27 -5.21922215096e-13),9.99993894552e-11,0.0,0.0,-3.06973161494e-08,2.024676897e-11,2.1080640171400003e-28,0.0,1.77431149756e-11,1.88655397102e-25,1.73089386926e-11
2.00003e-10,1.59821e-07,1.5874e-07,2.00003167389e-10,-1e+300,2.05040073866e-23,2.21678026634e-25,(1.36705138467e-11 -2.12911282004e-27 -3.65898435806e-13),2.00003167389e-10,0.0,0.0,-3.13978120947e-08,1.94740612689e-11,-8.66843074964e-28,0.0,1.75280986959e-11,1.22234016358e-25,1.69370025551e-11
3.00002e-10,1.595e-07,1.58427e-07,3.00002171787e-10,-1e+300,1.98056523909e-23,2.19011808322e-25,(1.34127352565e-11 -2.3932775647e-27 -3.48714129441e-13),3.00002171787e-10,0.0,0.0,-3.15975228845e-08,1.90132396429e-11,-1.25952214466e-27,0.0,1.73279974444e-11,3.8366805919e-26,1.658642393e-11
4e-10,1.59192e-07,1.58133e-07,4.00000164321e-10,-1e+300,1.90496711558e-23,2.16611436642e-25,(1.3202674044e-11 -2.18071948557e-27 -3.35681954958e-13),4.00000164321e-10,0.0,0.0,-3.18582372583e-08,1.8625632725e-11,-1.60719077098e-27,0.0,1.71484131363e-11,-5.44440448394e-26,1.62796743688e-11
5e-10,1.58896e-07,1.57847e-07,5.00000410168e-10,-1e+300,1.83635672183e-23,2.1449339692e-25,(1.30377414583e-11 -2.44045005186e-27 -3.2946866243e-13),5.00000410168e-10,0.0,0.0,-3.22107385041e-08,1.83025844844e-11,-2.37072961122e-27,0.0,1.69894775791e-11,-1.47462474076e-25,1.60143717032e-11
6.00004e-10,1.58611e-07,1.57567e-07,6.00003648921e-10,-1e+300,1.7808747462e-23,2.13102979518e-25,(1.29443318404e-11 -2.18604577814e-27 -3.16591496824e-13),6.00003648921e-10,0.0,0.0,-3.26655782606e-08,1.80779457632e-11,-2.80765055687e-27,0.0,1.68508129479e-11,-2.35793284279e-25,1.57880411111e-11
6.99997e-10,1.58336e-07,1.57301e-07,6.99997340836e-10,-1e+300,1.7347770984700002e-23,2.1214064224e-25,(1.2900432616e-11 -1.89337955897e-27 -3.13140448832e-13),6.99997340836e-10,0.0,0.0,-3.32083776988e-08,1.7922413597e-11,-2.37178201054e-27,0.0,1.67309015355e-11,-3.22062050596e-25,1.55968368698e-11
7.99996e-10,1.5807e-07,1.5704e-07,7.99996305921e-10,-1e+300,1.69832343716e-23,2.11622001735e-25,(1.2875398676e-11 -4.22399111929e-28 -3.05547285273e-13),7.99996305921e-10,0.0,0.0,-3.38169816619e-08,1.77988763754e-11,-4.64377843778e-29,0.0,1.66267074573e-11,-4.05844805962e-25,1.54333974064e-11
9.00001e-10,1.5781e-07,1.56779e-07,9.00001006875e-10,-1e+300,1.6676372886000001e-23,2.1128190876e-25,(1.28654423984e-11 1.0754931468e-27 -2.97080120404e-13),9.00001006875e-10,0.0,0.0,-3.44712693663e-08,1.76982823308e-11,2.18360958279e-27,0.0,1.65351321099e-11,-4.745996443649998e-25,1.52913105966e-11
9.99997e-10,1.57556e-07,1.56532e-07,9.99997297022e-10,-1e+300,1.64509749529e-23,2.11418045956e-25,(1.29047735421e-11 2.20036714744e-27 -2.87867767432e-13),9.99997297022e-10,0.0,0.0,-3.51875981515e-08,1.76656804377e-11,3.04723930994e-27,0.0,1.64546879128e-11,-5.07504012039e-25,1.51687742914e-11
