Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.00003e-10,1.60169e-07,1.59205e-07
1.99997e-10,1.59921e-07,1.58888e-07
3.00003e-10,1.59633e-07,1.58594e-07
3.99997e-10,1.59341e-07,1.58305e-07
5e-10,1.59056e-07,1.5802e-07
6.00001e-10,1.58778e-07,1.57744e-07
6.99997e-10,1.58502e-07,1.57468e-07
8e-10,1.58229e-07,1.57194e-07
9e-10,1.57963e-07,1.56931e-07
9.99999e-10,1.57698e-07,1.56667e-07
1.1e-09,1.57436e-07,1.56403e-07
1.2e-09,1.5718e-07,1.5615e-07
1.3e-09,1.56924e-07,1.55895e-07
1.4e-09,1.56671e-07,1.55642e-07
1.5e-09,1.56423e-07,1.55395e-07
1.6e-09,1.56174e-07,1.55146e-07
1.7e-09,1.55985e-07,1.54903e-07
1.8e-09,1.55688e-07,1.54661e-07
1.9e-09,1.55447e-07,1.54418e-07
2e-09,1.55211e-07,1.54184e-07
2.1e-09,1.54972e-07,1.53945e-07
2.2e-09,1.54739e-07,1.53713e-07
2.3e-09,1.54507e-07,1.53481e-07
2.4e-09,1.54276e-07,1.53249e-07
2.5e-09,1.54049e-07,1.53024e-07
2.6e-09,1.5382e-07,1.52793e-07
2.7e-09,1.53598e-07,1.52573e-07
2.8e-09,1.53373e-07,1.52347e-07
2.9e-09,1.53152e-07,1.52128e-07
3e-09,1.52932e-07,1.51907e-07
3.1e-09,1.52714e-07,1.5169e-07
3.2e-09,1.52498e-07,1.51474e-07
3.3e-09,1.52282e-07,1.51258e-07
3.4e-09,1.5207e-07,1.51047e-07
3.5e-09,1.51857e-07,1.50832e-07
3.6e-09,1.51648e-07,1.50625e-07
3.7e-09,1.51438e-07,1.50413e-07
3.8e-09,1.51232e-07,1.5021e-07
3.9e-09,1.51025e-07,1.49999e-07
4e-09,1.50822e-07,1.49799e-07
4.1e-09,1.50617e-07,1.49592e-07
4.2e-09,1.50417e-07,1.49395e-07
4.3e-09,1.50214e-07,1.49189e-07
4.39999e-09,1.50017e-07,1.48995e-07
4.5e-09,1.49817e-07,1.48792e-07
4.6e-09,1.49622e-07,1.486e-07
4.7e-09,1.49424e-07,1.48399e-07
4.8e-09,1.49231e-07,1.4821e-07
4.9e-09,1.49036e-07,1.48012e-07
5e-09,1.48846e-07,1.47824e-07
5.10001e-09,1.48653e-07,1.4763e-07
5.2e-09,1.48464e-07,1.47443e-07
5.3e-09,1.48274e-07,1.47252e-07
5.40001e-09,1.48088e-07,1.47067e-07
5.5e-09,1.479e-07,1.46879e-07
5.6e-09,1.47715e-07,1.46694e-07
5.7e-09,1.4753e-07,1.4651e-07
5.8e-09,1.47346e-07,1.46325e-07
5.9e-09,1.47164e-07,1.46144e-07
6e-09,1.46982e-07,1.45959e-07
6.1e-09,1.46802e-07,1.45782e-07
6.2e-09,1.46621e-07,1.45597e-07
6.3e-09,1.46443e-07,1.45423e-07
6.4e-09,1.46264e-07,1.45242e-07
6.5e-09,1.46088e-07,1.45068e-07
6.6e-09,1.45911e-07,1.44891e-07
6.7e-09,1.45736e-07,1.44715e-07
6.8e-09,1.45562e-07,1.44543e-07
6.9e-09,1.45388e-07,1.44366e-07
7e-09,1.45216e-07,1.44197e-07
7.1e-09,1.45043e-07,1.44021e-07
7.2e-09,1.44873e-07,1.43854e-07
7.3e-09,1.44702e-07,1.43682e-07
7.4e-09,1.44533e-07,1.43513e-07
7.5e-09,1.44364e-07,1.43346e-07
7.60001e-09,1.44196e-07,1.43174e-07
7.7e-09,1.4403e-07,1.43011e-07
7.8e-09,1.43862e-07,1.42841e-07
7.9e-09,1.43697e-07,1.42678e-07
8e-09,1.43532e-07,1.42514e-07
8.1e-09,1.43367e-07,1.42347e-07
8.2e-09,1.43205e-07,1.42187e-07
8.30001e-09,1.43041e-07,1.4202e-07
8.4e-09,1.4288e-07,1.41861e-07
8.5e-09,1.42718e-07,1.417e-07
8.6e-09,1.42557e-07,1.41537e-07
8.7e-09,1.42398e-07,1.4138e-07
8.8e-09,1.42237e-07,1.41216e-07
8.9e-09,1.4208e-07,1.41062e-07
9e-09,1.42e-07,1.40903e-07
9.10001e-09,1.41778e-07,1.40744e-07
9.2e-09,1.41608e-07,1.4059e-07
9.3e-09,1.4145e-07,1.4043e-07
9.39999e-09,1.41296e-07,1.40278e-07
9.5e-09,1.4114e-07,1.40123e-07
9.6e-09,1.40986e-07,1.39966e-07
9.69999e-09,1.40833e-07,1.39816e-07
9.8e-09,1.40679e-07,1.39661e-07
9.9e-09,1.40527e-07,1.39509e-07
1e-08,1.40375e-07,1.39359e-07
1.01e-08,1.40223e-07,1.39202e-07
1.02e-08,1.40073e-07,1.39056e-07
1.03e-08,1.39922e-07,1.38906e-07
1.04e-08,1.39772e-07,1.38753e-07
1.05e-08,1.39624e-07,1.38608e-07
1.06e-08,1.39474e-07,1.38457e-07
1.07e-08,1.39327e-07,1.38309e-07
1.08e-08,1.39179e-07,1.38164e-07
1.09e-08,1.39032e-07,1.38012e-07
1.1e-08,1.38886e-07,1.3787e-07
1.11e-08,1.38739e-07,1.37724e-07
1.12e-08,1.38594e-07,1.37575e-07
1.13e-08,1.3845e-07,1.37434e-07
1.14e-08,1.38304e-07,1.37288e-07
1.15e-08,1.38161e-07,1.37143e-07
1.16e-08,1.38018e-07,1.37003e-07
1.17e-08,1.37874e-07,1.36857e-07
1.18e-08,1.37732e-07,1.36715e-07
1.19e-08,1.3759e-07,1.36575e-07
1.2e-08,1.37448e-07,1.3643e-07
1.21e-08,1.37307e-07,1.36291e-07
1.22e-08,1.37166e-07,1.36152e-07
1.23e-08,1.37026e-07,1.36007e-07
1.24e-08,1.36887e-07,1.35871e-07
1.25e-08,1.36747e-07,1.35733e-07
