time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
1.00002847543e-10,-1e+300,1.7010776083000002e-23,2.44273430665e-25,(1.55255092989e-11 1.08593307866e-27 -1.20879614745e-12)
1.99996554037e-10,-1e+300,1.90451735546e-23,2.34522223518e-25,(1.53951392998e-11 5.86367762323e-28 -9.01911832553e-13)
3.00003276874e-10,-1e+300,1.92894770944e-23,2.37242761412e-25,(1.5453588116e-11 3.9243482537e-28 -8.71724414079e-13)
3.99997243799e-10,-1e+300,1.9300306725500002e-23,2.41359243449e-25,(1.56200947157e-11 6.30303715957e-28 -8.71118116281e-13)
5.00000270621e-10,-1e+300,1.92172353299e-23,2.45198115776e-25,(1.57670656742e-11 2.82819353072e-28 -8.66552387836e-13)
6.00001075469e-10,-1e+300,1.90928448675e-23,2.48532290162e-25,(1.58938501129e-11 -4.90411276912e-28 -8.57385742352e-13)
6.99996800901e-10,-1e+300,1.9009505530700002e-23,2.5219789285399997e-25,(1.60875442955e-11 -3.9908752154e-29 -8.53189348189e-13)
7.99999625638e-10,-1e+300,1.89561406964e-23,2.5563207630899997e-25,(1.62461975356e-11 3.37178081457e-29 -8.44378709885e-13)
8.99999736352e-10,-1e+300,1.88669771598e-23,2.5821792529399997e-25,(1.63613744161e-11 9.66807380592e-28 -8.32012210377e-13)
9.99999375511e-10,-1e+300,1.8816311088700002e-23,2.61068343548e-25,(1.65430249196e-11 9.6025587936e-28 -8.2526888683e-13)
1.10000133844e-09,-1e+300,1.87960691262e-23,2.64050341929e-25,(1.66879984627e-11 1.32643728151e-27 -8.1552502927e-13)
1.20000229265e-09,-1e+300,1.87283608482e-23,2.66243536758e-25,(1.67848190537e-11 2.0845202297e-27 -8.01554753293e-13)
1.30000307384e-09,-1e+300,1.87082269919e-23,2.6883476316000002e-25,(1.69481706128e-11 3.16082401402e-27 -7.92533479835e-13)
1.39999736217e-09,-1e+300,1.8699325509999998e-23,2.71433623984e-25,(1.70729784679e-11 3.90552901313e-27 -7.80451472719e-13)
1.50000268265e-09,-1e+300,1.86462402071e-23,2.73078352228e-25,(1.71578715224e-11 4.21665621269e-27 -7.64201521623e-13)
1.59999612734e-09,-1e+300,1.8650250692000002e-23,2.75356827423e-25,(1.73063984626e-11 3.72381396749e-27 -7.53021917201e-13)
1.70000026983e-09,-1e+300,1.8628885251e-23,2.77300935705e-25,(1.74031956552e-11 3.62457364794e-27 -7.3845472939e-13)
1.7999993658e-09,-1e+300,1.85864041524e-23,2.78751222293e-25,(1.74942070496e-11 3.24706866203e-27 -7.22524052828e-13)
1.90000398161e-09,-1e+300,1.86024107747e-23,2.80829772374e-25,(1.76186239079e-11 3.30418100326e-27 -7.1062094736e-13)
1.99999927303e-09,-1e+300,1.85589997499e-23,2.82130547065e-25,(1.76821350994e-11 3.07693606227e-27 -6.94058637366e-13)
2.10000301755e-09,-1e+300,1.85597162943e-23,2.83980055938e-25,(1.7794009541e-11 3.2368971889e-27 -6.81736460434e-13)
2.19999799384e-09,-1e+300,1.8543791825900002e-23,2.85576477789e-25,(1.78796109931e-11 2.96223672876e-27 -6.69027869743e-13)
2.30000138131e-09,-1e+300,1.85012058702e-23,2.8658471681000003e-25,(1.79426207323e-11 2.79518072369e-27 -6.54538615482e-13)
2.40000359795e-09,-1e+300,1.85126176329e-23,2.88638743124e-25,(1.8045971502e-11 2.57729411481e-27 -6.45705738604e-13)
2.49999906906e-09,-1e+300,1.8460507895800002e-23,2.89585918109e-25,(1.80852521894e-11 2.60466615741e-27 -6.32995821182e-13)
2.60000185588e-09,-1e+300,1.84707766362e-23,2.91254500241e-25,(1.81898773893e-11 3.32257719915e-27 -6.26930966418e-13)
2.69999771664e-09,-1e+300,1.84351391789e-23,2.92555627858e-25,(1.82459644364e-11 3.87068820646e-27 -6.18981299055e-13)
2.79999692316e-09,-1e+300,1.8417757762800002e-23,2.93801861354e-25,(1.83120114367e-11 4.12110827159e-27 -6.12321547897e-13)
2.89999848819e-09,-1e+300,1.8400250546900002e-23,2.9532084591499998e-25,(1.83838034226e-11 4.2950532698e-27 -6.08137840853e-13)
2.99999955192e-09,-1e+300,1.8359470629e-23,2.95990619155e-25,(1.84215630854e-11 4.21940571663e-27 -6.01112467965e-13)
3.09999724289e-09,-1e+300,1.83573111558e-23,2.97800304419e-25,(1.85055868665e-11 4.04983506399e-27 -5.99289306935e-13)
3.19999636149e-09,-1e+300,1.82950596229e-23,2.9830187724699998e-25,(1.85201412683e-11 3.58321233337e-27 -5.91765324581e-13)
3.30000105831e-09,-1e+300,1.83085261896e-23,3.00002552744e-25,(1.86147692552e-11 3.00498810414e-27 -5.91317881325e-13)
3.39999930428e-09,-1e+300,1.82528007745e-23,3.0058314482e-25,(1.86404859848e-11 2.55832665274e-27 -5.85640243335e-13)
3.49999806654e-09,-1e+300,1.82495824684e-23,3.0212207374299997e-25,(1.87107057505e-11 2.68354216255e-27 -5.82831594485e-13)
3.60000291349e-09,-1e+300,1.8200710533400002e-23,3.02883855609e-25,(1.87440085047e-11 3.13432119296e-27 -5.78101803521e-13)
3.69999591276e-09,-1e+300,1.81862515965e-23,3.0403411667099997e-25,(1.87992553012e-11 3.9404903995e-27 -5.74181821095e-13)
3.79999712138e-09,-1e+300,1.8144887312700001e-23,3.04834137292e-25,(1.88402451237e-11 4.31564239386e-27 -5.70601125958e-13)
3.90000078001e-09,-1e+300,1.8120106445e-23,3.05829305078e-25,(1.88810763615e-11 4.75192479669e-27 -5.65689672874e-13)
4.00000096053e-09,-1e+300,1.80835041061e-23,3.06638246782e-25,(1.89276611223e-11 4.4501886755e-27 -5.62851549244e-13)
4.10000021199e-09,-1e+300,1.8051749254100002e-23,3.07457620453e-25,(1.89589800483e-11 4.04220648411e-27 -5.57664022457e-13)
4.19999887477e-09,-1e+300,1.80172519765e-23,3.08402976673e-25,(1.90062964544e-11 3.33249424915e-27 -5.55270707448e-13)
4.29999930569e-09,-1e+300,1.79810286948e-23,3.09149586891e-25,(1.90301586432e-11 2.42667547536e-27 -5.49676859747e-13)
4.39999500064e-09,-1e+300,1.79492705364e-23,3.1001981447099997e-25,(1.90797867204e-11 1.79488598838e-27 -5.47801495651e-13)
4.50000144009e-09,-1e+300,1.79112894427e-23,3.10709548724e-25,(1.90992672061e-11 1.02399620753e-27 -5.42039614757e-13)
4.60000005932e-09,-1e+300,1.7879240549100001e-23,3.11492290163e-25,(1.9148865064e-11 7.65741321391e-28 -5.40395404313e-13)
4.70000280563e-09,-1e+300,1.78406961553e-23,3.1213275675899997e-25,(1.91668490046e-11 4.03522322869e-28 -5.34667509854e-13)
4.7999948086e-09,-1e+300,1.7804912002600002e-23,3.12963827713e-25,(1.92115588837e-11 4.84824499535e-28 -5.32732006819e-13)
4.89999911967e-09,-1e+300,1.77685595106e-23,3.1347374818e-25,(1.9231707309e-11 4.82417166496e-28 -5.26975699743e-13)
5.00000444992e-09,-1e+300,1.77291806477e-23,3.14192430041e-25,(1.92720058261e-11 5.72234159492e-28 -5.25467335862e-13)
5.10000506073e-09,-1e+300,1.76953472933e-23,3.14853152274e-25,(1.92928171303e-11 5.05168179428e-28 -5.19817315152e-13)
5.19999463499e-09,-1e+300,1.76505655237e-23,3.1545837331699996e-25,(1.93265581655e-11 5.4209807911e-28 -5.1805766928e-13)
5.29999564991e-09,-1e+300,1.7620279027700002e-23,3.1634051870499997e-25,(1.93491666542e-11 7.82828672732e-28 -5.12640403491e-13)
5.40000451963e-09,-1e+300,1.75685975713e-23,3.1675888168e-25,(1.93749911369e-11 6.75835670124e-28 -5.10632798711e-13)
5.50000347937e-09,-1e+300,1.7547035958e-23,3.1744194533e-25,(1.94073296311e-11 4.17168284152e-28 -5.06301439871e-13)
5.60000391204e-09,-1e+300,1.74941375536e-23,3.17775092398e-25,(1.94249567341e-11 2.71905957624e-28 -5.03416311965e-13)
5.70000240843e-09,-1e+300,1.74720795879e-23,3.18736574415e-25,(1.94592824042e-11 -2.53058148271e-28 -4.99825848868e-13)
5.80000528593e-09,-1e+300,1.7416461370700002e-23,3.19026160838e-25,(1.94660075127e-11 -6.56288525831e-28 -4.95761159642e-13)
5.89999951159e-09,-1e+300,1.73949110864e-23,3.19919753002e-25,(1.95077020772e-11 -7.5995169525e-28 -4.93631502782e-13)
5.99999603856e-09,-1e+300,1.7338717013500002e-23,3.19974676998e-25,(1.95050159992e-11 -7.73118561255e-28 -4.87874544549e-13)
6.099999237e-09,-1e+300,1.7316200504700002e-23,3.2096023729199998e-25,(1.95531617247e-11 -1.83277612736e-28 -4.87454785987e-13)
6.20000364022e-09,-1e+300,1.72620123051e-23,3.21227476323e-25,(1.95431807112e-11 -2.04879771726e-29 -4.80077106711e-13)
6.29999632874e-09,-1e+300,1.72334627766e-23,3.21907319397e-25,(1.95939703375e-11 9.97846049457e-29 -4.81375713501e-13)
6.3999945e-09,-1e+300,1.7190802153200002e-23,3.22362405664e-25,(1.95959876691e-11 2.24053460121e-28 -4.74901591944e-13)
6.49999626347e-09,-1e+300,1.71475774962e-23,3.22739286286e-25,(1.96299740854e-11 -1.57542571282e-28 -4.75003585324e-13)
6.60000242541e-09,-1e+300,1.7119910558900002e-23,3.23253159635e-25,(1.96469070521e-11 -3.95060873771e-28 -4.69993369607e-13)
6.70000035913e-09,-1e+300,1.70696833103e-23,3.23771170522e-25,(1.96607377068e-11 -5.23173041814e-28 -4.67820172462e-13)
6.80000514254e-09,-1e+300,1.70439698345e-23,3.24222003012e-25,(1.9690483264e-11 -7.59301724189e-28 -4.64926681757e-13)
6.90000214368e-09,-1e+300,1.6990002243400002e-23,3.2441907453099997e-25,(1.96891880759e-11 -8.51856824401e-28 -4.60299146073e-13)
7.00000289263e-09,-1e+300,1.6963820506100002e-23,3.25172239922e-25,(1.97276089088e-11 -1.06851252933e-27 -4.59605312738e-13)
7.10000307436e-09,-1e+300,1.6912228809900002e-23,3.2536748310299997e-25,(1.97155185787e-11 -1.12187934451e-27 -4.52204847047e-13)
7.20000424352e-09,-1e+300,1.68788555572e-23,3.2591599068899997e-25,(1.97589532133e-11 -1.03130229641e-27 -4.54074003834e-13)
7.30000066247e-09,-1e+300,1.68451995781e-23,3.26380199784e-25,(1.9763528528e-11 -9.39193029877e-28 -4.48055247173e-13)
7.40000124112e-09,-1e+300,1.6800899510500002e-23,3.2674415185499997e-25,(1.97853223394e-11 -4.65604277572e-28 -4.47788038568e-13)
7.50000495285e-09,-1e+300,1.67719095457e-23,3.2732378579399997e-25,(1.98041398932e-11 3.75032652077e-29 -4.43871777543e-13)
7.60000466172e-09,-1e+300,1.6721577206100002e-23,3.2736714117299997e-25,(1.98058833132e-11 3.10484255932e-28 -4.40170197328e-13)
7.69999577923e-09,-1e+300,1.6692735875300002e-23,3.27934509069e-25,(1.98395220158e-11 5.23007968689e-28 -4.39489489297e-13)
7.8000035777e-09,-1e+300,1.6644131428000002e-23,3.28289444305e-25,(1.98256773094e-11 3.53357204174e-28 -4.32343086708e-13)
7.90000511798e-09,-1e+300,1.66097487162e-23,3.2863050624899997e-25,(1.98654538088e-11 -2.36569578379e-29 -4.34308315625e-13)
8.00000265573e-09,-1e+300,1.6578755900000002e-23,3.28962528158e-25,(1.98726565151e-11 -2.57054851679e-28 -4.28754940891e-13)
8.10000303459e-09,-1e+300,1.65325707356e-23,3.29550205053e-25,(1.9882845646e-11 -3.39192978043e-28 -4.2741049034e-13)
8.20000280656e-09,-1e+300,1.6503180214200002e-23,3.29909065066e-25,(1.99064923468e-11 -3.79167454969e-28 -4.24934175091e-13)
8.30000584752e-09,-1e+300,1.6452841867500002e-23,3.29877469128e-25,(1.98958496693e-11 -3.98328517534e-28 -4.19311496267e-13)
8.3999978715e-09,-1e+300,1.64207005258e-23,3.3037617678e-25,(1.99339701508e-11 -3.29509265456e-28 -4.20853299281e-13)
8.50000166073e-09,-1e+300,1.6387616382e-23,3.30694036995e-25,(1.99334280207e-11 -2.97034244401e-28 -4.15221329816e-13)
8.59999556769e-09,-1e+300,1.63470411495e-23,3.31019696615e-25,(1.99534558468e-11 -2.36359254237e-28 -4.14980959799e-13)
8.6999984309e-09,-1e+300,1.63157333974e-23,3.31549803083e-25,(1.99688217043e-11 -2.27758964744e-28 -4.11508696096e-13)
8.79999728753e-09,-1e+300,1.62672151274e-23,3.31732606192e-25,(1.99601581711e-11 -1.06269520963e-28 -4.06980072211e-13)
8.90000231467e-09,-1e+300,1.62352733028e-23,3.3203603283699997e-25,(1.99947172115e-11 2.96234579756e-29 -4.08010538798e-13)
8.99999731154e-09,-1e+300,1.62014023129e-23,3.3245934675e-25,(1.99900843053e-11 4.10791649515e-29 -4.02500402632e-13)
9.10000511614e-09,-1e+300,1.61635379159e-23,3.3260880101099997e-25,(2.00123035786e-11 1.10693202514e-28 -4.02430609728e-13)
9.19999708264e-09,-1e+300,1.6131921345900002e-23,3.3297500635799998e-25,(2.00269545812e-11 1.35917060938e-28 -3.99353904991e-13)
9.29999753298e-09,-1e+300,1.60859381382e-23,3.33089358487e-25,(2.00171150261e-11 1.72996721858e-28 -3.94906308512e-13)
9.39999485635e-09,-1e+300,1.60550522644e-23,3.33563931876e-25,(2.00499627357e-11 2.03660888659e-28 -3.95812335061e-13)
9.50000251545e-09,-1e+300,1.6021366200800002e-23,3.33896981796e-25,(2.00472529493e-11 4.67738628337e-28 -3.90823480652e-13)
9.59999597996e-09,-1e+300,1.59822298685e-23,3.3411671326199997e-25,(2.00630022877e-11 5.13478654941e-28 -3.89893675392e-13)
9.69999362376e-09,-1e+300,1.59494788936e-23,3.3456322875099997e-25,(2.00785879538e-11 5.80991492077e-28 -3.87688771543e-13)
9.79999936956e-09,-1e+300,1.59062461474e-23,3.3438010314099997e-25,(2.00636240626e-11 5.79747949261e-28 -3.83041675363e-13)
9.89999891019e-09,-1e+300,1.5877275698900002e-23,3.35071011954e-25,(2.00986546201e-11 6.98582605685e-28 -3.83973393163e-13)
1.00000044051e-08,-1e+300,1.58443090532e-23,3.35264467165e-25,(2.01021979296e-11 7.45304847146e-28 -3.80022192397e-13)
1.0099995735e-08,-1e+300,1.58032480139e-23,3.35491443268e-25,(2.01055449687e-11 7.98948670615e-28 -3.7751604518e-13)
1.02000018785e-08,-1e+300,1.5770108659700002e-23,3.35710930419e-25,(2.01283746825e-11 8.93080482795e-28 -3.76747069568e-13)
1.03000045374e-08,-1e+300,1.5735100060700002e-23,3.3595975731e-25,(2.01180467878e-11 9.70359397484e-28 -3.72412832926e-13)
1.03999963937e-08,-1e+300,1.57015950578e-23,3.3635831333e-25,(2.01406681134e-11 1.11253043513e-27 -3.71883620859e-13)
1.05000002743e-08,-1e+300,1.5669367959300002e-23,3.3653014577699998e-25,(2.01522386615e-11 1.13537783966e-27 -3.69698197203e-13)
1.06000011681e-08,-1e+300,1.56284445491e-23,3.36641473135e-25,(2.01400932387e-11 1.18176068094e-27 -3.65890027043e-13)
1.06999941763e-08,-1e+300,1.5600625920100002e-23,3.37026382231e-25,(2.01715586228e-11 1.14465479007e-27 -3.66098128306e-13)
