Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
9.99987e-11,1.60164e-07,1.59173e-07
2.00001e-10,1.59898e-07,1.58843e-07
2.99998e-10,1.59597e-07,1.58537e-07
3.99998e-10,1.59294e-07,1.58236e-07
4.99999e-10,1.58996e-07,1.57938e-07
5.99999e-10,1.58705e-07,1.57646e-07
7.00003e-10,1.58419e-07,1.57362e-07
7.99998e-10,1.58135e-07,1.57078e-07
9.00004e-10,1.57855e-07,1.56796e-07
9.99999e-10,1.57581e-07,1.56525e-07
1.1e-09,1.57309e-07,1.56254e-07
1.2e-09,1.57039e-07,1.55982e-07
1.3e-09,1.56775e-07,1.55721e-07
1.4e-09,1.56513e-07,1.55459e-07
1.5e-09,1.56252e-07,1.55196e-07
1.6e-09,1.55997e-07,1.54944e-07
1.7e-09,1.55742e-07,1.5469e-07
1.8e-09,1.55491e-07,1.54437e-07
1.9e-09,1.55243e-07,1.54192e-07
2e-09,1.54995e-07,1.53943e-07
2.1e-09,1.54752e-07,1.53702e-07
2.2e-09,1.5451e-07,1.53461e-07
2.3e-09,1.5427e-07,1.53218e-07
2.4e-09,1.54034e-07,1.52986e-07
2.5e-09,1.53798e-07,1.52748e-07
2.6e-09,1.53565e-07,1.52518e-07
2.7e-09,1.53334e-07,1.52286e-07
2.8e-09,1.53105e-07,1.52056e-07
2.9e-09,1.52878e-07,1.51832e-07
3e-09,1.52652e-07,1.51602e-07
3.1e-09,1.5243e-07,1.51384e-07
3.2e-09,1.52207e-07,1.51159e-07
3.3e-09,1.51988e-07,1.50943e-07
3.4e-09,1.51769e-07,1.50723e-07
3.5e-09,1.51553e-07,1.50508e-07
3.6e-09,1.51338e-07,1.50293e-07
3.7e-09,1.51124e-07,1.50079e-07
3.8e-09,1.50913e-07,1.49869e-07
3.9e-09,1.50702e-07,1.49657e-07
4e-09,1.50494e-07,1.4945e-07
4.1e-09,1.50286e-07,1.4924e-07
4.2e-09,1.50081e-07,1.49038e-07
4.3e-09,1.49876e-07,1.4883e-07
4.4e-09,1.49673e-07,1.48631e-07
4.5e-09,1.49471e-07,1.48425e-07
4.6e-09,1.49271e-07,1.48229e-07
4.7e-09,1.49072e-07,1.48026e-07
4.8e-09,1.48875e-07,1.47833e-07
4.9e-09,1.48677e-07,1.47632e-07
5e-09,1.48483e-07,1.47441e-07
5.1e-09,1.48288e-07,1.47244e-07
5.20001e-09,1.48096e-07,1.47054e-07
5.3e-09,1.47904e-07,1.4686e-07
5.40001e-09,1.47714e-07,1.46672e-07
5.5e-09,1.47524e-07,1.46482e-07
5.6e-09,1.47336e-07,1.46294e-07
5.7e-09,1.47148e-07,1.46107e-07
5.8e-09,1.46963e-07,1.4592e-07
5.89999e-09,1.46778e-07,1.45737e-07
6e-09,1.46593e-07,1.4555e-07
6.1e-09,1.46411e-07,1.4537e-07
6.2e-09,1.46228e-07,1.45183e-07
6.29999e-09,1.46048e-07,1.45008e-07
6.4e-09,1.45867e-07,1.44823e-07
6.5e-09,1.45689e-07,1.44648e-07
6.6e-09,1.4551e-07,1.44468e-07
6.7e-09,1.45334e-07,1.44292e-07
6.8e-09,1.45157e-07,1.44117e-07
6.89999e-09,1.44982e-07,1.43939e-07
7e-09,1.44808e-07,1.43768e-07
7.1e-09,1.44634e-07,1.43588e-07
7.2e-09,1.44462e-07,1.43422e-07
7.3e-09,1.44289e-07,1.43246e-07
7.4e-09,1.44119e-07,1.43078e-07
7.5e-09,1.43948e-07,1.42908e-07
7.6e-09,1.43779e-07,1.42736e-07
7.69999e-09,1.43611e-07,1.42571e-07
7.8e-09,1.43443e-07,1.42397e-07
7.9e-09,1.43276e-07,1.42236e-07
8.00001e-09,1.4311e-07,1.42068e-07
8.1e-09,1.42945e-07,1.41903e-07
8.2e-09,1.4278e-07,1.4174e-07
8.30001e-09,1.42616e-07,1.41571e-07
8.4e-09,1.42453e-07,1.41413e-07
8.5e-09,1.4229e-07,1.41247e-07
8.6e-09,1.42129e-07,1.41088e-07
8.70001e-09,1.41968e-07,1.40928e-07
8.8e-09,1.41808e-07,1.40763e-07
8.9e-09,1.41648e-07,1.40608e-07
8.99999e-09,1.41489e-07,1.40446e-07
9.1e-09,1.41331e-07,1.4029e-07
9.2e-09,1.41173e-07,1.40133e-07
9.3e-09,1.41016e-07,1.39972e-07
9.39999e-09,1.40861e-07,1.3982e-07
9.5e-09,1.40704e-07,1.39662e-07
9.6e-09,1.4055e-07,1.39508e-07
9.7e-09,1.40395e-07,1.39356e-07
9.8e-09,1.40242e-07,1.39195e-07
9.9e-09,1.40089e-07,1.39048e-07
9.99999e-09,1.39936e-07,1.38895e-07
1.01e-08,1.39784e-07,1.38741e-07
1.02e-08,1.39633e-07,1.38593e-07
1.03e-08,1.39482e-07,1.38438e-07
1.04e-08,1.39333e-07,1.38291e-07
1.05e-08,1.39183e-07,1.38143e-07
1.06e-08,1.39034e-07,1.37988e-07
1.07e-08,1.38886e-07,1.37845e-07
1.08e-08,1.38737e-07,1.37696e-07
1.09e-08,1.3859e-07,1.37547e-07
1.1e-08,1.38444e-07,1.37404e-07
1.11e-08,1.38297e-07,1.37254e-07
1.12e-08,1.38152e-07,1.3711e-07
1.13e-08,1.38007e-07,1.36967e-07
1.14e-08,1.37862e-07,1.36816e-07
1.15e-08,1.37718e-07,1.36677e-07
