Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.00002e-10,1.60155e-07,1.59135e-07,1.00001586339e-10,-1e+300,2.0045429879e-23,2.44126964027e-25,(1.5179783204e-11 -4.78663162229e-28 -8.28368326486e-13),1.00001586339e-10,0.0,0.0,-3.13770021419e-08,2.21730990253e-11,1.02944770846e-27,0.0,1.83289423215e-11,1.9538292925e-25,1.85921174753e-11
1.99998e-10,1.59868e-07,1.58791e-07,1.99997672949e-10,-1e+300,2.1955800029800002e-23,2.40867194666e-25,(1.52133096397e-11 -8.00762446469e-28 -6.19046087706e-13),1.99997672949e-10,0.0,0.0,-3.36548496776e-08,2.18459079279e-11,4.5942247842e-28,0.0,1.83277570764e-11,1.21416015121e-25,1.86659238205e-11
2.99997e-10,1.5955e-07,1.58471e-07,2.99997100567e-10,-1e+300,2.2288087422400002e-23,2.44983626959e-25,(1.53558515523e-11 -1.03086663937e-27 -6.05148304012e-13),2.99997100567e-10,0.0,0.0,-3.46117744571e-08,2.18963346505e-11,1.94742635367e-28,0.0,1.83265318785e-11,2.49973029634e-26,1.86980865409e-11
3.99997e-10,1.59235e-07,1.58158e-07,3.99997104167e-10,-1e+300,2.2344812092700002e-23,2.48791341429e-25,(1.54949964903e-11 -9.27038447715e-28 -6.01790076943e-13),3.99997104167e-10,0.0,0.0,-3.58147414739e-08,2.19406294143e-11,-2.5899385132e-28,0.0,1.83253546801e-11,-8.42986913836e-26,1.87133262173e-11
5.00002e-10,1.58923e-07,1.57848e-07,5.00002212817e-10,-1e+300,2.23338154376e-23,2.52408521976e-25,(1.56694686426e-11 -2.43006260432e-27 -6.02709200984e-13),5.00002212817e-10,0.0,0.0,-3.70603569183e-08,2.20220488917e-11,-1.84767224604e-27,0.0,1.83242372033e-11,-2.02912348195e-25,1.87145643399e-11
5.99999e-10,1.58618e-07,1.57542e-07,5.9999918401e-10,-1e+300,2.23158093089e-23,2.5607318957099998e-25,(1.58471007469e-11 -2.39810980631e-27 -6.01266535666e-13),5.9999918401e-10,0.0,0.0,-3.82787821243e-08,2.21092304558e-11,-2.04178874415e-27,0.0,1.83231832582e-11,-3.25783374158e-25,1.8705852272e-11
6.99999e-10,1.58318e-07,1.57242e-07,6.99999458337e-10,-1e+300,2.2262001945700002e-23,2.5926485304799998e-25,(1.59981172176e-11 -1.82810336325e-27 -5.9595646555e-13),6.99999458337e-10,0.0,0.0,-3.96265117429e-08,2.21637938771e-11,-1.6247849272e-27,0.0,1.83221897571e-11,-4.38988506638e-25,1.86894305044e-11
8.00003e-10,1.58023e-07,1.56951e-07,8.00002592592e-10,-1e+300,2.2195775300100002e-23,2.62010069429e-25,(1.61196227174e-11 -7.57294542786e-28 -5.92303964346e-13),8.00002592592e-10,0.0,0.0,-4.09536693104e-08,2.21871747448e-11,-6.80627370241e-28,0.0,1.83212435817e-11,-5.26027241236e-25,1.86664725647e-11
9.00002e-10,1.57732e-07,1.56661e-07,9.00002445974e-10,-1e+300,2.21534308952e-23,2.6483527318e-25,(1.62826661537e-11 -3.53025662285e-28 -5.88115184484e-13),9.00002445974e-10,0.0,0.0,-4.21354287495e-08,2.22689924175e-11,-9.02333631531e-28,0.0,1.83203313977e-11,-5.80010656723e-25,1.86384304703e-11
9.99997e-10,1.57444e-07,1.56372e-07,9.99997323166e-10,-1e+300,2.21045374147e-23,2.67311171876e-25,(1.64235444088e-11 9.03663519743e-28 -5.78953440054e-13),9.99997323166e-10,0.0,0.0,-4.36369160005e-08,2.23248768843e-11,-3.29352103422e-28,0.0,1.83194805244e-11,-6.05595753989e-25,1.86080867631e-11
