time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
9.99972271782e-11,-1e+300,1.8189564583900002e-23,2.40746732828e-25,(1.51442873656e-11 2.9875940986e-28 -9.84020727889e-13)
1.9999722211e-10,-1e+300,1.9712205244800002e-23,2.31934257806e-25,(1.49198199671e-11 8.45802903947e-29 -7.24776675793e-13)
2.99999004289e-10,-1e+300,1.96595740812e-23,2.3310541319699997e-25,(1.4871761697e-11 -1.92978019388e-28 -6.96093840772e-13)
3.999968329e-10,-1e+300,1.93787831256e-23,2.34646737638e-25,(1.48825084927e-11 -1.64986428318e-28 -6.86671421328e-13)
5.00002667716e-10,-1e+300,1.9045528003800002e-23,2.36076066665e-25,(1.49297916391e-11 -1.23469302435e-27 -6.80078500134e-13)
6.00002114036e-10,-1e+300,1.87255678826e-23,2.37436655938e-25,(1.49564011986e-11 -1.11731834573e-27 -6.6771878988e-13)
7.00000802192e-10,-1e+300,1.84152451535e-23,2.38581562786e-25,(1.49763731986e-11 -1.14895763767e-27 -6.50450453857e-13)
7.9999837909e-10,-1e+300,1.8134146726e-23,2.39845014086e-25,(1.50458723074e-11 -2.268158056e-32 -6.39882536707e-13)
9.00002297767e-10,-1e+300,1.78954990525e-23,2.41072811305e-25,(1.50855849893e-11 4.38949376764e-28 -6.2625051181e-13)
9.99998980523e-10,-1e+300,1.76503205169e-23,2.4180473888e-25,(1.5102235035e-11 9.67659172086e-28 -6.06806052042e-13)
1.09999790801e-09,-1e+300,1.74427192666e-23,2.42704654557e-25,(1.5173936391e-11 1.88611648447e-27 -5.95244556748e-13)
1.20000240051e-09,-1e+300,1.72607605523e-23,2.4349865759099997e-25,(1.52124956024e-11 3.03100354261e-27 -5.79957200378e-13)
1.30000206791e-09,-1e+300,1.70623640361e-23,2.4377286400799998e-25,(1.52373186512e-11 4.37760706852e-27 -5.65719684623e-13)
1.39999807254e-09,-1e+300,1.69261568646e-23,2.4463616721e-25,(1.53044193608e-11 4.8664428364e-27 -5.50339246107e-13)
1.50000189568e-09,-1e+300,1.67649434944e-23,2.44975479212e-25,(1.53340577826e-11 4.80370338148e-27 -5.35310760895e-13)
1.59999580487e-09,-1e+300,1.66315355689e-23,2.4550767755899997e-25,(1.53784391365e-11 3.83570320716e-27 -5.20590770722e-13)
1.7000036981e-09,-1e+300,1.65148433109e-23,2.460838577e-25,(1.54329955021e-11 2.9240451475e-27 -5.04666590903e-13)
