Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
9.99972e-11,1.60162e-07,1.59165e-07,9.99972271782e-11,-1e+300,1.8189564583900002e-23,2.40746732828e-25,(1.51442873656e-11 2.9875940986e-28 -9.84020727889e-13),9.99972271782e-11,0.0,0.0,-3.00728927731e-08,2.23546093931e-11,1.10226900397e-27,0.0,1.81033941247e-11,1.9434738562e-25,1.82359312819e-11
1.99997e-10,1.59894e-07,1.58841e-07,1.9999722211e-10,-1e+300,1.9712205244800002e-23,2.31934257806e-25,(1.49198199671e-11 8.45802903947e-29 -7.24776675793e-13),1.9999722211e-10,0.0,0.0,-3.17434720757e-08,2.16207507655e-11,3.35536522692e-28,0.0,1.80449498081e-11,1.3563436924199998e-25,1.82384083953e-11
2.99999e-10,1.59596e-07,1.58542e-07,2.99999004289e-10,-1e+300,1.96595740812e-23,2.33105413197e-25,(1.4871761697e-11 -1.92978019388e-28 -6.96093840772e-13),2.99999004289e-10,0.0,0.0,-3.25072118324e-08,2.14126867415e-11,2.34703944372e-28,0.0,1.79814162776e-11,5.60123736292e-26,1.81866401019e-11
3.99997e-10,1.59298e-07,1.58249e-07,3.999968329e-10,-1e+300,1.93787831256e-23,2.34646737638e-25,(1.48825084927e-11 -1.64986428318e-28 -6.86671421328e-13),3.999968329e-10,0.0,0.0,-3.32381112777e-08,2.12881355406e-11,-5.02269701375e-29,0.0,1.79199677731e-11,-3.60516416012e-26,1.81200833221e-11
5.00003e-10,1.59007e-07,1.57961e-07,5.00002667716e-10,-1e+300,1.9045528003800002e-23,2.36076066665e-25,(1.49297916391e-11 -1.23469302435e-27 -6.80078500134e-13),5.00002667716e-10,0.0,0.0,-3.39990165758e-08,2.12060133264e-11,-1.23801606807e-27,0.0,1.78612122517e-11,-1.3534833948e-25,1.80443942097e-11
6.00002e-10,1.58725e-07,1.57683e-07,6.00002114036e-10,-1e+300,1.87255678826e-23,2.37436655938e-25,(1.49564011986e-11 -1.11731834573e-27 -6.6771878988e-13),6.00002114036e-10,0.0,0.0,-3.47486087877e-08,2.11040782966e-11,-1.58166233771e-27,0.0,1.78050589262e-11,-2.37008521825e-25,1.79620844987e-11
7.00001e-10,1.5845e-07,1.57412e-07,7.00000802192e-10,-1e+300,1.84152451535e-23,2.38581562786e-25,(1.49763731986e-11 -1.14895763767e-27 -6.50450453857e-13),7.00000802192e-10,0.0,0.0,-3.55875569091e-08,2.09968044776e-11,-1.48273560884e-27,0.0,1.77514803047e-11,-3.3397404626799998e-25,1.78748264442e-11
7.99998e-10,1.58178e-07,1.57142e-07,7.9999837909e-10,-1e+300,1.8134146726e-23,2.39845014086e-25,(1.50458723074e-11 -2.268158056e-32 -6.39882536707e-13),7.9999837909e-10,0.0,0.0,-3.63840674163e-08,2.09575800441e-11,-4.371029737730001e-28,0.0,1.77006957699e-11,-4.18734296978e-25,1.7785997171e-11
9.00002e-10,1.57913e-07,1.56881e-07,9.00002297767e-10,-1e+300,1.78954990525e-23,2.41072811305e-25,(1.50855849893e-11 4.38949376764e-28 -6.2625051181e-13),9.00002297767e-10,0.0,0.0,-3.71668647228e-08,2.08915076755e-11,1.47424638935e-28,0.0,1.76525926892e-11,-4.86436795178e-25,1.76976315407e-11
9.99999e-10,1.57653e-07,1.56626e-07,9.99998980523e-10,-1e+300,1.76503205169e-23,2.4180473888e-25,(1.5102235035e-11 9.67659172086e-28 -6.06806052042e-13),9.99998980523e-10,0.0,0.0,-3.79536449795e-08,2.08032003291e-11,4.878170348570001e-28,0.0,1.76071123231e-11,-5.35185291261e-25,1.76096194203e-11
