Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.00001e-10,1.60162e-07,1.59167e-07
2.00002e-10,1.59895e-07,1.58841e-07
2.99999e-10,1.59596e-07,1.58542e-07
4.00003e-10,1.59298e-07,1.58248e-07
5.00003e-10,1.59006e-07,1.57958e-07
6.00001e-10,1.58723e-07,1.57679e-07
6.99997e-10,1.58446e-07,1.57406e-07
7.99998e-10,1.58173e-07,1.57134e-07
9e-10,1.57905e-07,1.56871e-07
9.99998e-10,1.57644e-07,1.56613e-07
1.1e-09,1.57385e-07,1.56355e-07
1.2e-09,1.57132e-07,1.56106e-07
1.3e-09,1.56883e-07,1.55859e-07
1.4e-09,1.56636e-07,1.55612e-07
1.5e-09,1.56395e-07,1.55376e-07
1.6e-09,1.56155e-07,1.55135e-07
1.7e-09,1.55968e-07,1.54902e-07
1.8e-09,1.55686e-07,1.54671e-07
1.9e-09,1.55454e-07,1.54439e-07
2e-09,1.55228e-07,1.54215e-07
2.1e-09,1.55001e-07,1.53987e-07
2.2e-09,1.54779e-07,1.53769e-07
2.3e-09,1.54557e-07,1.53546e-07
2.4e-09,1.54339e-07,1.53331e-07
2.5e-09,1.54123e-07,1.53114e-07
2.6e-09,1.53908e-07,1.52901e-07
2.7e-09,1.53696e-07,1.52688e-07
2.8e-09,1.53484e-07,1.52478e-07
2.9e-09,1.53276e-07,1.5227e-07
3e-09,1.53069e-07,1.52062e-07
3.1e-09,1.52864e-07,1.51859e-07
3.2e-09,1.5266e-07,1.51654e-07
3.3e-09,1.52459e-07,1.51454e-07
3.4e-09,1.52258e-07,1.51252e-07
3.5e-09,1.5206e-07,1.51055e-07
3.6e-09,1.51861e-07,1.50855e-07
3.7e-09,1.51666e-07,1.50661e-07
3.8e-09,1.51471e-07,1.50465e-07
3.9e-09,1.51278e-07,1.50273e-07
4e-09,1.51085e-07,1.5008e-07
4.1e-09,1.50895e-07,1.49889e-07
4.2e-09,1.50705e-07,1.497e-07
4.3e-09,1.50517e-07,1.4951e-07
4.4e-09,1.50329e-07,1.49325e-07
4.5e-09,1.50144e-07,1.49136e-07
4.6e-09,1.49959e-07,1.48954e-07
4.7e-09,1.49775e-07,1.48766e-07
4.8e-09,1.49593e-07,1.48587e-07
4.9e-09,1.49411e-07,1.484e-07
5e-09,1.49231e-07,1.48224e-07
5.1e-09,1.4905e-07,1.48041e-07
5.2e-09,1.48873e-07,1.47865e-07
5.3e-09,1.48695e-07,1.47686e-07
5.4e-09,1.48519e-07,1.47509e-07
5.50001e-09,1.48343e-07,1.47335e-07
5.6e-09,1.48169e-07,1.47157e-07
5.7e-09,1.47995e-07,1.46987e-07
5.8e-09,1.47822e-07,1.46809e-07
5.9e-09,1.47651e-07,1.46641e-07
6e-09,1.4748e-07,1.46469e-07
