Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.00001e-10,1.60161e-07,1.59164e-07
2e-10,1.59894e-07,1.58837e-07
3e-10,1.59594e-07,1.58537e-07
4.00001e-10,1.59295e-07,1.58242e-07
4.99999e-10,1.59004e-07,1.57952e-07
6.00002e-10,1.5872e-07,1.57672e-07
6.99998e-10,1.58443e-07,1.57398e-07
8.00001e-10,1.58169e-07,1.57126e-07
9e-10,1.57902e-07,1.56862e-07
1e-09,1.57641e-07,1.56604e-07
1.1e-09,1.57382e-07,1.56346e-07
1.2e-09,1.57129e-07,1.56097e-07
1.3e-09,1.5688e-07,1.5585e-07
1.4e-09,1.56633e-07,1.55602e-07
1.5e-09,1.56393e-07,1.55366e-07
1.6e-09,1.56153e-07,1.55127e-07
1.7e-09,1.55965e-07,1.54894e-07
1.8e-09,1.55685e-07,1.54663e-07
1.9e-09,1.55454e-07,1.54432e-07
2e-09,1.55228e-07,1.54209e-07
2.1e-09,1.55003e-07,1.53982e-07
2.2e-09,1.54781e-07,1.53765e-07
2.3e-09,1.54561e-07,1.53543e-07
2.4e-09,1.54343e-07,1.53329e-07
2.5e-09,1.54128e-07,1.53112e-07
2.6e-09,1.53914e-07,1.529e-07
2.7e-09,1.53703e-07,1.52689e-07
2.8e-09,1.53493e-07,1.5248e-07
2.9e-09,1.53286e-07,1.52273e-07
3e-09,1.53079e-07,1.52066e-07
3.1e-09,1.52875e-07,1.51864e-07
3.2e-09,1.52672e-07,1.5166e-07
3.3e-09,1.52472e-07,1.5146e-07
3.4e-09,1.52271e-07,1.51259e-07
3.5e-09,1.52074e-07,1.51063e-07
3.6e-09,1.51877e-07,1.50865e-07
3.7e-09,1.51682e-07,1.50671e-07
3.8e-09,1.51488e-07,1.50476e-07
3.9e-09,1.51296e-07,1.50284e-07
4e-09,1.51104e-07,1.50093e-07
4.1e-09,1.50915e-07,1.49903e-07
4.2e-09,1.50726e-07,1.49715e-07
4.3e-09,1.50539e-07,1.49526e-07
4.4e-09,1.50352e-07,1.49341e-07
4.5e-09,1.50167e-07,1.49153e-07
4.6e-09,1.49983e-07,1.48972e-07
4.7e-09,1.498e-07,1.48784e-07
4.8e-09,1.49619e-07,1.48607e-07
4.9e-09,1.49437e-07,1.48422e-07
5e-09,1.49258e-07,1.48246e-07
5.1e-09,1.49079e-07,1.48065e-07
5.2e-09,1.48902e-07,1.47888e-07
5.3e-09,1.48725e-07,1.47712e-07
5.4e-09,1.4855e-07,1.47534e-07
5.5e-09,1.48375e-07,1.47362e-07
5.6e-09,1.48202e-07,1.47183e-07
5.7e-09,1.48029e-07,1.47015e-07
5.8e-09,1.47857e-07,1.4684e-07
5.9e-09,1.47687e-07,1.46671e-07
6e-09,1.47517e-07,1.46501e-07
6.1e-09,1.47349e-07,1.4633e-07
6.2e-09,1.4718e-07,1.46165e-07
6.3e-09,1.47014e-07,1.45992e-07
6.4e-09,1.46848e-07,1.45831e-07
6.5e-09,1.46682e-07,1.45663e-07
6.6e-09,1.46518e-07,1.45499e-07
6.7e-09,1.46354e-07,1.45337e-07
6.8e-09,1.46192e-07,1.4517e-07
6.9e-09,1.4603e-07,1.45012e-07
7e-09,1.45869e-07,1.44847e-07
7.1e-09,1.45709e-07,1.44688e-07
7.2e-09,1.45549e-07,1.44529e-07
7.3e-09,1.4539e-07,1.44366e-07
7.4e-09,1.45232e-07,1.44212e-07
7.5e-09,1.45074e-07,1.44051e-07
7.6e-09,1.44918e-07,1.43895e-07
7.7e-09,1.44761e-07,1.4374e-07
7.8e-09,1.44606e-07,1.4358e-07
7.9e-09,1.44451e-07,1.43429e-07
8e-09,1.44296e-07,1.43273e-07
8.1e-09,1.44143e-07,1.43118e-07
8.2e-09,1.43989e-07,1.42967e-07
8.3e-09,1.43837e-07,1.42809e-07
8.4e-09,1.43685e-07,1.42662e-07
8.5e-09,1.43533e-07,1.4251e-07
8.6e-09,1.43383e-07,1.42356e-07
8.7e-09,1.43233e-07,1.4221e-07
8.8e-09,1.43083e-07,1.42057e-07
8.9e-09,1.42935e-07,1.41909e-07
9e-09,1.42786e-07,1.41762e-07
9.1e-09,1.42639e-07,1.41609e-07
9.2e-09,1.42492e-07,1.41466e-07
9.3e-09,1.42345e-07,1.41319e-07
9.4e-09,1.42199e-07,1.41169e-07
9.5e-09,1.42054e-07,1.41028e-07
9.6e-09,1.42e-07,1.40881e-07
9.7e-09,1.41777e-07,1.40735e-07
9.8e-09,1.4162e-07,1.40594e-07
9.9e-09,1.41476e-07,1.40447e-07
1e-08,1.41334e-07,1.40305e-07
1.01e-08,1.41191e-07,1.40165e-07
1.02e-08,1.4105e-07,1.40018e-07
1.03e-08,1.40909e-07,1.3988e-07
1.04e-08,1.40767e-07,1.3974e-07
1.05e-08,1.40627e-07,1.39594e-07
1.06e-08,1.40488e-07,1.39459e-07
1.07e-08,1.40348e-07,1.39319e-07
1.08e-08,1.40209e-07,1.39176e-07
1.09e-08,1.40071e-07,1.39042e-07
1.1e-08,1.39932e-07,1.38903e-07
1.11e-08,1.39795e-07,1.38762e-07
1.12e-08,1.39658e-07,1.38629e-07
1.13e-08,1.39521e-07,1.38491e-07
1.14e-08,1.39386e-07,1.38352e-07
1.15e-08,1.3925e-07,1.3822e-07
1.16e-08,1.39114e-07,1.38083e-07
1.17e-08,1.3898e-07,1.37946e-07
1.18e-08,1.38845e-07,1.37815e-07
1.19e-08,1.38711e-07,1.37678e-07
1.2e-08,1.38577e-07,1.37543e-07
1.21e-08,1.38444e-07,1.37413e-07
1.22e-08,1.38311e-07,1.37278e-07
1.23e-08,1.38179e-07,1.37144e-07
1.24e-08,1.38047e-07,1.37015e-07
1.25e-08,1.37915e-07,1.36882e-07
1.26e-08,1.37784e-07,1.36748e-07
1.27e-08,1.37653e-07,1.36621e-07
1.28e-08,1.37522e-07,1.36489e-07
1.29e-08,1.37393e-07,1.36356e-07
1.3e-08,1.37263e-07,1.3623e-07
1.31e-08,1.37133e-07,1.36099e-07
1.32e-08,1.37005e-07,1.35967e-07
1.33e-08,1.36876e-07,1.35842e-07
1.34e-08,1.36747e-07,1.35714e-07
1.35e-08,1.3662e-07,1.35581e-07
1.36e-08,1.36493e-07,1.35458e-07
1.37e-08,1.36365e-07,1.35331e-07
1.38e-08,1.36239e-07,1.35198e-07
1.39e-08,1.36113e-07,1.35077e-07
1.4e-08,1.35986e-07,1.34952e-07
1.41e-08,1.35861e-07,1.34821e-07
1.42e-08,1.35736e-07,1.34699e-07
1.43e-08,1.3561e-07,1.34576e-07
1.44e-08,1.35486e-07,1.34447e-07
1.45e-08,1.35362e-07,1.34324e-07
1.46e-08,1.35238e-07,1.34202e-07
1.47e-08,1.35114e-07,1.34077e-07
1.48e-08,1.34992e-07,1.33951e-07
1.49e-08,1.34869e-07,1.33832e-07
1.5e-08,1.34746e-07,1.33709e-07
1.51e-08,1.34624e-07,1.33582e-07
1.52e-08,1.34503e-07,1.33464e-07
1.53e-08,1.3438e-07,1.33343e-07
1.54e-08,1.3426e-07,1.33217e-07
