time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
1.00001222489e-10,-1e+300,1.82299739656e-23,1.21330489205e-25,(1.51857898478e-11 3.23098875884e-28 -9.12227184496e-13)
2.00000446208e-10,-1e+300,1.9816635600400002e-23,1.16961854547e-25,(1.49831057858e-11 1.29861963161e-28 -6.67007600696e-13)
3.00000291569e-10,-1e+300,1.98051858755e-23,1.17637983117e-25,(1.49524787699e-11 1.80102042111e-29 -6.41823640232e-13)
4.0000089316e-10,-1e+300,1.95586811835e-23,1.18481584129e-25,(1.49793997233e-11 -6.12363545488e-29 -6.35997964377e-13)
4.99999120509e-10,-1e+300,1.9253576835500002e-23,1.19239931549e-25,(1.50405540602e-11 -1.20814141642e-27 -6.33296182858e-13)
6.00001561182e-10,-1e+300,1.89529500014e-23,1.1990680182499998e-25,(1.5078867746e-11 -1.29825588595e-27 -6.25484302817e-13)
6.99998448338e-10,-1e+300,1.86625776146e-23,1.2048073008599999e-25,(1.5108255479e-11 -1.14037454956e-27 -6.12875619862e-13)
8.00001237003e-10,-1e+300,1.83970257684e-23,1.2110652399499999e-25,(1.51860545646e-11 -7.45481704017e-29 -6.06564303436e-13)
8.9999964291e-10,-1e+300,1.81653620864e-23,1.21719226793e-25,(1.52317890199e-11 5.49103495817e-28 -5.97216437477e-13)
1.0000005237e-09,-1e+300,1.7933248506800002e-23,1.2211531281899998e-25,(1.52530172624e-11 8.37452538974e-28 -5.81464786493e-13)
1.10000097629e-09,-1e+300,1.77285190493e-23,1.22587408445e-25,(1.53304267367e-11 1.59244830831e-27 -5.75839380111e-13)
1.1999987769e-09,-1e+300,1.7559306317800001e-23,1.23099690443e-25,(1.53729954205e-11 2.73086190844e-27 -5.65963974891e-13)
1.3000015551e-09,-1e+300,1.7371782760500002e-23,1.23357726418e-25,(1.5399050274e-11 3.97949956939e-27 -5.5411104873e-13)
1.40000173273e-09,-1e+300,1.72336617215e-23,1.23874409117e-25,(1.5469316033e-11 4.57028852512e-27 -5.45778537504e-13)
1.49999929425e-09,-1e+300,1.7085354880300002e-23,1.2423974854199999e-25,(1.55009242958e-11 4.61630959776e-27 -5.3600421563e-13)
1.59999856508e-09,-1e+300,1.69462378535e-23,1.2454421208899999e-25,(1.55448250246e-11 3.6376555412e-27 -5.28451328116e-13)
1.69999849243e-09,-1e+300,1.68414192083e-23,1.25024730082e-25,(1.56014368672e-11 2.70873944046e-27 -5.16301905036e-13)
1.80000114386e-09,-1e+300,1.6698858239400002e-23,1.2518290939199999e-25,(1.56161979933e-11 1.81054658046e-27 -5.09609194591e-13)
1.90000004089e-09,-1e+300,1.66258048718e-23,1.25746470927e-25,(1.56880889389e-11 1.74715263078e-27 -5.01071904459e-13)
1.99999924031e-09,-1e+300,1.6511414961e-23,1.25967134307e-25,(1.57230480859e-11 1.69648140597e-27 -4.93791101215e-13)
2.09999812943e-09,-1e+300,1.6438327763e-23,1.26420003e-25,(1.57675318411e-11 2.22912488796e-27 -4.85549961832e-13)
2.20000218967e-09,-1e+300,1.6350919073100002e-23,1.267506679e-25,(1.58198935544e-11 2.6047848213e-27 -4.81454385944e-13)
