Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.00001e-10,1.60161e-07,1.59164e-07,1.00001222489e-10,-1e+300,1.82299739656e-23,1.21330489205e-25,(1.51857898478e-11 3.23098875884e-28 -9.12227184496e-13),1.00001222489e-10,0.0,0.0,-3.00918734275e-08,2.24139218643e-11,1.25932392622e-27,0.0,1.81340830026e-11,1.93743275805e-25,1.83093133348e-11
2e-10,1.59894e-07,1.58837e-07,2.00000446208e-10,-1e+300,1.9816635600400002e-23,1.16961854547e-25,(1.49831057858e-11 1.29861963161e-28 -6.67007600696e-13),2.00000446208e-10,0.0,0.0,-3.18277779258e-08,2.1706371282e-11,5.96301178171e-28,0.0,1.80827882355e-11,1.33744973299e-25,1.83333852638e-11
3e-10,1.59594e-07,1.58537e-07,3.00000291569e-10,-1e+300,1.98051858755e-23,1.17637983117e-25,(1.49524787699e-11 1.80102042111e-29 -6.41823640232e-13),3.00000291569e-10,0.0,0.0,-3.26369106609e-08,2.15221125257e-11,5.2081904987700005e-28,0.0,1.8026903073e-11,5.296285158190001e-26,1.83014698891e-11
4.00001e-10,1.59295e-07,1.58242e-07,4.0000089316e-10,-1e+300,1.95586811835e-23,1.18481584129e-25,(1.49793997233e-11 -6.12363545488e-29 -6.35997964377e-13),4.0000089316e-10,0.0,0.0,-3.3428403814e-08,2.14198068991e-11,2.64289070841e-28,0.0,1.79725520258e-11,-4.03800093374e-26,1.82525670371e-11
4.99999e-10,1.59004e-07,1.57952e-07,4.99999120509e-10,-1e+300,1.9253576835500002e-23,1.19239931549e-25,(1.50405540602e-11 -1.20814141642e-27 -6.33296182858e-13),4.99999120509e-10,0.0,0.0,-3.42125628636e-08,2.13569629904e-11,-9.44565950608e-28,0.0,1.79202773865e-11,-1.41356436284e-25,1.81925513939e-11
6.00002e-10,1.5872e-07,1.57672e-07,6.00001561182e-10,-1e+300,1.89529500014e-23,1.1990680182499998e-25,(1.5078867746e-11 -1.29825588595e-27 -6.25484302817e-13),6.00001561182e-10,0.0,0.0,-3.50306377279e-08,2.12702696667e-11,-1.27452600342e-27,0.0,1.78699649568e-11,-2.45025721611e-25,1.81239515605e-11
6.99998e-10,1.58443e-07,1.57398e-07,6.99998448338e-10,-1e+300,1.86625776146e-23,1.20480730086e-25,(1.5108255479e-11 -1.14037454956e-27 -6.12875619862e-13),6.99998448338e-10,0.0,0.0,-3.5851477412e-08,2.11771244353e-11,-1.20323615969e-27,0.0,1.78215475051e-11,-3.4358966955399998e-25,1.80485353971e-11
8.00001e-10,1.58169e-07,1.57126e-07,8.00001237003e-10,-1e+300,1.83970257684e-23,1.21106523995e-25,(1.51860545646e-11 -7.45481704017e-29 -6.06564303436e-13),8.00001237003e-10,0.0,0.0,-3.66292317956e-08,2.11489361406e-11,-2.98716445219e-28,0.0,1.77752474284e-11,-4.28442016062e-25,1.79698323582e-11
9e-10,1.57902e-07,1.56862e-07,8.9999964291e-10,-1e+300,1.81653620864e-23,1.21719226793e-25,(1.52317890199e-11 5.49103495817e-28 -5.97216437477e-13),8.9999964291e-10,0.0,0.0,-3.70872495941e-08,2.10948134657e-11,7.151084005600001e-29,0.0,1.77310129613e-11,-4.94365080363e-25,1.78902778216e-11
1e-09,1.57641e-07,1.56604e-07,1.0000005237e-09,-1e+300,1.7933248506800002e-23,1.2211531281899998e-25,(1.52530172624e-11 8.37452538974e-28 -5.81464786493e-13),1.0000005237e-09,0.0,0.0,-3.80632651404e-08,2.10094513948e-11,2.5947496847400003e-28,0.0,1.76887464175e-11,-5.4043988135e-25,1.78099255552e-11
1.1e-09,1.57382e-07,1.56346e-07,1.10000097629e-09,-1e+300,1.77285190493e-23,1.22587408445e-25,(1.53304267367e-11 1.59244830831e-27 -5.75839380111e-13),1.10000097629e-09,0.0,0.0,-3.90948787758e-08,2.09981474437e-11,1.00173482236e-27,0.0,1.76485822496e-11,-5.69570283048e-25,1.7730353238e-11
1.2e-09,1.57129e-07,1.56097e-07,1.1999987769e-09,-1e+300,1.7559306317800001e-23,1.23099690443e-25,(1.53729954205e-11 2.73086190844e-27 -5.65963974891e-13),1.1999987769e-09,0.0,0.0,-4.00165740818e-08,2.09537950844e-11,1.75705264785e-27,0.0,1.76105652394e-11,-5.8682785852299985e-25,1.76535100716e-11
1.3e-09,1.5688e-07,1.5585e-07,1.3000015551e-09,-1e+300,1.7371782760500002e-23,1.23357726418e-25,(1.5399050274e-11 3.97949956939e-27 -5.5411104873e-13),1.3000015551e-09,0.0,0.0,-4.10086057659e-08,2.08909752228e-11,2.77824113986e-27,0.0,1.75745218275e-11,-5.998267842439998e-25,1.75781421116e-11
1.4e-09,1.56633e-07,1.55602e-07,1.40000173273e-09,-1e+300,1.72336617215e-23,1.23874409117e-25,(1.5469316033e-11 4.57028852512e-27 -5.45778537504e-13),1.40000173273e-09,0.0,0.0,-4.19863385736e-08,2.08903997192e-11,3.12286098095e-27,0.0,1.7540444977e-11,-6.15296290559e-25,1.75054688267e-11
1.5e-09,1.56393e-07,1.55366e-07,1.49999929425e-09,-1e+300,1.7085354880300002e-23,1.24239748542e-25,(1.55009242958e-11 4.61630959776e-27 -5.3600421563e-13),1.49999929425e-09,0.0,0.0,-4.25068635538e-08,2.08499271106e-11,3.02901877991e-27,0.0,1.75084808331e-11,-6.36596471035e-25,1.74366511019e-11
1.6e-09,1.56153e-07,1.55127e-07,1.59999856508e-09,-1e+300,1.69462378535e-23,1.24544212089e-25,(1.55448250246e-11 3.6376555412e-27 -5.28451328116e-13),1.59999856508e-09,0.0,0.0,-4.34341137501e-08,2.08235180426e-11,2.50437731284e-27,0.0,1.74781716584e-11,-6.6400742232e-25,1.73692775919e-11
1.7e-09,1.55965e-07,1.54894e-07,1.69999849243e-09,-1e+300,1.68414192083e-23,1.25024730082e-25,(1.56014368672e-11 2.70873944046e-27 -5.16301905036e-13),1.69999849243e-09,0.0,0.0,-4.42879152634e-08,2.08185390614e-11,1.93902279196e-27,0.0,1.74499238747e-11,-6.9614560254899985e-25,1.73062408062e-11
1.8e-09,1.55685e-07,1.54663e-07,1.80000114386e-09,-1e+300,1.6698858239400002e-23,1.25182909392e-25,(1.56161979933e-11 1.81054658046e-27 -5.09609194591e-13),1.80000114386e-09,0.0,0.0,-4.50013812296e-08,2.07661090141e-11,1.42657083846e-27,0.0,1.74234523063e-11,-7.31278263589e-25,1.72458997689e-11
1.9e-09,1.55454e-07,1.54432e-07,1.90000004089e-09,-1e+300,1.66258048718e-23,1.25746470927e-25,(1.56880889389e-11 1.74715263078e-27 -5.01071904459e-13),1.90000004089e-09,0.0,0.0,-4.58764525215e-08,2.07859883736e-11,1.476374249e-27,0.0,1.73986837443e-11,-7.68035915522e-25,1.71880841177e-11
2e-09,1.55228e-07,1.54209e-07,1.99999924031e-09,-1e+300,1.6511414961e-23,1.25967134307e-25,(1.57230480859e-11 1.69648140597e-27 -4.93791101215e-13),1.99999924031e-09,0.0,0.0,-4.68138755054e-08,2.07610119245e-11,1.7628055841e-27,0.0,1.73759312705e-11,-8.054586823369998e-25,1.71344298155e-11
2.1e-09,1.55003e-07,1.53982e-07,2.09999812943e-09,-1e+300,1.6438327763e-23,1.26420003e-25,(1.57675318411e-11 2.22912488796e-27 -4.85549961832e-13),2.09999812943e-09,0.0,0.0,-4.75705971131e-08,2.07543076839e-11,2.31364118703e-27,0.0,1.73546014876e-11,-8.43200252435e-25,1.70822685229e-11
2.2e-09,1.54781e-07,1.53765e-07,2.20000218967e-09,-1e+300,1.6350919073100002e-23,1.267506679e-25,(1.58198935544e-11 2.6047848213e-27 -4.81454385944e-13),2.20000218967e-09,0.0,0.0,-4.84237471608e-08,2.07571362236e-11,2.6560811902e-27,0.0,1.73352827719e-11,-8.8093554391e-25,1.70343263804e-11
2.3e-09,1.54561e-07,1.53543e-07,2.29999807668e-09,-1e+300,1.62747058762e-23,1.27080210181e-25,(1.58436665295e-11 2.59826660527e-27 -4.71753411045e-13),2.29999807668e-09,0.0,0.0,-4.92758836368e-08,2.07278979622e-11,2.77583368793e-27,0.0,1.73173276291e-11,-9.17476353104e-25,1.69881249849e-11
2.4e-09,1.54343e-07,1.53329e-07,2.39999859736e-09,-1e+300,1.6210492210700002e-23,1.27487453972e-25,(1.5910728114e-11 2.16361634415e-27 -4.71218513028e-13),2.39999859736e-09,0.0,0.0,-5.01510590497e-08,2.07527609468e-11,2.27758165541e-27,0.0,1.73011652249e-11,-9.4935428095e-25,1.69451750021e-11
2.5e-09,1.54128e-07,1.53112e-07,2.50000042281e-09,-1e+300,1.6138152925000002e-23,1.2778132836e-25,(1.59304228894e-11 1.71662906406e-27 -4.61101484442e-13),2.50000042281e-09,0.0,0.0,-5.10893111939e-08,2.07214686074e-11,1.86857579461e-27,0.0,1.7286386853e-11,-9.70978195296e-25,1.69046667432e-11
2.6e-09,1.53914e-07,1.529e-07,2.60000226874e-09,-1e+300,1.60858113464e-23,1.2820376257399999e-25,(1.59978774222e-11 1.45525134054e-27 -4.62536215003e-13),2.60000226874e-09,0.0,0.0,-5.18914399586e-08,2.07508910932e-11,1.32247084763e-27,0.0,1.72731219745e-11,-9.77098997711e-25,1.68661981124e-11
2.7e-09,1.53703e-07,1.52689e-07,2.69999899697e-09,-1e+300,1.60254890828e-23,1.28542340417e-25,(1.60270049749e-11 1.65947462464e-27 -4.53815218426e-13),2.69999899697e-09,0.0,0.0,-5.27575589928e-08,2.07351197386e-11,1.23997693242e-27,0.0,1.72612608687e-11,-9.66460483938e-25,1.68306956306e-11
2.8e-09,1.53493e-07,1.5248e-07,2.79999930721e-09,-1e+300,1.5976773737900002e-23,1.28909871516e-25,(1.60826345123e-11 1.9797437577e-27 -4.55613506384e-13),2.79999930721e-09,0.0,0.0,-5.3644221535e-08,2.07523247642e-11,1.5601892713e-27,0.0,1.72506814745e-11,-9.4091522959e-25,1.67965597851e-11
2.9e-09,1.53286e-07,1.52273e-07,2.89999879901e-09,-1e+300,1.59272393227e-23,1.29283641806e-25,(1.61188636868e-11 2.50904423328e-27 -4.48591879938e-13),2.89999879901e-09,0.0,0.0,-5.45226374679e-08,2.07480647344e-11,2.2679517027e-27,0.0,1.7241466322e-11,-9.0199542635e-25,1.67654936028e-11
3e-09,1.53079e-07,1.52066e-07,2.99999978375e-09,-1e+300,1.58802884354e-23,1.29612667528e-25,(1.61658244085e-11 3.1773658483e-27 -4.50601546739e-13),2.99999978375e-09,0.0,0.0,-5.54090126579e-08,2.07572040935e-11,3.14130314932e-27,0.0,1.72333087785e-11,-8.51675749999e-25,1.67353602359e-11
3.1e-09,1.52875e-07,1.51864e-07,3.10000045263e-09,-1e+300,1.58393607165e-23,1.3001065567e-25,(1.62067114976e-11 3.42311169795e-27 -4.4501618068e-13),3.10000045263e-09,0.0,0.0,-5.62988146701e-08,2.0761081834e-11,3.52091723288e-27,0.0,1.72264363669e-11,-7.947658753559999e-25,1.67081750941e-11
3.2e-09,1.52672e-07,1.5166e-07,3.19999906964e-09,-1e+300,1.5796913490700002e-23,1.30332616216e-25,(1.62475326324e-11 3.5003296754e-27 -4.47552718972e-13),3.19999906964e-09,0.0,0.0,-5.71885976947e-08,2.07651665225e-11,3.73940125825e-27,0.0,1.72204750852e-11,-7.368519053909998e-25,1.66816923029e-11
3.3e-09,1.52472e-07,1.5146e-07,3.29999809123e-09,-1e+300,1.57603847876e-23,1.30723985142e-25,(1.62913460211e-11 3.15435615606e-27 -4.4418254683e-13),3.29999809123e-09,0.0,0.0,-5.80827047245e-08,2.0774797184e-11,3.45580582259e-27,0.0,1.7215723747e-11,-6.820040189939998e-25,1.66579991014e-11
3.4e-09,1.52271e-07,1.51259e-07,3.40000028915e-09,-1e+300,1.5723072173900002e-23,1.31044346952e-25,(1.6328433794e-11 2.63924308649e-27 -4.46815740817e-13),3.40000028915e-09,0.0,0.0,-5.89737262383e-08,2.07767390741e-11,2.81112339133e-27,0.0,1.72117633021e-11,-6.32179389833e-25,1.66348403779e-11
3.5e-09,1.52074e-07,1.51063e-07,3.49999875102e-09,-1e+300,1.5689080710200002e-23,1.31405160957e-25,(1.63736696645e-11 1.93778915536e-27 -4.4379091726e-13),3.49999875102e-09,0.0,0.0,-6.08526333103e-08,2.07883784132e-11,1.93941298065e-27,0.0,1.72088319366e-11,-5.86928478264e-25,1.66141318081e-11
3.6e-09,1.51877e-07,1.50865e-07,3.60000174459e-09,-1e+300,1.56553049347e-23,1.31739350069e-25,(1.64083559063e-11 1.52708669482e-27 -4.46664509534e-13),3.60000174459e-09,0.0,0.0,-6.07618551325e-08,2.07910308144e-11,1.25958962244e-27,0.0,1.72066651735e-11,-5.4365335641e-25,1.65939368699e-11
3.7e-09,1.51682e-07,1.50671e-07,3.69999799822e-09,-1e+300,1.5620754790600002e-23,1.32087392994e-25,(1.64514319855e-11 1.48935292981e-27 -4.43145124446e-13),3.69999799822e-09,0.0,0.0,-6.14020301317e-08,2.08039025747e-11,1.19269537599e-27,0.0,1.7205416427e-11,-4.97872804504e-25,1.65759914541e-11
3.8e-09,1.51488e-07,1.50476e-07,3.7999989391e-09,-1e+300,1.55909382037e-23,1.3240996675699999e-25,(1.6486815253e-11 1.87002275433e-27 -4.46870699232e-13),3.7999989391e-09,0.0,0.0,-6.2550971495e-08,2.08070361082e-11,1.63532762177e-27,0.0,1.72046808367e-11,-4.4417473192799985e-25,1.65581316034e-11
3.9e-09,1.51296e-07,1.50284e-07,3.8999991742e-09,-1e+300,1.55544960386e-23,1.3271788214899999e-25,(1.65269288722e-11 2.37179477996e-27 -4.43601838148e-13),3.8999991742e-09,0.0,0.0,-6.34367096732e-08,2.08174468258e-11,2.30013081776e-27,0.0,1.72048119258e-11,-3.77756495899e-25,1.65424430386e-11
