# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.00001222489e-10,0.0,0.0,-3.00918734275e-08,2.24139218643e-11,1.2593239262200001e-27,0.0,1.81340830026e-11,1.93743275805e-25,1.83093133348e-11
2.00000446208e-10,0.0,0.0,-3.18277779258e-08,2.1706371282e-11,5.96301178171e-28,0.0,1.80827882355e-11,1.33744973299e-25,1.83333852638e-11
3.00000291569e-10,0.0,0.0,-3.26369106609e-08,2.15221125257e-11,5.2081904987700005e-28,0.0,1.8026903073e-11,5.296285158190001e-26,1.83014698891e-11
4.0000089316e-10,0.0,0.0,-3.3428403814e-08,2.14198068991e-11,2.6428907084100002e-28,0.0,1.79725520258e-11,-4.03800093374e-26,1.82525670371e-11
4.99999120509e-10,0.0,0.0,-3.42125628636e-08,2.13569629904e-11,-9.445659506080001e-28,0.0,1.79202773865e-11,-1.41356436284e-25,1.81925513939e-11
6.00001561182e-10,0.0,0.0,-3.50306377279e-08,2.12702696667e-11,-1.2745260034200001e-27,0.0,1.78699649568e-11,-2.45025721611e-25,1.81239515605e-11
6.99998448338e-10,0.0,0.0,-3.5851477412e-08,2.11771244353e-11,-1.2032361596900001e-27,0.0,1.78215475051e-11,-3.4358966955399998e-25,1.80485353971e-11
8.00001237003e-10,0.0,0.0,-3.66292317956e-08,2.11489361406e-11,-2.9871644521900004e-28,0.0,1.77752474284e-11,-4.28442016062e-25,1.79698323582e-11
8.9999964291e-10,0.0,0.0,-3.70872495941e-08,2.10948134657e-11,7.151084005600001e-29,0.0,1.77310129613e-11,-4.94365080363e-25,1.78902778216e-11
1.0000005237e-09,0.0,0.0,-3.80632651404e-08,2.10094513948e-11,2.5947496847400003e-28,0.0,1.76887464175e-11,-5.4043988135e-25,1.78099255552e-11
1.10000097629e-09,0.0,0.0,-3.90948787758e-08,2.09981474437e-11,1.00173482236e-27,0.0,1.76485822496e-11,-5.69570283048e-25,1.7730353238e-11
1.1999987769e-09,0.0,0.0,-4.00165740818e-08,2.09537950844e-11,1.75705264785e-27,0.0,1.76105652394e-11,-5.868278585229999e-25,1.76535100716e-11
1.3000015551e-09,0.0,0.0,-4.10086057659e-08,2.08909752228e-11,2.77824113986e-27,0.0,1.75745218275e-11,-5.998267842439999e-25,1.75781421116e-11
1.40000173273e-09,0.0,0.0,-4.19863385736e-08,2.08903997192e-11,3.12286098095e-27,0.0,1.7540444977e-11,-6.15296290559e-25,1.75054688267e-11
1.49999929425e-09,0.0,0.0,-4.25068635538e-08,2.08499271106e-11,3.0290187799100002e-27,0.0,1.75084808331e-11,-6.36596471035e-25,1.74366511019e-11
1.59999856508e-09,0.0,0.0,-4.34341137501e-08,2.08235180426e-11,2.50437731284e-27,0.0,1.74781716584e-11,-6.6400742232e-25,1.73692775919e-11
1.69999849243e-09,0.0,0.0,-4.42879152634e-08,2.08185390614e-11,1.93902279196e-27,0.0,1.74499238747e-11,-6.961456025489999e-25,1.73062408062e-11
1.80000114386e-09,0.0,0.0,-4.50013812296e-08,2.07661090141e-11,1.42657083846e-27,0.0,1.74234523063e-11,-7.31278263589e-25,1.72458997689e-11
1.90000004089e-09,0.0,0.0,-4.58764525215e-08,2.07859883736e-11,1.476374249e-27,0.0,1.73986837443e-11,-7.68035915522e-25,1.71880841177e-11
