Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
9.99965e-11,1.60163e-07,1.59168e-07
2.00002e-10,1.59896e-07,1.58842e-07
2.99999e-10,1.59596e-07,1.58542e-07
3.99998e-10,1.59298e-07,1.58247e-07
5.00003e-10,1.59005e-07,1.57956e-07
6.00003e-10,1.58721e-07,1.57676e-07
7.00002e-10,1.58443e-07,1.57401e-07
7.99996e-10,1.58168e-07,1.57129e-07
9.00001e-10,1.579e-07,1.56863e-07
1e-09,1.57637e-07,1.56604e-07
1.1e-09,1.57377e-07,1.56344e-07
1.2e-09,1.57122e-07,1.56093e-07
1.3e-09,1.56871e-07,1.55844e-07
1.4e-09,1.56622e-07,1.55594e-07
1.5e-09,1.56379e-07,1.55356e-07
1.6e-09,1.56137e-07,1.55115e-07
1.7e-09,1.55934e-07,1.54879e-07
1.8e-09,1.55665e-07,1.54646e-07
1.9e-09,1.55431e-07,1.5441e-07
2e-09,1.55202e-07,1.54186e-07
2.1e-09,1.54974e-07,1.53957e-07
2.2e-09,1.54749e-07,1.53736e-07
2.3e-09,1.54527e-07,1.53512e-07
2.4e-09,1.54306e-07,1.53293e-07
2.5e-09,1.54088e-07,1.53076e-07
2.6e-09,1.53871e-07,1.52859e-07
2.7e-09,1.53658e-07,1.52647e-07
2.8e-09,1.53444e-07,1.52432e-07
2.9e-09,1.53235e-07,1.52226e-07
3e-09,1.53025e-07,1.52013e-07
3.1e-09,1.52819e-07,1.51811e-07
3.2e-09,1.52613e-07,1.51601e-07
3.3e-09,1.52411e-07,1.51402e-07
3.40001e-09,1.52208e-07,1.51196e-07
3.49999e-09,1.52008e-07,1.51e-07
3.6e-09,1.51808e-07,1.50796e-07
3.7e-09,1.51612e-07,1.50604e-07
3.8e-09,1.51415e-07,1.50403e-07
3.9e-09,1.51221e-07,1.50213e-07
4e-09,1.51026e-07,1.50015e-07
4.1e-09,1.50835e-07,1.49827e-07
4.20001e-09,1.50643e-07,1.49632e-07
4.3e-09,1.50454e-07,1.49446e-07
4.4e-09,1.50265e-07,1.49255e-07
4.49999e-09,1.50078e-07,1.49069e-07
4.6e-09,1.49891e-07,1.48882e-07
4.7e-09,1.49707e-07,1.48696e-07
4.8e-09,1.49522e-07,1.48513e-07
4.9e-09,1.4934e-07,1.48328e-07
5e-09,1.49157e-07,1.48148e-07
5.1e-09,1.48977e-07,1.47963e-07
