time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
9.99987055446e-11,-1e+300,1.83793606654e-23,2.45753747452e-25,(1.53566838503e-11 1.31280619782e-28 -9.98140787245e-13)
1.99998866303e-10,-1e+300,2.0377282684e-23,2.38651923812e-25,(1.53056337635e-11 -1.44870166302e-28 -7.46595784602e-13)
3.00002329236e-10,-1e+300,2.06727305766e-23,2.42061079597e-25,(1.54010053552e-11 6.79670796351e-29 -7.24874400519e-13)
4.0000211089e-10,-1e+300,2.07060112694e-23,2.45734756793e-25,(1.55513920832e-11 -1.57307658523e-28 -7.23068590989e-13)
5.00003356697e-10,-1e+300,2.06599990106e-23,2.49279624994e-25,(1.57317282016e-11 -9.84033471573e-28 -7.24063542207e-13)
6.00001349422e-10,-1e+300,2.0573887976200002e-23,2.52168069665e-25,(1.58866282502e-11 -1.28061209631e-27 -7.21319633752e-13)
6.99998654072e-10,-1e+300,2.0507375686000003e-23,2.55183146125e-25,(1.60134441459e-11 -8.85258305727e-28 -7.11691043355e-13)
8.00000692282e-10,-1e+300,2.04674853906e-23,2.58409074196e-25,(1.61989275384e-11 -1.17108104229e-28 -7.08414785248e-13)
8.99998899435e-10,-1e+300,2.04029953917e-23,2.61063690795e-25,(1.63509701229e-11 2.77613379381e-28 -7.03140616086e-13)
1.00000161085e-09,-1e+300,2.0348450490600002e-23,2.63563833464e-25,(1.64632206332e-11 7.72639940225e-28 -6.93028497629e-13)
1.09999984648e-09,-1e+300,2.03275647668e-23,2.66330804391e-25,(1.66160649627e-11 1.72752082268e-27 -6.86214593356e-13)
1.20000225379e-09,-1e+300,2.02856163975e-23,2.68652009755e-25,(1.67560705326e-11 3.14321690579e-27 -6.81404350566e-13)
1.30000082761e-09,-1e+300,2.0245868082300002e-23,2.70850928452e-25,(1.68515130822e-11 4.0932122711e-27 -6.71651681375e-13)
1.39999703953e-09,-1e+300,2.02294849987e-23,2.73204715996e-25,(1.69793351471e-11 4.54542077541e-27 -6.64419114502e-13)
1.4999987912e-09,-1e+300,2.01936368676e-23,2.7512859136000003e-25,(1.71020354475e-11 4.02740412794e-27 -6.59890134262e-13)
1.60000378619e-09,-1e+300,2.01581946218e-23,2.7708099622799997e-25,(1.71776118532e-11 3.13578536581e-27 -6.4969173048e-13)
1.69999608458e-09,-1e+300,2.01399763906e-23,2.7907501431099997e-25,(1.72956200609e-11 2.24406595101e-27 -6.43783744985e-13)
1.79999877457e-09,-1e+300,2.009650045e-23,2.80849083713e-25,(1.73907202638e-11 2.07395085303e-27 -6.39118919648e-13)
1.89999929733e-09,-1e+300,2.00643538463e-23,2.82421735313e-25,(1.74456882854e-11 1.86502697976e-27 -6.26467891608e-13)
