# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
9.99987055446e-11,0.0,0.0,-3.00737702424e-08,2.26891277396e-11,1.97652870003e-27,0.0,1.83302864654e-11,1.9617088752e-25,1.87086952472e-11
1.99998866303e-10,0.0,0.0,-3.25907257725e-08,2.21762941995e-11,1.33774208967e-27,0.0,1.83297662139e-11,1.31480689251e-25,1.88434062955e-11
3.00002329236e-10,0.0,0.0,-3.3285236674e-08,2.21726269754e-11,1.26265344457e-27,0.0,1.83291424461e-11,4.4206996625600005e-26,1.8924523787e-11
4.0000211089e-10,0.0,0.0,-3.46363727118e-08,2.22331143418e-11,9.47073121876e-28,0.0,1.83284888049e-11,-5.70434981806e-26,1.89824662188e-11
5.00003356697e-10,0.0,0.0,-3.55789586666e-08,2.23324950107e-11,-1.62361504138e-28,0.0,1.83278357146e-11,-1.6748822672000002e-25,1.90224636358e-11
6.00001349422e-10,0.0,0.0,-3.74423527732e-08,2.23867488216e-11,-4.60554853071e-28,0.0,1.83271750932e-11,-2.8260516070099998e-25,1.90472498764e-11
6.99998654072e-10,0.0,0.0,-3.80267945921e-08,2.24256850421e-11,-2.9455398316600002e-28,0.0,1.83265119239e-11,-3.92426878991e-25,1.9058981418e-11
8.00000692282e-10,0.0,0.0,-3.88010395408e-08,2.2538115111e-11,3.5589010401500003e-28,0.0,1.83258565773e-11,-4.84026995706e-25,1.9060954737e-11
8.99998899435e-10,0.0,0.0,-4.04040425773e-08,2.26036244682e-11,3.93147320835e-28,0.0,1.83252155164e-11,-5.4936002918e-25,1.90562207839e-11
1.00000161085e-09,0.0,0.0,-4.12451423156e-08,2.26354642155e-11,5.40682288845e-28,0.0,1.83245877969e-11,-5.89081466983e-25,1.90453953627e-11
1.09999984648e-09,0.0,0.0,-4.22114397136e-08,2.27183495437e-11,1.09248819513e-27,0.0,1.83239748408e-11,-6.101704438239999e-25,1.90294662587e-11
1.20000225379e-09,0.0,0.0,-4.40753818943e-08,2.2779348894e-11,2.1854598307400002e-27,0.0,1.83233900864e-11,-6.22555869895e-25,1.90111091065e-11
1.30000082761e-09,0.0,0.0,-4.46717283377e-08,2.28060787477e-11,2.90717882683e-27,0.0,1.83228219826e-11,-6.36617893323e-25,1.89900643891e-11
1.39999703953e-09,0.0,0.0,-4.59223542566e-08,2.28675877331e-11,3.45345713437e-27,0.0,1.83222694871e-11,-6.596867861900001e-25,1.8966196288e-11
1.4999987912e-09,0.0,0.0,-4.79730108465e-08,2.2915690543e-11,3.26005599573e-27,0.0,1.83217435577e-11,-6.92742500771e-25,1.89418553023e-11
1.60000378619e-09,0.0,0.0,-4.85381988946e-08,2.29284602168e-11,3.0869902942600002e-27,0.0,1.83212435303e-11,-7.31776820021e-25,1.89162292278e-11
1.69999608458e-09,0.0,0.0,-5.01234282877e-08,2.29826808934e-11,2.71422612475e-27,0.0,1.83207573825e-11,-7.72715485642e-25,1.88889655194e-11
1.79999877457e-09,0.0,0.0,-5.03799854401e-08,2.30273781575e-11,2.73015321942e-27,0.0,1.83203105851e-11,-8.154387691700001e-25,1.88621374908e-11
1.89999929733e-09,0.0,0.0,-5.20523360554e-08,2.30113209035e-11,2.79407335642e-27,0.0,1.8319873254e-11,-8.625712407389999e-25,1.88343462408e-11
2.00000027442e-09,0.0,0.0,-5.35310219598e-08,2.3076306591e-11,3.69409261014e-27,0.0,1.83194540048e-11,-9.14492381673e-25,1.8806087395e-11
2.09999729391e-09,0.0,0.0,-5.38350375697e-08,2.30979316369e-11,3.82216872705e-27,0.0,1.83190524083e-11,-9.66331468625e-25,1.87784611332e-11
