time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ,Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
9.99987055446e-11,-1e+300,1.83793606654e-23,2.45753747452e-25,(1.53566838503e-11 1.31280619782e-28 -9.98140787245e-13),9.99987055446e-11,0.0,0.0,-3.00737702424e-08,2.26891277396e-11,1.97652870003e-27,0.0,1.83302864654e-11,1.9617088752e-25,1.87086952472e-11,9.99987e-11,1.60164e-07,1.59173e-07
1.99998866303e-10,-1e+300,2.0377282684e-23,2.38651923812e-25,(1.53056337635e-11 -1.44870166302e-28 -7.46595784602e-13),1.99998866303e-10,0.0,0.0,-3.25907257725e-08,2.21762941995e-11,1.33774208967e-27,0.0,1.83297662139e-11,1.31480689251e-25,1.88434062955e-11,1.99999e-10,1.59898e-07,1.58843e-07
3.00002329236e-10,-1e+300,2.06727305766e-23,2.42061079597e-25,(1.54010053552e-11 6.79670796351e-29 -7.24874400519e-13),3.00002329236e-10,0.0,0.0,-3.3285236674e-08,2.21726269754e-11,1.26265344457e-27,0.0,1.83291424461e-11,4.4206996625600005e-26,1.8924523787e-11,3.00002e-10,1.59597e-07,1.58537e-07
4.0000211089e-10,-1e+300,2.07060112694e-23,2.45734756793e-25,(1.55513920832e-11 -1.57307658523e-28 -7.23068590989e-13),4.0000211089e-10,0.0,0.0,-3.46363727118e-08,2.22331143418e-11,9.47073121876e-28,0.0,1.83284888049e-11,-5.70434981806e-26,1.89824662188e-11,4.00002e-10,1.59294e-07,1.58236e-07
5.00003356697e-10,-1e+300,2.06599990106e-23,2.49279624994e-25,(1.57317282016e-11 -9.84033471573e-28 -7.24063542207e-13),5.00003356697e-10,0.0,0.0,-3.55789586666e-08,2.23324950107e-11,-1.62361504138e-28,0.0,1.83278357146e-11,-1.6748822672000002e-25,1.90224636358e-11,5.00003e-10,1.58996e-07,1.57938e-07
6.00001349422e-10,-1e+300,2.0573887976200002e-23,2.52168069665e-25,(1.58866282502e-11 -1.28061209631e-27 -7.21319633752e-13),6.00001349422e-10,0.0,0.0,-3.74423527732e-08,2.23867488216e-11,-4.60554853071e-28,0.0,1.83271750932e-11,-2.8260516070099998e-25,1.90472498764e-11,6.00001e-10,1.58705e-07,1.57646e-07
6.99998654072e-10,-1e+300,2.0507375686000005e-23,2.55183146125e-25,(1.60134441459e-11 -8.85258305727e-28 -7.11691043355e-13),6.99998654072e-10,0.0,0.0,-3.80267945921e-08,2.24256850421e-11,-2.94553983166e-28,0.0,1.83265119239e-11,-3.92426878991e-25,1.9058981418e-11,6.99999e-10,1.58419e-07,1.57362e-07
8.00000692282e-10,-1e+300,2.04674853906e-23,2.58409074196e-25,(1.61989275384e-11 -1.17108104229e-28 -7.08414785248e-13),8.00000692282e-10,0.0,0.0,-3.88010395408e-08,2.2538115111e-11,3.55890104015e-28,0.0,1.83258565773e-11,-4.84026995706e-25,1.9060954737e-11,8.00001e-10,1.58135e-07,1.57078e-07
8.99998899435e-10,-1e+300,2.04029953917e-23,2.61063690795e-25,(1.63509701229e-11 2.77613379381e-28 -7.03140616086e-13),8.99998899435e-10,0.0,0.0,-4.04040425773e-08,2.26036244682e-11,3.93147320835e-28,0.0,1.83252155164e-11,-5.4936002918e-25,1.90562207839e-11,8.99999e-10,1.57855e-07,1.56796e-07
1.00000161085e-09,-1e+300,2.0348450490600002e-23,2.63563833464e-25,(1.64632206332e-11 7.72639940225e-28 -6.93028497629e-13),1.00000161085e-09,0.0,0.0,-4.12451423156e-08,2.26354642155e-11,5.40682288845e-28,0.0,1.83245877969e-11,-5.89081466983e-25,1.90453953627e-11,1e-09,1.57581e-07,1.56525e-07
