Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
1.00002e-10,1.60178e-07,1.5922e-07
1.99998e-10,1.59935e-07,1.58901e-07
3.00001e-10,1.59647e-07,1.58606e-07
4e-10,1.59358e-07,1.5832e-07
4.99998e-10,1.59073e-07,1.58037e-07
6.00002e-10,1.58794e-07,1.57758e-07
6.99999e-10,1.58518e-07,1.57485e-07
7.99998e-10,1.58246e-07,1.57214e-07
9.00002e-10,1.57978e-07,1.56947e-07
1e-09,1.57713e-07,1.56684e-07
1.1e-09,1.57451e-07,1.56423e-07
1.2e-09,1.57192e-07,1.56166e-07
1.3e-09,1.56936e-07,1.55912e-07
1.4e-09,1.56682e-07,1.5566e-07
1.5e-09,1.56431e-07,1.55409e-07
1.6e-09,1.56183e-07,1.55163e-07
1.7e-09,1.55936e-07,1.54918e-07
1.8e-09,1.55692e-07,1.54676e-07
1.9e-09,1.5545e-07,1.54435e-07
2e-09,1.55211e-07,1.54196e-07
2.1e-09,1.54973e-07,1.5396e-07
2.2e-09,1.54737e-07,1.53726e-07
2.3e-09,1.54503e-07,1.53494e-07
2.4e-09,1.54271e-07,1.53263e-07
2.5e-09,1.54041e-07,1.53034e-07
2.6e-09,1.53813e-07,1.52807e-07
2.7e-09,1.53587e-07,1.52582e-07
2.8e-09,1.53362e-07,1.52359e-07
2.9e-09,1.53139e-07,1.52137e-07
3e-09,1.52917e-07,1.51917e-07
3.1e-09,1.52698e-07,1.51699e-07
3.2e-09,1.5248e-07,1.51482e-07
3.3e-09,1.52263e-07,1.51266e-07
3.4e-09,1.52048e-07,1.51052e-07
3.5e-09,1.51834e-07,1.5084e-07
3.6e-09,1.51622e-07,1.50628e-07
3.7e-09,1.51411e-07,1.50419e-07
3.8e-09,1.51201e-07,1.5021e-07
3.9e-09,1.50993e-07,1.50003e-07
4e-09,1.50786e-07,1.49797e-07
4.1e-09,1.5058e-07,1.49592e-07
4.2e-09,1.50375e-07,1.49389e-07
4.3e-09,1.50172e-07,1.49187e-07
4.4e-09,1.4997e-07,1.48986e-07
4.5e-09,1.49769e-07,1.48787e-07
4.6e-09,1.4957e-07,1.48589e-07
4.7e-09,1.49373e-07,1.48391e-07
4.8e-09,1.49176e-07,1.48195e-07
4.9e-09,1.48981e-07,1.48e-07
5e-09,1.48786e-07,1.47807e-07
5.1e-09,1.486e-07,1.47615e-07
5.2e-09,1.48401e-07,1.47423e-07
5.3e-09,1.4821e-07,1.47233e-07
5.4e-09,1.4802e-07,1.47044e-07
5.5e-09,1.47831e-07,1.46855e-07
5.6e-09,1.47644e-07,1.46667e-07
5.7e-09,1.47457e-07,1.46481e-07
5.8e-09,1.47271e-07,1.46295e-07
5.9e-09,1.47086e-07,1.4611e-07
6e-09,1.46902e-07,1.45926e-07
6.1e-09,1.4672e-07,1.45743e-07
6.2e-09,1.46538e-07,1.45561e-07
6.3e-09,1.46357e-07,1.4538e-07
6.4e-09,1.46178e-07,1.452e-07
6.5e-09,1.45999e-07,1.45023e-07
6.6e-09,1.45822e-07,1.44846e-07
6.7e-09,1.45646e-07,1.4467e-07
6.8e-09,1.4547e-07,1.44495e-07
6.9e-09,1.45296e-07,1.44321e-07
7e-09,1.45122e-07,1.44147e-07
7.1e-09,1.4495e-07,1.43974e-07
7.2e-09,1.44778e-07,1.43802e-07
