Time,max(CACoordsX),min(CACoordsX)
1.00002e-10,1.59507e-07,1.5922e-07
1.99998e-10,1.59191e-07,1.58901e-07
3.00001e-10,1.58898e-07,1.58606e-07
4e-10,1.58609e-07,1.5832e-07
4.99998e-10,1.58326e-07,1.58037e-07
6.00002e-10,1.58046e-07,1.57758e-07
6.99999e-10,1.57771e-07,1.57485e-07
7.99998e-10,1.575e-07,1.57214e-07
9.00002e-10,1.57232e-07,1.56947e-07
1e-09,1.56967e-07,1.56684e-07
1.1e-09,1.56706e-07,1.56423e-07
1.2e-09,1.56447e-07,1.56166e-07
1.3e-09,1.56191e-07,1.55912e-07
1.4e-09,1.55938e-07,1.5566e-07
1.5e-09,1.55687e-07,1.55409e-07
1.6e-09,1.55439e-07,1.55163e-07
1.7e-09,1.55192e-07,1.54918e-07
1.8e-09,1.54949e-07,1.54676e-07
1.9e-09,1.54708e-07,1.54435e-07
2e-09,1.54468e-07,1.54196e-07
2.1e-09,1.5423e-07,1.5396e-07
2.2e-09,1.53994e-07,1.53726e-07
2.3e-09,1.53762e-07,1.53494e-07
2.4e-09,1.5353e-07,1.53263e-07
2.5e-09,1.53301e-07,1.53034e-07
2.6e-09,1.53073e-07,1.52807e-07
2.7e-09,1.52847e-07,1.52582e-07
2.8e-09,1.52622e-07,1.52359e-07
2.9e-09,1.52399e-07,1.52137e-07
3e-09,1.52178e-07,1.51917e-07
3.1e-09,1.51959e-07,1.51699e-07
3.2e-09,1.51742e-07,1.51482e-07
3.3e-09,1.51526e-07,1.51266e-07
3.4e-09,1.51311e-07,1.51052e-07
3.5e-09,1.51098e-07,1.5084e-07
3.6e-09,1.50887e-07,1.50628e-07
3.7e-09,1.50676e-07,1.50419e-07
3.8e-09,1.50467e-07,1.5021e-07
3.9e-09,1.50259e-07,1.50003e-07
4e-09,1.50053e-07,1.49797e-07
4.1e-09,1.49848e-07,1.49592e-07
4.2e-09,1.49644e-07,1.49389e-07
4.3e-09,1.49441e-07,1.49187e-07
4.4e-09,1.4924e-07,1.48986e-07
4.5e-09,1.4904e-07,1.48787e-07
4.6e-09,1.48841e-07,1.48589e-07
4.7e-09,1.48644e-07,1.48391e-07
4.8e-09,1.48447e-07,1.48195e-07
4.9e-09,1.48252e-07,1.48e-07
5e-09,1.48046e-07,1.47807e-07
5.1e-09,1.47841e-07,1.47615e-07
5.2e-09,1.47647e-07,1.47423e-07
5.3e-09,1.47456e-07,1.47233e-07
5.4e-09,1.47266e-07,1.47044e-07
5.5e-09,1.47077e-07,1.46855e-07
5.6e-09,1.46889e-07,1.46667e-07
5.7e-09,1.46702e-07,1.46481e-07
5.8e-09,1.46517e-07,1.46295e-07
5.9e-09,1.46332e-07,1.4611e-07
6e-09,1.46148e-07,1.45926e-07
6.1e-09,1.45966e-07,1.45743e-07
6.2e-09,1.45784e-07,1.45561e-07
6.3e-09,1.45603e-07,1.4538e-07
6.4e-09,1.45425e-07,1.452e-07
6.5e-09,1.45247e-07,1.45023e-07
6.6e-09,1.4507e-07,1.44846e-07
6.7e-09,1.44894e-07,1.4467e-07
6.8e-09,1.44718e-07,1.44495e-07
6.9e-09,1.44544e-07,1.44321e-07
7e-09,1.4437e-07,1.44147e-07
7.1e-09,1.44197e-07,1.43974e-07
7.2e-09,1.44026e-07,1.43802e-07
7.3e-09,1.43856e-07,1.43633e-07
7.4e-09,1.43687e-07,1.43464e-07
7.5e-09,1.43518e-07,1.43295e-07
7.6e-09,1.4335e-07,1.43127e-07
7.7e-09,1.43182e-07,1.4296e-07
7.8e-09,1.43015e-07,1.42793e-07
7.9e-09,1.4285e-07,1.42628e-07
8e-09,1.42686e-07,1.42464e-07
8.1e-09,1.42522e-07,1.423e-07
8.2e-09,1.42358e-07,1.42137e-07
8.3e-09,1.42195e-07,1.41974e-07
8.4e-09,1.42034e-07,1.41811e-07
8.5e-09,1.41873e-07,1.41651e-07
8.6e-09,1.41712e-07,1.41491e-07
8.7e-09,1.41552e-07,1.41332e-07
8.8e-09,1.41393e-07,1.41172e-07
8.9e-09,1.41235e-07,1.41013e-07
9e-09,1.41077e-07,1.40857e-07
9.1e-09,1.4092e-07,1.407e-07
9.2e-09,1.40763e-07,1.40543e-07
9.3e-09,1.40607e-07,1.40387e-07
9.4e-09,1.40453e-07,1.40233e-07
9.5e-09,1.40299e-07,1.40079e-07
