time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N)
1.00005190957e-10,-1e+300,9.41339812893e-24,2.3772993444099998e-25,(1.35608009132e-11 -5.69815686306e-28 -9.15541477693e-13)
2.00000058236e-10,-1e+300,1.06698520174e-23,2.15078919209e-25,(1.32663107842e-11 -1.90309393636e-27 -5.1909670277e-13)
3.00003707606e-10,-1e+300,1.0927622619500001e-23,2.1495721519599997e-25,(1.32955983003e-11 -2.84847772952e-27 -4.65956192139e-13)
3.99998088648e-10,-1e+300,1.1001437459700001e-23,2.1625122259e-25,(1.33353002947e-11 -3.03005131024e-27 -4.56104594958e-13)
5.00005071405e-10,-1e+300,1.1024308164100001e-23,2.17604960186e-25,(1.33907268997e-11 -3.14232497287e-27 -4.53314191661e-13)
6.00001478695e-10,-1e+300,1.10445565178e-23,2.19108201994e-25,(1.34579186317e-11 -2.71434640753e-27 -4.51518795352e-13)
7.00004649319e-10,-1e+300,1.10444642899e-23,2.2029372303e-25,(1.35028932139e-11 -2.41217792481e-27 -4.51171046552e-13)
7.99998279721e-10,-1e+300,1.10415949647e-23,2.2154221134499997e-25,(1.3569152264e-11 -2.37700186834e-27 -4.49945082021e-13)
8.99993551342e-10,-1e+300,1.10461000021e-23,2.22846274449e-25,(1.36302558139e-11 -2.21620326303e-27 -4.49817968225e-13)
9.99994039841e-10,-1e+300,1.10326843954e-23,2.23779553885e-25,(1.36686188639e-11 -1.98140777485e-27 -4.46238477707e-13)
1.10000251044e-09,-1e+300,1.10324131504e-23,2.24989844568e-25,(1.37415565022e-11 -1.84965514955e-27 -4.46102905321e-13)
1.1999975814e-09,-1e+300,1.10305413401e-23,2.26120292141e-25,(1.37942612048e-11 -1.62646421244e-27 -4.44814204206e-13)
1.29999859369e-09,-1e+300,1.10153111508e-23,2.26961800638e-25,(1.3835135104e-11 -1.14739623569e-27 -4.40178210513e-13)
1.39999586315e-09,-1e+300,1.10192651643e-23,2.28141318227e-25,(1.3903097015e-11 -2.41234607345e-28 -4.41059030584e-13)
1.50000627301e-09,-1e+300,1.1014073703100001e-23,2.29119942056e-25,(1.39468918362e-11 7.0856261481e-28 -4.37874021467e-13)
1.59999605684e-09,-1e+300,1.10024017158e-23,2.29904321929e-25,(1.39947746446e-11 1.80636839948e-27 -4.33952466978e-13)
1.69999595021e-09,-1e+300,1.1007769318700001e-23,2.31008639441e-25,(1.40533918323e-11 2.50832611855e-27 -4.34270285092e-13)
1.80000435859e-09,-1e+300,1.1000298572700001e-23,2.31865965537e-25,(1.40887799477e-11 3.32313867198e-27 -4.2968499047e-13)
1.90000018172e-09,-1e+300,1.09945105094e-23,2.32638488701e-25,(1.41429731532e-11 3.61984691343e-27 -4.27665011147e-13)
2.00000662552e-09,-1e+300,1.09992814768e-23,2.33659644945e-25,(1.41931089151e-11 3.7395597687e-27 -4.26601535872e-13)
2.09999477857e-09,-1e+300,1.0989905334400001e-23,2.3436345147799997e-25,(1.42219497152e-11 3.62510608886e-27 -4.20739090274e-13)
2.20000331041e-09,-1e+300,1.09900904203e-23,2.35224090299e-25,(1.42802925086e-11 3.29467082047e-27 -4.2079544373e-13)
2.29999439095e-09,-1e+300,1.09930496753e-23,2.36120476647e-25,(1.43234319879e-11 3.00439409105e-27 -4.18516721058e-13)
2.39999670522e-09,-1e+300,1.0983045901000001e-23,2.3671174036899997e-25,(1.43514606979e-11 2.64353056624e-27 -4.12967670274e-13)
2.49999556779e-09,-1e+300,1.09871673425e-23,2.37621257872e-25,(1.4408729599e-11 2.05941234963e-27 -4.13449173814e-13)
2.60000160823e-09,-1e+300,1.09882284409e-23,2.38410603934e-25,(1.44456730189e-11 1.74347760661e-27 -4.10340585233e-13)
2.70000690412e-09,-1e+300,1.09799684039e-23,2.38996224619e-25,(1.44786473855e-11 1.24170988597e-27 -4.05748475679e-13)
2.80000442872e-09,-1e+300,1.09850351766e-23,2.39852430725e-25,(1.45295235239e-11 2.59623371522e-28 -4.06014265171e-13)
2.89999572936e-09,-1e+300,1.09841626678e-23,2.40562829871e-25,(1.4560708374e-11 -6.41260458846e-28 -4.0221133807e-13)
3.00000033894e-09,-1e+300,1.09773130093e-23,2.4123435066e-25,(1.45962755475e-11 -1.4845563586e-27 -3.99138148599e-13)
3.1000002402e-09,-1e+300,1.0983162119999999e-23,2.41955301212e-25,(1.46432691972e-11 -2.2565051078e-27 -3.98603975223e-13)
3.19999587801e-09,-1e+300,1.09804885935e-23,2.4257881033e-25,(1.46696613599e-11 -3.11035002201e-27 -3.94244405713e-13)
3.3000037952e-09,-1e+300,1.09754580228e-23,2.43245829346e-25,(1.47088528255e-11 -3.40821405531e-27 -3.9232677415e-13)
3.40000278787e-09,-1e+300,1.0981252494000001e-23,2.4393656145899997e-25,(1.47510250557e-11 -3.42397429986e-27 -3.91302470449e-13)
3.50000052799e-09,-1e+300,1.0976790746800001e-23,2.4447752091e-25,(1.47731935618e-11 -3.35669355357e-27 -3.86534252824e-13)
