Time,max(coordsX_Meniscus),min(coordsX_Meniscus),time (s),Udown (m/s),eKinTot (j),eDissTot (J),divDevRhoTot(N),# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
1.00005e-10,3.80347e-07,3.79268e-07,1.00005190957e-10,-1e+300,9.41339812893e-24,2.3772993444099998e-25,(1.35608009132e-11 -5.69815686306e-28 -9.15541477693e-13),1.00005190957e-10,0.0,0.0,-6.19491339098e-08,1.96248257015e-11,-1.91308972675e-27,0.0,1.83294589847e-11,4.9994297823399985e-25,1.86003900655e-11
2e-10,3.80252e-07,3.79081e-07,2.00000058236e-10,-1e+300,1.06698520174e-23,2.15078919209e-25,(1.32663107842e-11 -1.90309393636e-27 -5.1909670277e-13),2.00000058236e-10,0.0,0.0,-6.6498901889e-08,1.87190125348e-11,-2.77682661111e-27,0.0,1.83285790239e-11,3.4576959121e-25,1.86067730015e-11
3.00004e-10,3.80104e-07,3.78921e-07,3.00003707606e-10,-1e+300,1.0927622619500001e-23,2.14957215196e-25,(1.32955983003e-11 -2.84847772952e-27 -4.65956192139e-13),3.00003707606e-10,0.0,0.0,-6.80479001908e-08,1.86719992576e-11,-3.66355189844e-27,0.0,1.8327781282e-11,2.22618237268e-25,1.85935167417e-11
3.99998e-10,3.79949e-07,3.78762e-07,3.99998088648e-10,-1e+300,1.1001437459700001e-23,2.1625122259e-25,(1.33353002947e-11 -3.03005131024e-27 -4.56104594958e-13),3.99998088648e-10,0.0,0.0,-6.85871302514e-08,1.86897163264e-11,-3.88874363485e-27,0.0,1.83270454155e-11,1.18483778794e-25,1.85875642243e-11
5.00005e-10,3.79793e-07,3.7861e-07,5.00005071405e-10,-1e+300,1.1024308164100001e-23,2.17604960186e-25,(1.33907268997e-11 -3.14232497287e-27 -4.53314191661e-13),5.00005071405e-10,0.0,0.0,-6.9285907286e-08,1.8725607212e-11,-3.920037656e-27,0.0,1.83263641255e-11,3.61404326568e-26,1.85846648221e-11
6.00001e-10,3.79639e-07,3.78454e-07,6.00001478695e-10,-1e+300,1.10445565178e-23,2.19108201994e-25,(1.34579186317e-11 -2.71434640753e-27 -4.51518795352e-13),6.00001478695e-10,0.0,0.0,-7.00191962909e-08,1.87756568385e-11,-3.92821186519e-27,0.0,1.83257287672e-11,-2.36781401631e-26,1.85803028959e-11
7.00005e-10,3.79484e-07,3.78302e-07,7.00004649319e-10,-1e+300,1.10444642899e-23,2.2029372303e-25,(1.35028932139e-11 -2.41217792481e-27 -4.51171046552e-13),7.00004649319e-10,0.0,0.0,-7.06677174237e-08,1.87986123902e-11,-3.91254600445e-27,0.0,1.83251226825e-11,-6.21007534562e-26,1.85749882122e-11
7.99998e-10,3.79331e-07,3.78152e-07,7.99998279721e-10,-1e+300,1.10415949647e-23,2.21542211345e-25,(1.3569152264e-11 -2.37700186834e-27 -4.49945082021e-13),7.99998279721e-10,0.0,0.0,-7.13495089038e-08,1.88451611174e-11,-3.89634519697e-27,0.0,1.83245484286e-11,-8.08495644471e-26,1.85683076255e-11
8.99994e-10,3.79179e-07,3.77996e-07,8.99993551342e-10,-1e+300,1.10461000021e-23,2.22846274449e-25,(1.36302558139e-11 -2.21620326303e-27 -4.49817968225e-13),8.99993551342e-10,0.0,0.0,-7.20543901406e-08,1.88865156633e-11,-3.78486971594e-27,0.0,1.83240190619e-11,-8.18545832964e-26,1.85592488556e-11
9.99994e-10,3.79026e-07,3.7785e-07,9.99994039841e-10,-1e+300,1.10326843954e-23,2.23779553885e-25,(1.36686188639e-11 -1.98140777485e-27 -4.46238477707e-13),9.99994039841e-10,0.0,0.0,-7.27164625211e-08,1.88998584001e-11,-3.54994735596e-27,0.0,1.83235203269e-11,-6.678523793940001e-26,1.85494151723e-11
1.1e-09,3.78876e-07,3.777e-07,1.10000251044e-09,-1e+300,1.10324131504e-23,2.24989844568e-25,(1.37415565022e-11 -1.84965514955e-27 -4.46102905321e-13),1.10000251044e-09,0.0,0.0,-7.34988730745e-08,1.89533136543e-11,-2.96533747093e-27,0.0,1.83230632657e-11,-3.7125972561600005e-26,1.85381671577e-11
1.2e-09,3.78725e-07,3.7755e-07,1.1999975814e-09,-1e+300,1.10305413401e-23,2.26120292141e-25,(1.37942612048e-11 -1.62646421244e-27 -4.44814204206e-13),1.1999975814e-09,0.0,0.0,-7.41251379194e-08,1.89860711436e-11,-2.33357507638e-27,0.0,1.83226486372e-11,6.12970916977e-27,1.85253334905e-11
1.3e-09,3.78576e-07,3.77405e-07,1.29999859369e-09,-1e+300,1.10153111508e-23,2.26961800638e-25,(1.3835135104e-11 -1.14739623569e-27 -4.40178210513e-13),1.29999859369e-09,0.0,0.0,-7.47915818196e-08,1.90029444314e-11,-1.55886280717e-27,0.0,1.83222843939e-11,6.23592942918e-26,1.85124968395e-11
1.4e-09,3.78428e-07,3.77255e-07,1.39999586315e-09,-1e+300,1.10192651643e-23,2.28141318227e-25,(1.3903097015e-11 -2.41234607345e-28 -4.41059030584e-13),1.39999586315e-09,0.0,0.0,-7.55149903516e-08,1.90533751762e-11,-1.66262091868e-28,0.0,1.83219696288e-11,1.30795226882e-25,1.84981678758e-11
1.50001e-09,3.78279e-07,3.77109e-07,1.50000627301e-09,-1e+300,1.1014073703100001e-23,2.29119942056e-25,(1.39468918362e-11 7.0856261481e-28 -4.37874021467e-13),1.50000627301e-09,0.0,0.0,-7.60742920599e-08,1.90775923402e-11,1.13315617425e-27,0.0,1.83216840539e-11,2.10915426661e-25,1.84830975681e-11
1.6e-09,3.78132e-07,3.76965e-07,1.59999605684e-09,-1e+300,1.10024017158e-23,2.29904321929e-25,(1.39947746446e-11 1.80636839948e-27 -4.33952466978e-13),1.59999605684e-09,0.0,0.0,-7.68869157054e-08,1.91017074503e-11,2.33226849829e-27,0.0,1.83214846013e-11,3.011898199e-25,1.84683842693e-11
1.7e-09,3.77985e-07,3.76816e-07,1.69999595021e-09,-1e+300,1.1007769318700001e-23,2.31008639441e-25,(1.40533918323e-11 2.50832611855e-27 -4.34270285092e-13),1.69999595021e-09,0.0,0.0,-7.76138005515e-08,1.91424787579e-11,2.99662192145e-27,0.0,1.83213315052e-11,3.98738974463e-25,1.84522964818e-11
1.8e-09,3.77838e-07,3.76674e-07,1.80000435859e-09,-1e+300,1.1000298572700001e-23,2.31865965537e-25,(1.40887799477e-11 3.32313867198e-27 -4.2968499047e-13),1.80000435859e-09,0.0,0.0,-7.8081141963e-08,1.91594473336e-11,3.5734029458000004e-27,0.0,1.83211991491e-11,4.99739000015e-25,1.84361098684e-11
1.9e-09,3.77693e-07,3.76531e-07,1.90000018172e-09,-1e+300,1.09945105094e-23,2.32638488701e-25,(1.41429731532e-11 3.61984691343e-27 -4.27665011147e-13),1.90000018172e-09,0.0,0.0,-7.90821781909e-08,1.9189547562e-11,3.5745053656000005e-27,0.0,1.83211775498e-11,5.98992546794e-25,1.84202189135e-11
2.00001e-09,3.77547e-07,3.76383e-07,2.00000662552e-09,-1e+300,1.09992814768e-23,2.33659644945e-25,(1.41931089151e-11 3.7395597687e-27 -4.26601535872e-13),2.00000662552e-09,0.0,0.0,-7.97195391261e-08,1.92230668822e-11,3.13975022927e-27,0.0,1.83211818267e-11,6.912438513000001e-25,1.84031840201e-11
2.09999e-09,3.77402e-07,3.76244e-07,2.09999477857e-09,-1e+300,1.0989905334400001e-23,2.34363451478e-25,(1.42219497152e-11 3.62510608886e-27 -4.20739090274e-13),2.09999477857e-09,0.0,0.0,-8.03975314649e-08,1.92291466832e-11,2.54705787133e-27,0.0,1.83212311541e-11,7.71448812854e-25,1.83865894278e-11
2.2e-09,3.77259e-07,3.76101e-07,2.20000331041e-09,-1e+300,1.09900904203e-23,2.35224090299e-25,(1.42802925086e-11 3.29467082047e-27 -4.2079544373e-13),2.20000331041e-09,0.0,0.0,-8.11107768844e-08,1.9271783534e-11,1.93018663088e-27,0.0,1.83213865477e-11,8.35336550862e-25,1.83699287027e-11
2.29999e-09,3.77114e-07,3.75956e-07,2.29999439095e-09,-1e+300,1.09930496753e-23,2.36120476647e-25,(1.43234319879e-11 3.00439409105e-27 -4.18516721058e-13),2.29999439095e-09,0.0,0.0,-8.18267330832e-08,1.92963699981e-11,1.41752911934e-27,0.0,1.83215485062e-11,8.79582799152e-25,1.83524823712e-11
2.4e-09,3.76972e-07,3.75819e-07,2.39999670522e-09,-1e+300,1.0983045901000001e-23,2.36711740369e-25,(1.43514606979e-11 2.64353056624e-27 -4.12967670274e-13),2.39999670522e-09,0.0,0.0,-8.27476564327e-08,1.92979405078e-11,8.785200375180001e-28,0.0,1.83217877448e-11,9.02214350695e-25,1.83358473959e-11
2.5e-09,3.76829e-07,3.75676e-07,2.49999556779e-09,-1e+300,1.09871673425e-23,2.37621257872e-25,(1.4408729599e-11 2.05941234963e-27 -4.13449173814e-13),2.49999556779e-09,0.0,0.0,-8.31940642045e-08,1.93460104654e-11,2.01319488581e-28,0.0,1.83221158353e-11,9.01703100661e-25,1.83186981461e-11
2.6e-09,3.76687e-07,3.75534e-07,2.60000160823e-09,-1e+300,1.09882284409e-23,2.38410603934e-25,(1.44456730189e-11 1.74347760661e-27 -4.10340585233e-13),2.60000160823e-09,0.0,0.0,-8.39562555451e-08,1.93631729597e-11,-3.66936298293e-28,0.0,1.832243606e-11,8.77163419235e-25,1.83011773607e-11
2.70001e-09,3.76546e-07,3.75397e-07,2.70000690412e-09,-1e+300,1.09799684039e-23,2.38996224619e-25,(1.44786473855e-11 1.24170988597e-27 -4.05748475679e-13),2.70000690412e-09,0.0,0.0,-8.48777686448e-08,1.93719019646e-11,-1.05839062084e-27,0.0,1.8322861406e-11,8.2886397375e-25,1.82845827772e-11
2.8e-09,3.76405e-07,3.75255e-07,2.80000442872e-09,-1e+300,1.09850351766e-23,2.39852430725e-25,(1.45295235239e-11 2.59623371522e-28 -4.06014265171e-13),2.80000442872e-09,0.0,0.0,-8.53478368366e-08,1.94130483952e-11,-2.29051896892e-27,0.0,1.83233607073e-11,7.5916423522099985e-25,1.82672552763e-11
2.9e-09,3.76263e-07,3.75116e-07,2.89999572936e-09,-1e+300,1.09841626678e-23,2.40562829871e-25,(1.4560708374e-11 -6.41260458846e-28 -4.0221133807e-13),2.89999572936e-09,0.0,0.0,-8.60409036871e-08,1.94254550464e-11,-3.40181336181e-27,0.0,1.83238405436e-11,6.71320856469e-25,1.82498770573e-11
3e-09,3.76124e-07,3.7498e-07,3.00000033894e-09,-1e+300,1.09773130093e-23,2.4123435066e-25,(1.45962755475e-11 -1.4845563586e-27 -3.99138148599e-13),3.00000033894e-09,0.0,0.0,-8.64666652658e-08,1.94476192395e-11,-4.40265156738e-27,0.0,1.83244378035e-11,5.6955682011e-25,1.82333535466e-11
3.1e-09,3.75984e-07,3.74838e-07,3.1000002402e-09,-1e+300,1.098316212e-23,2.41955301212e-25,(1.46432691972e-11 -2.2565051078e-27 -3.98603975223e-13),3.1000002402e-09,0.0,0.0,-8.74519504712e-08,1.94755058988e-11,-5.26797097723e-27,0.0,1.83250933196e-11,4.583860530239998e-25,1.82160550157e-11
3.2e-09,3.75844e-07,3.74702e-07,3.19999587801e-09,-1e+300,1.09804885935e-23,2.4257881033e-25,(1.46696613599e-11 -3.11035002201e-27 -3.94244405713e-13),3.19999587801e-09,0.0,0.0,-8.81483283668e-08,1.94829501966e-11,-6.06236746749e-27,0.0,1.83257240816e-11,3.41868404051e-25,1.81989383021e-11
3.3e-09,3.75706e-07,3.74566e-07,3.3000037952e-09,-1e+300,1.09754580228e-23,2.43245829346e-25,(1.47088528255e-11 -3.40821405531e-27 -3.9232677415e-13),3.3000037952e-09,0.0,0.0,-8.86114980011e-08,1.95097760724e-11,-6.3569831578000005e-27,0.0,1.83264826746e-11,2.23499834413e-25,1.818251201e-11
3.4e-09,3.75567e-07,3.74425e-07,3.40000278787e-09,-1e+300,1.0981252494000001e-23,2.43936561459e-25,(1.47510250557e-11 -3.42397429986e-27 -3.91302470449e-13),3.40000278787e-09,0.0,0.0,-8.95649495347e-08,1.9533267506e-11,-6.08978586394e-27,0.0,1.83272870595e-11,1.06049384117e-25,1.81653575549e-11
3.5e-09,3.75429e-07,3.74292e-07,3.50000052799e-09,-1e+300,1.0976790746800001e-23,2.4447752091e-25,(1.47731935618e-11 -3.35669355357e-27 -3.86534252824e-13),3.50000052799e-09,0.0,0.0,-9.02513108481e-08,1.95366917618e-11,-5.7535214726e-27,0.0,1.8328062092e-11,-8.6408495954e-27,1.8148553098e-11
3.59999e-09,3.75292e-07,3.74157e-07,3.59999400493e-09,-1e+300,1.09737926964e-23,2.45064776041e-25,(1.48165973418e-11 -3.21707794013e-27 -3.85730709492e-13),3.59999400493e-09,0.0,0.0,-9.11620414722e-08,1.95611714124e-11,-5.23294814739e-27,0.0,1.83289705761e-11,-1.19112801017e-25,1.81322370801e-11
3.69999e-09,3.75155e-07,3.74016e-07,3.69999442031e-09,-1e+300,1.09789607161e-23,2.45810622857e-25,(1.48533981728e-11 -3.19674421825e-27 -3.84211852053e-13),3.69999442031e-09,0.0,0.0,-9.16723975246e-08,1.95870827396e-11,-4.81157239754e-27,0.0,1.83299107497e-11,-2.23387003057e-25,1.81152732507e-11
3.8e-09,3.75018e-07,3.73885e-07,3.79999851492e-09,-1e+300,1.0972734888000001e-23,2.46268452018e-25,(1.48719022953e-11 -3.13232146611e-27 -3.79062973374e-13),3.79999851492e-09,0.0,0.0,-9.23508634567e-08,1.95871471029e-11,-4.33420543087e-27,0.0,1.83308232449e-11,-3.19499845587e-25,1.80987936239e-11
3.89999e-09,3.74883e-07,3.73751e-07,3.89999440038e-09,-1e+300,1.0970528452900001e-23,2.4692685260699998e-25,(1.4916122742e-11 -3.08924037737e-27 -3.79192869016e-13),3.89999440038e-09,0.0,0.0,-9.28829835058e-08,1.96201806614e-11,-4.00234209029e-27,0.0,1.83318660013e-11,-4.05192059145e-25,1.80825865624e-11
4e-09,3.74746e-07,3.73612e-07,4.00000371386e-09,-1e+300,1.09759956168e-23,2.47586526089e-25,(1.49509216541e-11 -3.16478258377e-27 -3.77344551555e-13),4.00000371386e-09,0.0,0.0,-9.37756422738e-08,1.96373459022e-11,-3.86369377312e-27,0.0,1.83329273163e-11,-4.7910071902e-25,1.80658427223e-11
4.1e-09,3.74611e-07,3.73482e-07,4.09999589858e-09,-1e+300,1.0968125263800001e-23,2.47962734718e-25,(1.49662516535e-11 -3.1646076588e-27 -3.72274679343e-13),4.09999589858e-09,0.0,0.0,-9.44460772808e-08,1.96346835798e-11,-3.61943005116e-27,0.0,1.83339626774e-11,-5.40015981327e-25,1.80496734137e-11
4.2e-09,3.74476e-07,3.73349e-07,4.20000208157e-09,-1e+300,1.09674866761e-23,2.48578024756e-25,(1.50125557737e-11 -3.31887866435e-27 -3.72765208083e-13),4.20000208157e-09,0.0,0.0,-9.52743905941e-08,1.96655846544e-11,-3.65251283943e-27,0.0,1.83351211503e-11,-5.87392982364e-25,1.80335885844e-11
4.3e-09,3.74341e-07,3.7321e-07,4.30000213608e-09,-1e+300,1.09722200213e-23,2.49274919936e-25,(1.50440013529e-11 -3.29715064934e-27 -3.70712017727e-13),4.30000213608e-09,0.0,0.0,-9.58733472601e-08,1.96844077336e-11,-3.54046175667e-27,0.0,1.83362879804e-11,-6.2146436946899985e-25,1.8017081783e-11
4.4e-09,3.74207e-07,3.73082e-07,4.3999978612e-09,-1e+300,1.09635213206e-23,2.49607915912e-25,(1.50571307876e-11 -3.11108157991e-27 -3.65746366306e-13),4.3999978612e-09,0.0,0.0,-9.65557066496e-08,1.96795146727e-11,-3.36371240662e-27,0.0,1.83374274262e-11,-6.43053283574e-25,1.80011948818e-11
4.5e-09,3.74074e-07,3.7295e-07,4.49999823388e-09,-1e+300,1.09627206875e-23,2.50227010451e-25,(1.51029139559e-11 -2.49292213507e-27 -3.66486406672e-13),4.49999823388e-09,0.0,0.0,-9.71736052371e-08,1.97144177313e-11,-2.89207810379e-27,0.0,1.83386821753e-11,-6.53435665687e-25,1.79852598721e-11
4.6e-09,3.7394e-07,3.72813e-07,4.60000307652e-09,-1e+300,1.09673732731e-23,2.50882053412e-25,(1.51330848902e-11 -1.820688141e-27 -3.64320953272e-13),4.60000307652e-09,0.0,0.0,-9.79648740019e-08,1.97286389131e-11,-2.36615096043e-27,0.0,1.83399387201e-11,-6.535986183000001e-25,1.7968994808e-11
