Time,max(coordsX_Meniscus),min(coordsX_Meniscus)
9.99957e-11,3.80396e-07,3.78982e-07
2e-10,3.80345e-07,3.78595e-07
3.00002e-10,3.80151e-07,3.78305e-07
4.00001e-10,3.79917e-07,3.78042e-07
4.99996e-10,3.79671e-07,3.77791e-07
5.99999e-10,3.79421e-07,3.77539e-07
6.99996e-10,3.79174e-07,3.77293e-07
7.99996e-10,3.78927e-07,3.77049e-07
8.99998e-10,3.78681e-07,3.768e-07
1e-09,3.78438e-07,3.76563e-07
1.1e-09,3.78195e-07,3.7632e-07
1.2e-09,3.77955e-07,3.76081e-07
1.3e-09,3.77716e-07,3.75845e-07
1.4e-09,3.77478e-07,3.75603e-07
1.5e-09,3.77243e-07,3.75373e-07
1.6e-09,3.77007e-07,3.75136e-07
1.7e-09,3.76774e-07,3.74904e-07
1.8e-09,3.76541e-07,3.74672e-07
1.9e-09,3.76309e-07,3.74439e-07
2e-09,3.7608e-07,3.74212e-07
2.1e-09,3.7585e-07,3.73979e-07
2.2e-09,3.75623e-07,3.73755e-07
2.3e-09,3.75394e-07,3.73526e-07
2.4e-09,3.75169e-07,3.73301e-07
2.5e-09,3.74943e-07,3.73076e-07
2.6e-09,3.74718e-07,3.72849e-07
2.7e-09,3.74495e-07,3.72628e-07
2.8e-09,3.74272e-07,3.72401e-07
2.9e-09,3.74051e-07,3.72184e-07
3e-09,3.73829e-07,3.71959e-07
3.1e-09,3.7361e-07,3.71743e-07
3.2e-09,3.73389e-07,3.71521e-07
3.3e-09,3.73172e-07,3.71304e-07
3.4e-09,3.72953e-07,3.71086e-07
3.5e-09,3.72736e-07,3.70868e-07
3.6e-09,3.7252e-07,3.70653e-07
3.7e-09,3.72304e-07,3.70434e-07
3.8e-09,3.7209e-07,3.70223e-07
3.9e-09,3.71876e-07,3.70003e-07
4e-09,3.71663e-07,3.69795e-07
4.1e-09,3.7145e-07,3.69578e-07
4.2e-09,3.71239e-07,3.6937e-07
4.3e-09,3.71027e-07,3.69156e-07
4.4e-09,3.70818e-07,3.68948e-07
4.5e-09,3.70607e-07,3.68736e-07
4.6e-09,3.70399e-07,3.68529e-07
4.7e-09,3.70189e-07,3.68318e-07
4.8e-09,3.69983e-07,3.68111e-07
4.9e-09,3.69775e-07,3.67903e-07
5e-09,3.69569e-07,3.67697e-07
5.1e-09,3.69363e-07,3.67491e-07
5.2e-09,3.69158e-07,3.67285e-07
5.3e-09,3.68953e-07,3.67081e-07
5.4e-09,3.68749e-07,3.66876e-07
5.5e-09,3.68546e-07,3.66673e-07
5.6e-09,3.68343e-07,3.66469e-07
5.7e-09,3.68142e-07,3.66268e-07
5.8e-09,3.6794e-07,3.66065e-07
5.9e-09,3.67739e-07,3.65865e-07
6e-09,3.67539e-07,3.65663e-07
6.1e-09,3.6734e-07,3.65465e-07
6.2e-09,3.6714e-07,3.65264e-07
6.3e-09,3.66942e-07,3.65066e-07
6.4e-09,3.66744e-07,3.64867e-07
6.5e-09,3.66547e-07,3.6467e-07
6.6e-09,3.6635e-07,3.64472e-07
6.7e-09,3.66154e-07,3.64277e-07
6.8e-09,3.65959e-07,3.6408e-07
6.9e-09,3.65763e-07,3.63885e-07
7e-09,3.65569e-07,3.6369e-07
7.1e-09,3.65375e-07,3.63496e-07
7.2e-09,3.65182e-07,3.63302e-07
7.3e-09,3.64989e-07,3.63108e-07
7.4e-09,3.64797e-07,3.62916e-07
7.5e-09,3.64604e-07,3.62723e-07
7.6e-09,3.64414e-07,3.62533e-07
7.7e-09,3.64222e-07,3.62339e-07
7.8e-09,3.64033e-07,3.62152e-07
7.9e-09,3.63842e-07,3.61958e-07
8.00001e-09,3.63654e-07,3.61772e-07
8.09999e-09,3.63464e-07,3.61578e-07
8.2e-09,3.63277e-07,3.61395e-07
8.3e-09,3.63089e-07,3.61201e-07
8.40001e-09,3.62903e-07,3.61019e-07
8.5e-09,3.62715e-07,3.60828e-07
8.6e-09,3.6253e-07,3.60645e-07
8.7e-09,3.62344e-07,3.60457e-07
8.8e-09,3.62159e-07,3.60273e-07
8.9e-09,3.61974e-07,3.60087e-07
9e-09,3.61789e-07,3.59902e-07
9.10001e-09,3.61607e-07,3.59719e-07
9.2e-09,3.61422e-07,3.59534e-07
9.3e-09,3.61241e-07,3.59353e-07
9.4e-09,3.61057e-07,3.59166e-07
9.5e-09,3.60876e-07,3.58988e-07
9.6e-09,3.60694e-07,3.58801e-07
9.7e-09,3.60514e-07,3.58625e-07
9.8e-09,3.60333e-07,3.58441e-07
9.9e-09,3.60153e-07,3.58263e-07
1e-08,3.59974e-07,3.58082e-07
1.01e-08,3.59794e-07,3.57903e-07
1.02e-08,3.59617e-07,3.57725e-07
1.03e-08,3.59437e-07,3.57544e-07
1.04e-08,3.59261e-07,3.57369e-07
1.05e-08,3.59082e-07,3.57186e-07
1.06e-08,3.58906e-07,3.57014e-07
1.07e-08,3.58729e-07,3.56833e-07
1.08e-08,3.58554e-07,3.5666e-07
1.09e-08,3.58378e-07,3.56483e-07
1.1e-08,3.58203e-07,3.56307e-07
1.11e-08,3.58029e-07,3.56134e-07
1.12e-08,3.57853e-07,3.55956e-07
1.13e-08,3.5768e-07,3.55785e-07
1.14e-08,3.57506e-07,3.55606e-07
1.15e-08,3.57334e-07,3.55437e-07
1.16e-08,3.57161e-07,3.55262e-07
1.17e-08,3.56988e-07,3.55091e-07
1.18e-08,3.56817e-07,3.54919e-07
1.19e-08,3.56645e-07,3.54745e-07
1.2e-08,3.56475e-07,3.54577e-07
1.21e-08,3.56303e-07,3.544e-07
1.22e-08,3.56134e-07,3.54235e-07
1.23e-08,3.55964e-07,3.54062e-07
1.24e-08,3.55794e-07,3.53893e-07
1.25e-08,3.55626e-07,3.53725e-07
1.26e-08,3.55456e-07,3.53553e-07
1.27e-08,3.55288e-07,3.53387e-07
1.28e-08,3.5512e-07,3.53214e-07
1.29e-08,3.54953e-07,3.53051e-07
1.3e-08,3.54786e-07,3.52882e-07
1.31e-08,3.54618e-07,3.52714e-07
1.32e-08,3.54453e-07,3.52549e-07
1.33e-08,3.54286e-07,3.52378e-07
1.34e-08,3.54121e-07,3.52217e-07
1.35e-08,3.53955e-07,3.52048e-07
1.36e-08,3.5379e-07,3.51885e-07
1.37e-08,3.53626e-07,3.5172e-07
1.38e-08,3.53461e-07,3.51553e-07
1.39e-08,3.53298e-07,3.51392e-07
1.4e-08,3.53133e-07,3.51223e-07
1.41e-08,3.5297e-07,3.51063e-07
1.42e-08,3.52808e-07,3.509e-07
1.43e-08,3.52645e-07,3.50735e-07
1.44e-08,3.52483e-07,3.50575e-07
1.45e-08,3.52321e-07,3.50408e-07
1.46e-08,3.5216e-07,3.50251e-07
1.47e-08,3.51999e-07,3.50088e-07
1.48e-08,3.51837e-07,3.49926e-07
1.49e-08,3.51678e-07,3.49767e-07
1.5e-08,3.51517e-07,3.49601e-07
1.51e-08,3.51357e-07,3.49446e-07
1.52e-08,3.51198e-07,3.49285e-07
1.53e-08,3.51038e-07,3.49125e-07
1.54e-08,3.5088e-07,3.48968e-07
1.55e-08,3.50721e-07,3.48803e-07
1.56e-08,3.50563e-07,3.4865e-07
1.57e-08,3.50406e-07,3.48491e-07
