# Time,pressureForceX,pressureForceY,pressureForceZ,viscousForceX,viscousForceY,viscousForceZ,capillaryForceX,capillaryForceY,capillaryForceZ
9.99957013854e-11,0.0,0.0,-1.03076965586e-07,9.36807191202e-11,-7.6668027648e-27,0.0,7.32526796672e-11,-8.025168848300001e-25,7.69647528091e-11
1.99999604701e-10,0.0,0.0,-1.19883664713e-07,8.59695861422e-11,-1.13787044429e-27,0.0,7.3254389807e-11,-6.77362573733e-25,7.86469761199e-11
3.00002031781e-10,0.0,0.0,-1.26381952555e-07,8.37760030341e-11,-1.80473479423e-27,0.0,7.32556143382e-11,-5.81529508811e-25,7.94291900965e-11
4.00000710794e-10,0.0,0.0,-1.2975400197e-07,8.35260545939e-11,-1.07742343933e-27,0.0,7.32559409648e-11,-4.97362752055e-25,7.99361139956e-11
4.99996138074e-10,0.0,0.0,-1.32045714961e-07,8.36263577189e-11,-3.8446021483800003e-28,0.0,7.32558519728e-11,-4.21946773624e-25,8.03452023346e-11
5.99999238644e-10,0.0,0.0,-1.3397447209e-07,8.38811905375e-11,4.10786872945e-28,0.0,7.32556082402e-11,-3.55433583019e-25,8.06967086453e-11
6.99996173372e-10,0.0,0.0,-1.35819212784e-07,8.42943920938e-11,-7.09006946707e-29,0.0,7.32554034901e-11,-2.97979870029e-25,8.10140608853e-11
7.9999605267e-10,0.0,0.0,-1.37568849153e-07,8.45197719936e-11,-6.95477450228e-28,0.0,7.32552654092e-11,-2.49150858051e-25,8.12975408892e-11
8.99997555811e-10,0.0,0.0,-1.39384801135e-07,8.49985184274e-11,-7.11213176299e-28,0.0,7.32552021937e-11,-2.08117168522e-25,8.15492511557e-11
1.00000059464e-09,0.0,0.0,-1.4115799787e-07,8.5317415135e-11,-1.1296787227000001e-28,0.0,7.32553177637e-11,-1.7388792783499998e-25,8.17776686117e-11
1.10000300819e-09,0.0,0.0,-1.42933638883e-07,8.56429758286e-11,1.13400315187e-27,0.0,7.32555145552e-11,-1.45409255383e-25,8.19762404552e-11
1.19999898092e-09,0.0,0.0,-1.4476495587e-07,8.60381425041e-11,1.43335472097e-27,0.0,7.32558981239e-11,-1.21762171933e-25,8.21565363744e-11
1.30000154583e-09,0.0,0.0,-1.46549268884e-07,8.62217682262e-11,1.05841873367e-27,0.0,7.32564412333e-11,-1.02121218689e-25,8.23150114306e-11
1.39999577929e-09,0.0,0.0,-1.48420557505e-07,8.66760607793e-11,-7.90709609171e-28,0.0,7.32571104793e-11,-8.57841268138e-26,8.24542552635e-11
1.50000291883e-09,0.0,0.0,-1.5024330097e-07,8.6929408405e-11,-2.5072503842000003e-27,0.0,7.32580054207e-11,-7.22585567831e-26,8.25808889755e-11
1.60000059291e-09,0.0,0.0,-1.51894323247e-07,8.72332496052e-11,-3.67724570003e-27,0.0,7.32590011536e-11,-6.09968900682e-26,8.26882321667e-11
1.70000233614e-09,0.0,0.0,-1.53958707914e-07,8.75518738875e-11,-4.29493271373e-27,0.0,7.3260244434e-11,-5.16846667149e-26,8.27874380984e-11
1.80000057621e-09,0.0,0.0,-1.55784068554e-07,8.77068949229e-11,-4.40879885085e-27,0.0,7.32616455367e-11,-4.3936316929800005e-26,8.28720423135e-11
1.89999962738e-09,0.0,0.0,-1.57701370431e-07,8.80921762629e-11,-4.42020305285e-27,0.0,7.32632219514e-11,-3.75168217103e-26,8.29472907374e-11
1.99999769301e-09,0.0,0.0,-1.59550405117e-07,8.82557127818e-11,-4.24474747155e-27,0.0,7.32650175448e-11,-3.2179381590000004e-26,8.30150542187e-11
2.10000347016e-09,0.0,0.0,-1.61461039413e-07,8.85587928879e-11,-4.06633184519e-27,0.0,7.32669130339e-11,-2.77429545367e-26,8.30704153404e-11
2.2000014598e-09,0.0,0.0,-1.63338337448e-07,8.87839353197e-11,-3.87100049736e-27,0.0,7.3269053903e-11,-2.40440781186e-26,8.31232562165e-11
2.30000291335e-09,0.0,0.0,-1.65214282754e-07,8.89589772952e-11,-3.70251896984e-27,0.0,7.3271291847e-11,-2.09246141127e-26,8.3164642931e-11
2.39999896834e-09,0.0,0.0,-1.67127508074e-07,8.92435026898e-11,-3.38442676688e-27,0.0,7.3273728053e-11,-1.81383183618e-26,8.32038539277e-11
2.50000262937e-09,0.0,0.0,-1.68974286862e-07,8.93030423828e-11,-2.95872606166e-27,0.0,7.32762916464e-11,-1.51587084821e-26,8.32359150415e-11
2.60000079759e-09,0.0,0.0,-1.70937479448e-07,8.96427455321e-11,-2.6267731513300002e-27,0.0,7.32790215953e-11,-1.11958483164e-26,8.32626580644e-11
2.69999625235e-09,0.0,0.0,-1.72810988524e-07,8.97544489533e-11,-2.47294134088e-27,0.0,7.3281906885e-11,-5.6136320288300004e-27,8.32875313733e-11
2.80000015805e-09,0.0,0.0,-1.74745340905e-07,8.9990987432e-11,-2.65680768368e-27,0.0,7.32849308693e-11,1.8383140658e-27,8.33041292293e-11
2.90000144798e-09,0.0,0.0,-1.76650657378e-07,9.01571763214e-11,-2.9810620569000003e-27,0.0,7.32881457533e-11,1.1107852348e-26,8.33220407945e-11
2.99999923156e-09,0.0,0.0,-1.78554280844e-07,9.02945576824e-11,-3.2312402552500004e-27,0.0,7.32914885092e-11,2.3113075507500002e-26,8.33316648156e-11
3.09999596112e-09,0.0,0.0,-1.80492610494e-07,9.05126789584e-11,-3.3521241848e-27,0.0,7.32950278888e-11,4.10761392065e-26,8.33427185909e-11
3.19999682224e-09,0.0,0.0,-1.82364754383e-07,9.05603857028e-11,-3.2563470441e-27,0.0,7.32986943438e-11,6.92473696905e-26,8.33478081632e-11
3.29999963413e-09,0.0,0.0,-1.84335164177e-07,9.08275963216e-11,-3.0081632094700002e-27,0.0,7.33025574405e-11,1.10813700977e-25,8.33520883885e-11
3.39999595296e-09,0.0,0.0,-1.86200795518e-07,9.08556599687e-11,-2.55059861469e-27,0.0,7.33065426244e-11,1.66184960144e-25,8.33542211735e-11
3.49999996904e-09,0.0,0.0,-1.8818522475e-07,9.11072982098e-11,-2.1466881068e-27,0.0,7.33107056999e-11,2.30342423403e-25,8.33520774504e-11
3.59999988656e-09,0.0,0.0,-1.9007799418e-07,9.11798180005e-11,-1.96450963572e-27,0.0,7.33150178562e-11,2.91340421126e-25,8.33513872975e-11
3.6999962759e-09,0.0,0.0,-1.92036989214e-07,9.13583787386e-11,-2.04541274541e-27,0.0,7.3319473398e-11,3.32942609016e-25,8.3344342853e-11
3.79999848757e-09,0.0,0.0,-1.93955207663e-07,9.14735248158e-11,-2.44474245533e-27,0.0,7.33241049269e-11,3.41027133005e-25,8.33405808553e-11
3.9000008198e-09,0.0,0.0,-1.95885006646e-07,9.15845052253e-11,-2.92876681957e-27,0.0,7.3328842024e-11,3.1086173090499997e-25,8.33300898534e-11
3.99999567112e-09,0.0,0.0,-1.9783173449e-07,9.17391984119e-11,-3.24856669346e-27,0.0,7.33337778039e-11,2.4922972622799998e-25,8.33230980233e-11
4.09999990827e-09,0.0,0.0,-1.99735095304e-07,9.17897735924e-11,-3.27102482863e-27,0.0,7.33387872003e-11,1.6961158765199998e-25,8.33102779504e-11
4.19999847032e-09,0.0,0.0,-2.01771100639e-07,9.1980664538e-11,-3.0134904859100002e-27,0.0,7.3344001523e-11,8.501308942370001e-26,8.32999796702e-11
4.30000172431e-09,0.0,0.0,-2.03581283427e-07,9.19778885988e-11,-2.61047524444e-27,0.0,7.33492675757e-11,4.1815189796800004e-27,8.32856752206e-11
4.39999767456e-09,0.0,0.0,-2.05573862144e-07,9.2202346254e-11,-2.2362759484700002e-27,0.0,7.3354734208e-11,-6.78407600756e-26,8.32720631033e-11
4.4999972929e-09,0.0,0.0,-2.07437787674e-07,9.21774814054e-11,-1.94251844908e-27,0.0,7.33602324202e-11,-1.27747020941e-25,8.32568440176e-11
4.60000462679e-09,0.0,0.0,-2.09442713666e-07,9.2406422179e-11,-1.91007837976e-27,0.0,7.33659235207e-11,-1.72898756665e-25,8.32400157043e-11
4.69999744609e-09,0.0,0.0,-2.11308761802e-07,9.24071722354e-11,-2.18486520934e-27,0.0,7.33716337975e-11,-2.0200857384799999e-25,8.32239139559e-11
4.80000380191e-09,0.0,0.0,-2.13305805402e-07,9.25959014684e-11,-2.68608926107e-27,0.0,7.33775176405e-11,-2.15025326867e-25,8.32044278126e-11
4.89999638423e-09,0.0,0.0,-2.15187795743e-07,9.2619700284e-11,-3.21692480044e-27,0.0,7.33834243436e-11,-2.13774476219e-25,8.31873936811e-11
4.99999996784e-09,0.0,0.0,-2.17164105435e-07,9.27729920332e-11,-3.54711571162e-27,0.0,7.33894756884e-11,-2.0144060165799999e-25,8.31658273531e-11
5.09999924556e-09,0.0,0.0,-2.19060887097e-07,9.281890685e-11,-3.5620144083e-27,0.0,7.33955531467e-11,-1.81209172292e-25,8.31478144308e-11
5.19999962336e-09,0.0,0.0,-2.2101914716e-07,9.2939187937e-11,-3.25560623469e-27,0.0,7.34017458826e-11,-1.55002469085e-25,8.31246369855e-11
5.30000368792e-09,0.0,0.0,-2.2292902453e-07,9.30044201939e-11,-2.9893972498e-27,0.0,7.34079671504e-11,-1.23015823117e-25,8.31056326141e-11
5.40000056543e-09,0.0,0.0,-2.24874120632e-07,9.3096778722e-11,-2.95502693128e-27,0.0,7.3414275351e-11,-8.367224107599999e-26,8.30812220078e-11
5.49999847208e-09,0.0,0.0,-2.26790939031e-07,9.31778555838e-11,-3.1250100938000003e-27,0.0,7.34206128041e-11,-3.46313709788e-26,8.30612494951e-11
5.60000219848e-09,0.0,0.0,-2.28722119769e-07,9.32469095305e-11,-3.32689319677e-27,0.0,7.34270115122e-11,2.60667095225e-26,8.3035886571e-11
5.70000327682e-09,0.0,0.0,-2.3064590603e-07,9.33402707328e-11,-2.69016286664e-27,0.0,7.34334389477e-11,9.95672961363e-26,8.30150057476e-11
5.80000420841e-09,0.0,0.0,-2.32561832292e-07,9.33904719102e-11,-1.2704067871e-27,0.0,7.34399028873e-11,1.85257239367e-25,8.29889060769e-11
5.89999840428e-09,0.0,0.0,-2.34490669127e-07,9.34928610562e-11,-1.56023346769e-29,0.0,7.34463933742e-11,2.80824724554e-25,8.29672109582e-11
5.99999737731e-09,0.0,0.0,-2.36396411981e-07,9.35284480387e-11,1.0463235883000001e-27,0.0,7.34528990999e-11,3.8343153385e-25,8.29405246024e-11
6.09999526735e-09,0.0,0.0,-2.38331174474e-07,9.36364882032e-11,7.18254535414e-28,0.0,7.34594277896e-11,4.91579879506e-25,8.29181190962e-11
6.20000328718e-09,0.0,0.0,-2.40225660662e-07,9.36613763156e-11,-5.32747064847e-28,0.0,7.34659538139e-11,6.04622343363e-25,8.28909416942e-11
6.2999957341e-09,0.0,0.0,-2.4215785282e-07,9.37719286921e-11,-1.86064601068e-27,0.0,7.34724955316e-11,7.20833668588e-25,8.28679383394e-11
6.40000399613e-09,0.0,0.0,-2.44045348346e-07,9.37900154104e-11,-2.8869029918300002e-27,0.0,7.34790205366e-11,8.3413968044e-25,8.28403392375e-11
6.50000248843e-09,0.0,0.0,-2.45976464764e-07,9.38999459477e-11,-3.59813886671e-27,0.0,7.34855524739e-11,9.32041178708e-25,8.28168503371e-11
6.60000245355e-09,0.0,0.0,-2.47860675237e-07,9.39148354363e-11,-3.98928640171e-27,0.0,7.34920567101e-11,9.99292720765e-25,8.27888822688e-11
6.69999857419e-09,0.0,0.0,-2.49784229419e-07,9.4020872986e-11,-4.41745172319e-27,0.0,7.34985558154e-11,1.02314475714e-24,8.27650217884e-11
6.80000219623e-09,0.0,0.0,-2.51664381718e-07,9.40362844181e-11,-4.95672159172e-27,0.0,7.35050224894e-11,9.984106546609999e-25,8.27367298174e-11
6.89999785996e-09,0.0,0.0,-2.53581935096e-07,9.41350785272e-11,-5.1277964374000005e-27,0.0,7.35114675122e-11,9.27502354861e-25,8.27125969567e-11
6.99999699032e-09,0.0,0.0,-2.55463039129e-07,9.41547148341e-11,-5.0664003369999996e-27,0.0,7.35178801171e-11,8.180014624200001e-25,8.26840347665e-11
7.10000464558e-09,0.0,0.0,-2.57366943456e-07,9.42428706768e-11,-4.8283163413300004e-27,0.0,7.35242516276e-11,6.7949128526599995e-25,8.26597121963e-11
7.20000174959e-09,0.0,0.0,-2.59253016862e-07,9.42694814412e-11,-4.57233776575e-27,0.0,7.35305959009e-11,5.22179380875e-25,8.26309440762e-11
7.30000310679e-09,0.0,0.0,-2.61139800201e-07,9.43442763065e-11,-4.46170971021e-27,0.0,7.35368737306e-11,3.57074262698e-25,8.26065038178e-11
7.4000011882e-09,0.0,0.0,-2.63034459094e-07,9.43809450919e-11,-4.6187014079500004e-27,0.0,7.35431370021e-11,1.9565097889e-25,8.2577602311e-11
7.49999860756e-09,0.0,0.0,-2.64899504361e-07,9.44392258368e-11,-4.96865424646e-27,0.0,7.35493036324e-11,4.82821237459e-26,8.25530813539e-11
7.60000087256e-09,0.0,0.0,-2.66805732455e-07,9.44888602943e-11,-5.51968945982e-27,0.0,7.3555474673e-11,-7.73651480103e-26,8.25241420718e-11
7.69999664796e-09,0.0,0.0,-2.68644642968e-07,9.45276249737e-11,-6.25839770906e-27,0.0,7.35615139932e-11,-1.77438650413e-25,8.24995430083e-11
7.79999634026e-09,0.0,0.0,-2.70563466884e-07,9.45929621291e-11,-6.90121661308e-27,0.0,7.35675823559e-11,-2.5111428924399997e-25,8.24706869421e-11
7.90000368577e-09,0.0,0.0,-2.72372949079e-07,9.46097407352e-11,-7.20432827311e-27,0.0,7.35734802746e-11,-2.99982126174e-25,8.24459587397e-11
8.00000490518e-09,0.0,0.0,-2.74310847276e-07,9.46926785779e-11,-6.95826756567e-27,0.0,7.35794376216e-11,-3.2689802577299997e-25,8.24173365868e-11
8.09999504969e-09,0.0,0.0,-2.76097828209e-07,9.46861659025e-11,-6.2919723847000004e-27,0.0,7.35851809313e-11,-3.35600375156e-25,8.23924218335e-11
8.20000180489e-09,0.0,0.0,-2.78041666572e-07,9.47876612098e-11,-4.97719670457e-27,0.0,7.35910183432e-11,-3.301718865e-25,8.23641911559e-11
