Time,max(coordsX),min(coordsX)
9.99997e-11,1.60172e-07,1.59214e-07
2e-10,1.59932e-07,1.58906e-07
3.00001e-10,1.59652e-07,1.58627e-07
4.00002e-10,1.59377e-07,1.58358e-07
5.00001e-10,1.59109e-07,1.58096e-07
5.99998e-10,1.58849e-07,1.5784e-07
7.00001e-10,1.58595e-07,1.5759e-07
8e-10,1.58346e-07,1.57345e-07
9.00002e-10,1.58103e-07,1.57104e-07
9.99998e-10,1.57864e-07,1.56866e-07
1.1e-09,1.57629e-07,1.56631e-07
1.2e-09,1.57398e-07,1.56399e-07
1.3e-09,1.57169e-07,1.5617e-07
1.4e-09,1.56943e-07,1.55944e-07
1.5e-09,1.56719e-07,1.55719e-07
1.6e-09,1.56498e-07,1.55497e-07
1.7e-09,1.5628e-07,1.55276e-07
1.8e-09,1.56063e-07,1.55057e-07
1.9e-09,1.55848e-07,1.5484e-07
2e-09,1.55634e-07,1.54624e-07
2.1e-09,1.55423e-07,1.5441e-07
2.2e-09,1.55212e-07,1.54197e-07
2.3e-09,1.55004e-07,1.53986e-07
2.4e-09,1.54796e-07,1.53776e-07
2.5e-09,1.5459e-07,1.53568e-07
2.6e-09,1.54386e-07,1.5336e-07
2.7e-09,1.54182e-07,1.53155e-07
