Time,max(CACoordsX),min(CACoordsX)
9.99987e-11,1.59491e-07,1.59173e-07
1.99999e-10,1.59163e-07,1.58843e-07
3.00002e-10,1.58856e-07,1.58537e-07
4.00002e-10,1.58554e-07,1.58236e-07
5.00003e-10,1.58257e-07,1.57938e-07
6.00001e-10,1.57963e-07,1.57646e-07
6.99999e-10,1.57676e-07,1.57362e-07
8.00001e-10,1.57393e-07,1.57078e-07
8.99999e-10,1.57113e-07,1.56796e-07
1e-09,1.56836e-07,1.56525e-07
1.1e-09,1.56566e-07,1.56254e-07
1.2e-09,1.56296e-07,1.55982e-07
1.3e-09,1.56029e-07,1.55721e-07
1.4e-09,1.55769e-07,1.55459e-07
1.5e-09,1.55508e-07,1.55196e-07
1.6e-09,1.5525e-07,1.54944e-07
1.7e-09,1.54998e-07,1.5469e-07
1.8e-09,1.54744e-07,1.54437e-07
1.9e-09,1.54497e-07,1.54192e-07
2e-09,1.5425e-07,1.53943e-07
2.1e-09,1.54003e-07,1.53702e-07
2.2e-09,1.53765e-07,1.53461e-07
2.3e-09,1.53523e-07,1.53218e-07
2.4e-09,1.53287e-07,1.52986e-07
2.5e-09,1.53052e-07,1.52748e-07
2.6e-09,1.52816e-07,1.52518e-07
2.7e-09,1.52588e-07,1.52286e-07
2.8e-09,1.52356e-07,1.52056e-07
2.9e-09,1.52131e-07,1.51832e-07
3e-09,1.51904e-07,1.51602e-07
3.1e-09,1.51681e-07,1.51384e-07
3.2e-09,1.5146e-07,1.51159e-07
3.3e-09,1.51238e-07,1.50943e-07
3.4e-09,1.51022e-07,1.50723e-07
3.5e-09,1.50801e-07,1.50508e-07
3.6e-09,1.5059e-07,1.50293e-07
3.7e-09,1.50373e-07,1.50079e-07
3.8e-09,1.50165e-07,1.49869e-07
3.9e-09,1.49952e-07,1.49657e-07
4e-09,1.49745e-07,1.4945e-07
4.1e-09,1.49536e-07,1.4924e-07
4.2e-09,1.49332e-07,1.49038e-07
4.3e-09,1.49125e-07,1.4883e-07
4.4e-09,1.48924e-07,1.48631e-07
4.5e-09,1.4872e-07,1.48425e-07
4.6e-09,1.48521e-07,1.48229e-07
4.7e-09,1.48321e-07,1.48026e-07
4.8e-09,1.48124e-07,1.47833e-07
4.9e-09,1.47926e-07,1.47632e-07
5e-09,1.47732e-07,1.47441e-07
5.1e-09,1.47536e-07,1.47244e-07
5.2e-09,1.47345e-07,1.47054e-07
5.3e-09,1.47151e-07,1.4686e-07
5.4e-09,1.46963e-07,1.46672e-07
5.49999e-09,1.4677e-07,1.46482e-07
5.6e-09,1.46585e-07,1.46294e-07
5.7e-09,1.46393e-07,1.46107e-07
5.8e-09,1.46211e-07,1.4592e-07
5.9e-09,1.46023e-07,1.45737e-07
6e-09,1.45841e-07,1.4555e-07
6.1e-09,1.45656e-07,1.4537e-07
6.2e-09,1.45475e-07,1.45183e-07
6.3e-09,1.45294e-07,1.45008e-07
6.4e-09,1.45113e-07,1.44823e-07
6.50001e-09,1.44935e-07,1.44648e-07
6.6e-09,1.44769e-07,1.44468e-07
6.7e-09,1.44649e-07,1.44292e-07
6.8e-09,1.44527e-07,1.44117e-07
6.9e-09,1.44394e-07,1.43939e-07
7e-09,1.44086e-07,1.43768e-07
7.1e-09,1.43879e-07,1.43588e-07
7.2e-09,1.43706e-07,1.43422e-07
7.3e-09,1.43532e-07,1.43246e-07
7.4e-09,1.43364e-07,1.43078e-07
7.5e-09,1.43189e-07,1.42908e-07
7.60001e-09,1.43024e-07,1.42736e-07
7.7e-09,1.42853e-07,1.42571e-07
7.8e-09,1.42686e-07,1.42397e-07
7.9e-09,1.4252e-07,1.42236e-07
8e-09,1.42351e-07,1.42068e-07
8.1e-09,1.42188e-07,1.41903e-07
8.2e-09,1.4202e-07,1.4174e-07
8.3e-09,1.41859e-07,1.41571e-07
8.4e-09,1.41695e-07,1.41413e-07
8.5e-09,1.41531e-07,1.41247e-07
8.6e-09,1.41372e-07,1.41088e-07
8.7e-09,1.41206e-07,1.40928e-07
8.8e-09,1.41049e-07,1.40763e-07
8.9e-09,1.40889e-07,1.40608e-07
9e-09,1.40729e-07,1.40446e-07
9.1e-09,1.40573e-07,1.4029e-07
9.19999e-09,1.40411e-07,1.40133e-07
9.3e-09,1.40257e-07,1.39972e-07
9.4e-09,1.40101e-07,1.3982e-07
9.50001e-09,1.39943e-07,1.39662e-07
9.6e-09,1.39791e-07,1.39508e-07
9.70001e-09,1.39633e-07,1.39355e-07
9.80001e-09,1.39481e-07,1.39195e-07
9.9e-09,1.39329e-07,1.39048e-07
1e-08,1.39173e-07,1.38895e-07
1.01e-08,1.39024e-07,1.38741e-07
1.02e-08,1.38871e-07,1.38593e-07
1.03e-08,1.3872e-07,1.38438e-07
1.04e-08,1.38572e-07,1.38291e-07
1.05e-08,1.38419e-07,1.38143e-07
1.06e-08,1.38272e-07,1.37988e-07
1.07e-08,1.38124e-07,1.37845e-07
1.08e-08,1.37973e-07,1.37696e-07
1.09e-08,1.37829e-07,1.37547e-07
1.1e-08,1.37681e-07,1.37404e-07
1.11e-08,1.37533e-07,1.37254e-07
1.12e-08,1.3739e-07,1.3711e-07
1.13e-08,1.37242e-07,1.36967e-07
1.14e-08,1.37099e-07,1.36816e-07
1.15e-08,1.36956e-07,1.36677e-07
1.16e-08,1.36808e-07,1.36534e-07
1.17e-08,1.36668e-07,1.36385e-07
1.18e-08,1.36526e-07,1.36248e-07
1.19e-08,1.3638e-07,1.36105e-07
1.2e-08,1.36242e-07,1.3596e-07
1.21e-08,1.361e-07,1.35824e-07
1.22e-08,1.35957e-07,1.35681e-07
1.23e-08,1.3582e-07,1.3554e-07
1.24e-08,1.35679e-07,1.35404e-07
1.25e-08,1.35539e-07,1.35261e-07
1.26e-08,1.35402e-07,1.35123e-07
1.27e-08,1.35262e-07,1.34987e-07
1.28e-08,1.35124e-07,1.34846e-07
1.29e-08,1.34989e-07,1.3471e-07
1.3e-08,1.34849e-07,1.34575e-07
1.31e-08,1.34713e-07,1.34434e-07
1.32e-08,1.34579e-07,1.34301e-07
1.33e-08,1.34441e-07,1.34167e-07
1.34e-08,1.34306e-07,1.34027e-07
1.35e-08,1.34173e-07,1.33896e-07
1.36e-08,1.34036e-07,1.33763e-07
1.37e-08,1.33903e-07,1.33624e-07
1.38e-08,1.33771e-07,1.33494e-07
1.39e-08,1.33635e-07,1.33363e-07
1.4e-08,1.33504e-07,1.33225e-07
1.41e-08,1.33373e-07,1.33096e-07
1.42e-08,1.33239e-07,1.32966e-07
1.43e-08,1.33108e-07,1.3283e-07
1.44e-08,1.32979e-07,1.32702e-07
1.45e-08,1.32845e-07,1.32573e-07
