Time,max(CACoordsX),min(CACoordsX),max(Result),min(Result),max(coordsX),min(coordsX)
9.99987e-11,1.59491e-07,1.59173e-07,6544630.0,-22166100.0,1.60164e-07,1.59173e-07
1.99999e-10,1.59163e-07,1.58843e-07,6677050.0,-23150300.0,1.59898e-07,1.58843e-07
3.00002e-10,1.58856e-07,1.58537e-07,6822310.0,-23095500.0,1.59597e-07,1.58537e-07
4.00002e-10,1.58554e-07,1.58236e-07,6586080.0,-23324500.0,1.59294e-07,1.58236e-07
5.00003e-10,1.58257e-07,1.57938e-07,6607530.0,-23404400.0,1.58996e-07,1.57938e-07
6.00001e-10,1.57963e-07,1.57646e-07,6310320.0,-24039300.0,1.58705e-07,1.57646e-07
6.99999e-10,1.57676e-07,1.57362e-07,6306650.0,-23846600.0,1.58419e-07,1.57362e-07
8.00001e-10,1.57393e-07,1.57078e-07,6300440.0,-23749800.0,1.58135e-07,1.57078e-07
8.99999e-10,1.57113e-07,1.56796e-07,6146800.0,-24214200.0,1.57855e-07,1.56796e-07
1e-09,1.56836e-07,1.56525e-07,6136920.0,-24175000.0,1.57581e-07,1.56525e-07
1.1e-09,1.56566e-07,1.56254e-07,6060570.0,-24157600.0,1.57309e-07,1.56254e-07
1.2e-09,1.56296e-07,1.55982e-07,5855490.0,-24723600.0,1.57039e-07,1.55982e-07
1.3e-09,1.56029e-07,1.55721e-07,5913880.0,-24554600.0,1.56775e-07,1.55721e-07
1.4e-09,1.55769e-07,1.55459e-07,5805040.0,-24695200.0,1.56513e-07,1.55459e-07
1.5e-09,1.55508e-07,1.55196e-07,5549160.0,-25307600.0,1.56252e-07,1.55196e-07
1.6e-09,1.5525e-07,1.54944e-07,5612910.0,-25099100.0,1.55997e-07,1.54944e-07
1.7e-09,1.54998e-07,1.5469e-07,5429220.0,-25427600.0,1.55742e-07,1.5469e-07
1.8e-09,1.54744e-07,1.54437e-07,5570450.0,-25175200.0,1.55491e-07,1.54437e-07
1.9e-09,1.54497e-07,1.54192e-07,5399980.0,-25429200.0,1.55243e-07,1.54192e-07
2e-09,1.5425e-07,1.53943e-07,5238740.0,-25773400.0,1.54995e-07,1.53943e-07
2.1e-09,1.54003e-07,1.53702e-07,5384590.0,-25496800.0,1.54752e-07,1.53702e-07
2.2e-09,1.53765e-07,1.53461e-07,5208770.0,-25814500.0,1.5451e-07,1.53461e-07
2.3e-09,1.53523e-07,1.53218e-07,5094310.0,-26061800.0,1.5427e-07,1.53218e-07
2.4e-09,1.53287e-07,1.52986e-07,5002450.0,-26224300.0,1.54034e-07,1.52986e-07
2.5e-09,1.53052e-07,1.52748e-07,5019700.0,-26163800.0,1.53798e-07,1.52748e-07
