Time,max(Result),min(Result)
9.99987e-11,6.54463e+06,-2.21661e+07
1.99999e-10,6.67705e+06,-2.31503e+07
3.00002e-10,6.82231e+06,-2.30955e+07
4.00002e-10,6.58608e+06,-2.33245e+07
5.00003e-10,6.60753e+06,-2.34044e+07
6.00001e-10,6.31032e+06,-2.40393e+07
6.99999e-10,6.30665e+06,-2.38466e+07
8.00001e-10,6.30044e+06,-2.37498e+07
8.99999e-10,6.1468e+06,-2.42142e+07
1e-09,6.13692e+06,-2.4175e+07
1.1e-09,6.06057e+06,-2.41576e+07
1.2e-09,5.85549e+06,-2.47236e+07
1.3e-09,5.91388e+06,-2.45546e+07
1.4e-09,5.80504e+06,-2.46952e+07
1.5e-09,5.54916e+06,-2.53076e+07
1.6e-09,5.61291e+06,-2.50991e+07
1.7e-09,5.42922e+06,-2.54276e+07
1.8e-09,5.57045e+06,-2.51752e+07
1.9e-09,5.39998e+06,-2.54292e+07
2e-09,5.23874e+06,-2.57734e+07
2.1e-09,5.38459e+06,-2.54968e+07
2.2e-09,5.20877e+06,-2.58145e+07
2.3e-09,5.09431e+06,-2.60618e+07
2.4e-09,5.00245e+06,-2.62243e+07
2.5e-09,5.0197e+06,-2.61638e+07
2.6e-09,4.9952e+06,-2.62215e+07
2.7e-09,4.93099e+06,-2.63284e+07
2.8e-09,4.8338e+06,-2.65236e+07
2.9e-09,4.91866e+06,-2.63061e+07
3e-09,4.76069e+06,-2.66374e+07
3.1e-09,4.73686e+06,-2.66207e+07
3.2e-09,4.59747e+06,-2.69416e+07
3.3e-09,4.53855e+06,-2.71363e+07
3.4e-09,4.65167e+06,-2.68277e+07
3.5e-09,4.53447e+06,-2.70265e+07
3.6e-09,4.41736e+06,-2.72819e+07
3.7e-09,4.44875e+06,-2.71944e+07
3.8e-09,4.41094e+06,-2.72707e+07
3.9e-09,4.35541e+06,-2.73591e+07
4e-09,4.32996e+06,-2.73986e+07
4.1e-09,4.31338e+06,-2.74265e+07
4.2e-09,4.17321e+06,-2.76871e+07
4.3e-09,4.18676e+06,-2.7656e+07
4.4e-09,4.17392e+06,-2.76577e+07
4.5e-09,4.06975e+06,-2.78801e+07
4.6e-09,4.1734e+06,-2.76375e+07
4.7e-09,4.08783e+06,-2.78422e+07
4.8e-09,3.95528e+06,-2.80754e+07
4.9e-09,4.01696e+06,-2.79724e+07
5e-09,3.88761e+06,-2.82068e+07
5.1e-09,3.90919e+06,-2.81698e+07
5.2e-09,3.89217e+06,-2.81936e+07
5.3e-09,3.87812e+06,-2.82185e+07
5.4e-09,3.89461e+06,-2.8193e+07
5.49999e-09,3.76485e+06,-2.83514e+07
5.6e-09,3.70243e+06,-2.85875e+07
5.7e-09,3.7217e+06,-2.84793e+07
5.8e-09,3.70586e+06,-2.85882e+07
5.9e-09,3.67566e+06,-2.85407e+07
6e-09,3.59486e+06,-2.88043e+07
6.1e-09,3.57105e+06,-2.87167e+07
6.2e-09,3.59301e+06,-2.87991e+07
6.3e-09,3.55924e+06,-2.87489e+07
6.4e-09,3.57741e+06,-2.88168e+07
6.50001e-09,3.57154e+06,-2.87658e+07
6.6e-09,3.49565e+06,-2.89058e+07
6.7e-09,3.4741e+06,-2.89171e+07
6.8e-09,3.42142e+06,-2.90552e+07
6.9e-09,3.36332e+06,-2.92433e+07
7e-09,3.4026e+06,-2.9041e+07
7.1e-09,3.41334e+06,-2.91447e+07
7.2e-09,3.39998e+06,-2.90751e+07
7.3e-09,3.32703e+06,-2.92912e+07
7.4e-09,3.30128e+06,-2.93297e+07
7.5e-09,3.30439e+06,-2.93003e+07
7.60001e-09,3.21167e+06,-2.95406e+07
7.7e-09,3.23847e+06,-2.93663e+07
7.8e-09,3.18209e+06,-2.9601e+07
7.9e-09,3.15271e+06,-2.96093e+07
8e-09,3.20994e+06,-2.95143e+07
8.1e-09,3.11554e+06,-2.97277e+07
8.2e-09,3.14691e+06,-2.95825e+07
8.3e-09,3.12876e+06,-2.97209e+07
8.4e-09,3.1115e+06,-2.96756e+07
8.5e-09,3.06447e+06,-2.98176e+07
8.6e-09,3.12589e+06,-2.97023e+07
8.7e-09,3.04232e+06,-2.98023e+07
8.8e-09,3.01278e+06,-2.98636e+07
8.9e-09,3.04862e+06,-2.98032e+07
9e-09,2.97988e+06,-2.99927e+07
9.1e-09,2.94565e+06,-3.00746e+07
9.19999e-09,2.98952e+06,-2.99098e+07
9.3e-09,2.92022e+06,-3.01479e+07
9.4e-09,2.96949e+06,-2.99856e+07
9.50001e-09,2.92911e+06,-3.00899e+07
9.6e-09,2.91442e+06,-3.01491e+07
9.70001e-09,2.88469e+06,-3.0095e+07
9.80001e-09,2.84756e+06,-3.02876e+07
9.9e-09,2.82497e+06,-3.03039e+07
1e-08,2.85283e+06,-3.02168e+07
1.01e-08,2.84018e+06,-3.03101e+07
1.02e-08,2.8257e+06,-3.02597e+07
1.03e-08,2.84057e+06,-3.02877e+07
1.04e-08,2.7544e+06,-3.04681e+07
1.05e-08,2.76468e+06,-3.03434e+07
1.06e-08,2.80205e+06,-3.04183e+07
1.07e-08,2.77914e+06,-3.03953e+07
1.08e-08,2.71995e+06,-3.04676e+07
1.09e-08,2.68827e+06,-3.06133e+07
1.1e-08,2.71268e+06,-3.05022e+07
1.11e-08,2.72829e+06,-3.04992e+07
1.12e-08,2.64963e+06,-3.06852e+07
1.13e-08,2.67329e+06,-3.055e+07
1.14e-08,2.66429e+06,-3.06465e+07
1.15e-08,2.65281e+06,-3.06696e+07
1.16e-08,2.61871e+06,-3.06298e+07
1.17e-08,2.66286e+06,-3.06668e+07
1.18e-08,2.61678e+06,-3.07287e+07
1.19e-08,2.61682e+06,-3.06734e+07
1.2e-08,2.55318e+06,-3.08789e+07
